,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,"Cash, Cash Equivalents & Short Term Investments",5681241000,5636490000,5940571000,5634410000,4529792000,3682980000,4051546000,4923907000,4474806000,4064019000,4028572000,4363214000,3075921000,3037479000,3500747000,4908484000,4079569000,3241364000,3384847000,4129871000,3682393000,3598497000,3932106000,5064552000,4366906000,4468000000,4772496000,6130166000
1,Cash & Cash Equivalents,5678892000,5636086000,5938085000,5631885000,4527198000,3680274000,4048859000,4921305000,4472347000,4061400000,4026189000,4360766000,3073193000,3034659000,3497878000,4905609000,4077058000,3238862000,3382208000,4126860000,3681711000,3595079000,3928845000,5061360000,4363790000,4464889000,4769158000,6126853000
2,Short Term Investments,2349000,404000,2486000,2525000,2594000,2706000,2687000,2602000,2459000,2619000,2383000,2448000,2728000,2820000,2869000,2875000,2511000,2502000,2639000,3011000,682000,3418000,3261000,3192000,3116000,3111000,3338000,3313000
3,Accounts & Notes Receivable,3501506000,3518104000,3375047000,3333126000,3506187000,3588189000,3804826000,3859567000,3779792000,3688052000,3717048000,3840920000,4061037000,3986141000,4303642000,4072180000,4298605000,4452252000,4474415000,4569214000,4981084000,5030698000,4986652000,,,,,
4,"Accounts Receivable, Net",3501506000,3518104000,3375047000,3333126000,3506187000,3588189000,3804826000,3859567000,3779792000,3688052000,3717048000,3840920000,4061037000,3986141000,4303642000,4072180000,4298605000,4452252000,4474415000,4569214000,4981084000,5030698000,4986652000,,,,,
5,"Notes Receivable, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unbilled Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Work In Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Finished Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Other Short Term Assets,2830779000,2862355000,2763301000,2876642000,3255480000,3362711000,3278321000,3120968000,3321647000,3255737000,3323901000,2495940000,3486090000,3655180000,3771622000,2995558000,2990232000,3070386000,3346473000,3398204000,3640364000,3655753000,3418114000,8521007000,9173502000,9365300000,9369164000,9320435000
13,Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Assets Held-for-Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Deferred Tax Assets,672455000,731346000,723656000,794917000,805194000,835845000,818747000,731820000,740383000,749227000,865472000,,776211000,868631000,891390000,,,,,,,,,,,,,
17,Income Taxes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Miscellaneous Short Term Assets,2158324000,2131009000,2039645000,2081725000,2450286000,2526866000,2459574000,2389148000,2581264000,2506510000,2458429000,2495940000,2709879000,2786549000,2880232000,2995558000,2990232000,3070386000,3346473000,3398204000,3640364000,3655753000,3418114000,8521007000,9173502000,9365300000,9369164000,9320435000
20,Total Current Assets,12013526000,12016949000,12078919000,11844178000,11291459000,10633880000,11134693000,11904442000,11576245000,11007808000,11069521000,10700074000,10623048000,10678800000,11576011000,11976222000,11368406000,10764002000,11205735000,12097289000,12303841000,12284948000,12336872000,13585559000,13540408000,13833300000,14141660000,15450601000
21,"Property, Plant & Equipment, Net",799443000,810896000,798915000,779675000,779247000,783961000,786599000,793444000,740496000,725917000,752362000,801884000,804012000,856403000,883609000,956542000,928900000,968433000,1041006000,1140598000,1158960000,1196195000,1228946000,1264020000,1243268000,1282765000,1341548000,1391166000
22,"Property, Plant & Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Accumulated Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Long Term Investments & Receivables,27902000,45827000,55577000,43631000,43536000,43350000,70405000,66783000,60321000,50130000,43763000,45027000,44179000,61037000,132427000,198633000,239470000,190358000,199465000,211610000,227189000,218509000,208557000,215532000,231980000,229085000,235286000,240313000
25,Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Long Term Marketable Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Long Term Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Other Long Term Assets,3567149000,3485058000,3590347000,4199565000,4401696000,4896018000,5010687000,5165783000,5252971000,5207710000,5443081000,6655662000,6522636000,6551538000,6599000000,7477607000,7906965000,8155980000,8689386000,9240393000,9284163000,9433327000,9476418000,9383972000,11690756000,12045058000,12437866000,12707800000
29,Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Goodwill,1386630000,1439238000,1472955000,1818586000,1931120000,2312145000,2354811000,2395894000,2399308000,2437595000,2669172000,2929833000,3521828000,3501419000,3538147000,3609437000,4008760000,4224007000,4610996000,5002352000,5078504000,5286197000,5275293000,5383012000,5522687000,5782856000,6078816000,6205550000
31,Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Prepaid Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Deferred Tax Assets,865175000,843740000,955421000,1018567000,1042505000,1051482000,1096287000,1152105000,1246589000,1177211000,1231676000,2089928000,1281091000,1255400000,1229695000,2077312000,2079881000,2030673000,2103664000,2214901000,2235695000,2125608000,2269992000,2086807000,4219300000,4258979000,4222011000,4349464000
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Investments in Affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Miscellaneous Long Term Assets,1315344000,1202080000,1161971000,1362412000,1428071000,1532391000,1559589000,1617784000,1607074000,1592904000,1542233000,1635901000,1719717000,1794719000,1831158000,1790858000,1818324000,1901300000,1974726000,2023140000,1969964000,2021522000,1931133000,1914153000,1948769000,2003223000,2137039000,2152786000
39,Total Noncurrent Assets,4394494000,4341781000,4444839000,5022871000,5224479000,5723329000,5867691000,6026010000,6053788000,5983757000,6239206000,7502573000,7370827000,7468978000,7615036000,8632782000,9075335000,9314771000,9929857000,10592601000,10670312000,10848031000,10913921000,10863524000,13166004000,13556908000,14014700000,14339279000
40,Total Assets,16408020000,16358730000,16523758000,16867049000,16515938000,16357209000,17002384000,17930452000,17630033000,16991565000,17308727000,18202647000,17993875000,18147778000,19191047000,20609004000,20443741000,20078773000,21135592000,22689890000,22974153000,23132979000,23250793000,24449083000,26706412000,27390208000,28156360000,29789880000
41,Payables & Accruals,4945146000,4386891000,4773563000,4997492000,4969691000,4270033000,4735519000,5160680000,5392132000,4518573000,5023296000,5675109000,5770992000,4702895000,5287115000,6042894000,6571683000,5505231000,6201956000,6293914000,6954051000,5938350000,6297374000,6415859000,6511391000,6043502000,6537800000,6915200000
42,Accounts Payable,890233000,883048000,922658000,961851000,982733000,936315000,957633000,1064228000,947270000,984539000,1040645000,1151464000,1094821000,1103343000,1133430000,1280821000,1163348000,1212800000,1291138000,1525065000,1316930000,1367464000,1388989000,1348802000,1355538000,1472130000,1562995000,1646641000
43,Accrued Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Interest & Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Other Payables & Accruals,4054913000,3503843000,3850905000,4035641000,3986958000,3333718000,3777886000,4096452000,4444862000,3534034000,3982651000,4523645000,4676171000,3599552000,4153685000,4762073000,5408335000,4292431000,4910818000,4768849000,5637121000,4570886000,4908385000,5067057000,5155853000,4571372000,4974805000,5268559000
46,Short Term Debt,13000,13000,0,0,0,167000,139000,330000,4000,191000,1000,1848000,1848000,1784000,2072000,2773000,2773000,2944000,2942000,2907000,2979000,2914000,2840000,5337000,4727000,4365000,4137000,6411000
47,Short Term Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Short Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Current Portion of Long Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Other Short Term Liabilities,3032200000,2978570000,2857059000,3163498000,2859052000,3018158000,2880510000,2997069000,2745267000,2975222000,2865145000,2814049000,2699558000,2868500000,2871946000,2833257000,2595626000,2844598000,2949427000,3527458000,2905996000,3426648000,3253382000,3730555000,3660217000,4171182000,4010050000,4140285000
51,Deferred Revenue,2127658000,2318238000,2253450000,2230615000,2140981000,2438786000,2308594000,2348034000,2170743000,2297747000,2142085000,2251617000,2089356000,2328485000,2349050000,2364728000,2079897000,2458524000,2550233000,2669520000,2494949000,2930645000,2744402000,2837682000,2850452000,3335751000,3255784000,3188835000
52,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
