,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,"Cash, Cash Equivalents & Short Term Investments",3152000000,2314000000,2929000000,2310000000,2034000000,1939000000,2356000000,2248000000,1919000000,1461000000,1890000000,1726000000,1813000000,1809000000,1921000000,1774000000,2222000000,1953000000,1961000000,1373000000,1829000000,1996000000,1588000000,1479000000,1804000000,,,
1,Cash & Cash Equivalents,2301000000,1611000000,2031000000,1642000000,1413000000,1515000000,1670000000,1539000000,1337000000,1022000000,1437000000,1257000000,1185000000,1265000000,1325000000,1244000000,1588000000,1213000000,1398000000,949000000,1212000000,1140000000,1187000000,1166000000,1426000000,,,
2,Short Term Investments,851000000,703000000,898000000,668000000,621000000,424000000,686000000,709000000,582000000,439000000,453000000,469000000,628000000,544000000,596000000,530000000,634000000,740000000,563000000,424000000,617000000,856000000,401000000,313000000,378000000,,,
3,Accounts & Notes Receivable,2633000000,2417000000,2326000000,2363000000,2586000000,2689000000,2755000000,2709000000,2807000000,2877000000,2477000000,2302000000,2581000000,2087000000,2081000000,1421000000,2134000000,2173000000,2357000000,1463000000,1498000000,1423000000,1510000000,1595000000,1564000000,,,
4,"Accounts Receivable, Net",2633000000,2417000000,2326000000,2363000000,2586000000,2689000000,2755000000,2709000000,2807000000,2877000000,2477000000,2302000000,2581000000,2087000000,2081000000,1421000000,2134000000,2173000000,2357000000,1463000000,1498000000,1423000000,1510000000,1595000000,1564000000,,,
5,"Notes Receivable, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unbilled Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inventories,755000000,763000000,711000000,684000000,687000000,710000000,741000000,702000000,707000000,734000000,670000000,671000000,682000000,655000000,637000000,622000000,645000000,633000000,660000000,562000000,569000000,583000000,562000000,577000000,579000000,,,
8,Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Work In Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Finished Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Other Short Term Assets,2718000000,2316000000,2285000000,2382000000,2682000000,2069000000,2035000000,2167000000,2209000000,2443000000,2183000000,2143000000,1871000000,2830000000,2655000000,2599000000,1400000000,1559000000,1682000000,3000000000,1542000000,1285000000,1355000000,1364000000,1908000000,,,
13,Prepaid Expenses,256000000,187000000,199000000,179000000,199000000,177000000,208000000,175000000,129000000,115000000,121000000,106000000,116000000,91000000,92000000,72000000,118000000,83000000,89000000,62000000,66000000,116000000,97000000,130000000,111000000,,,
14,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Assets Held-for-Sale,68000000,0,458000000,464000000,461000000,0,0,0,27000000,8000000,52000000,424000000,0,1048000000,1006000000,1593000000,24000000,102000000,76000000,2034000000,358000000,108000000,111000000,57000000,575000000,,,
16,Deferred Tax Assets,231000000,207000000,172000000,166000000,181000000,190000000,148000000,275000000,173000000,213000000,155000000,,,,,,,,,,,,,,,,,
17,Income Taxes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Miscellaneous Short Term Assets,2163000000,1922000000,1456000000,1573000000,1841000000,1702000000,1679000000,1717000000,1880000000,2107000000,1855000000,1613000000,1755000000,1691000000,1557000000,934000000,1258000000,1374000000,1517000000,904000000,1118000000,1061000000,1147000000,1177000000,1222000000,,,
20,Total Current Assets,9258000000,7810000000,8251000000,7739000000,7989000000,7407000000,7887000000,7826000000,7642000000,7515000000,7220000000,6842000000,6947000000,7381000000,7294000000,6416000000,6401000000,6318000000,6660000000,6398000000,5438000000,5287000000,5015000000,5015000000,5855000000,,,
21,"Property, Plant & Equipment, Net",26012000000,25868000000,25082000000,25112000000,25353000000,25628000000,25067000000,25151000000,22848000000,23440000000,22463000000,22022000000,23416000000,23035000000,23283000000,20415000000,23148000000,23192000000,24356000000,20296000000,20688000000,20719000000,21108000000,21396000000,21228000000,,,
22,"Property, Plant & Equipment",35757000000,35615000000,34613000000,34716000000,35296000000,35723000000,35048000000,35113000000,32500000000,33436000000,31727000000,30961000000,33184000000,32740000000,33167000000,28334000000,32925000000,33033000000,34555000000,28238000000,28856000000,28624000000,29141000000,29623000000,29501000000,,,
23,Accumulated Depreciation,-9745000000,-9747000000,-9531000000,-9604000000,-9943000000,-10095000000,-9981000000,-9962000000,-9652000000,-9996000000,-9264000000,-8939000000,-9768000000,-9705000000,-9884000000,-7919000000,-9777000000,-9841000000,-10199000000,-7942000000,-8168000000,-7905000000,-8033000000,-8227000000,-8273000000,,,
24,Long Term Investments & Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Long Term Marketable Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Long Term Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
