date,closeAdj
2019-11-08,43.31
2019-11-07,43.54
2019-11-06,42.88
2019-11-05,42.97
2019-11-04,43.06
2019-11-01,42.43
2019-10-31,42.04
2019-10-30,40.53
2019-10-29,41.51
2019-10-28,41.3
2019-10-25,41.01
2019-10-24,40.54
2019-10-23,40.73
2019-10-22,40.56
2019-10-21,40.4
2019-10-18,39.64
2019-10-17,39.85
2019-10-16,39.7
2019-10-15,40.33
2019-10-14,40.2
2019-10-11,40.46
2019-10-10,39.77
2019-10-09,38.93
2019-10-08,38.4
2019-10-07,39.78
2019-10-04,40.35
2019-10-03,39.53
2019-10-02,39.72
2019-10-01,40.33
2019-09-30,41.07
2019-09-27,40.94
2019-09-26,40.86
2019-09-25,40.48
2019-09-24,39.93
2019-09-23,40.4
2019-09-20,40.9
2019-09-19,40.9
2019-09-18,41.67
2019-09-17,41.79
2019-09-16,41.96
2019-09-13,41.63
2019-09-12,41.45
2019-09-11,41.05
2019-09-10,40.29
2019-09-09,39.67
2019-09-06,38.71
2019-09-05,38.63
2019-09-04,38.24
2019-09-03,37.99
2019-08-30,38.05
2019-08-29,37.73
2019-08-28,37.57
2019-08-27,37.42
2019-08-26,37.81
2019-08-23,37.43
2019-08-22,37.93
2019-08-21,37.69
2019-08-20,37.13
2019-08-19,37.67
2019-08-16,37.49
2019-08-15,36.42
2019-08-14,36.43
2019-08-13,37.41
2019-08-12,37.05
2019-08-09,38.0
2019-08-08,37.94
2019-08-07,36.93
2019-08-06,37.07
2019-08-05,37.43
2019-08-02,39.7
2019-08-01,40.77
2019-07-31,40.7
2019-07-30,40.57
2019-07-29,40.52
2019-07-26,40.21
2019-07-25,40.3
2019-07-24,40.19
2019-07-23,40.16
2019-07-22,40.0
2019-07-19,39.87
2019-07-18,39.79
2019-07-17,39.93
2019-07-16,40.44
2019-07-15,41.35
2019-07-12,41.53
2019-07-11,41.34
2019-07-10,41.41
2019-07-09,41.38
2019-07-08,41.45
2019-07-05,41.55
2019-07-03,41.48
2019-07-02,41.1
2019-07-01,41.01
2019-06-28,40.42
2019-06-27,40.19
2019-06-26,40.12
2019-06-25,40.04
2019-06-24,40.35
2019-06-21,40.7
2019-06-20,40.91
2019-06-19,40.33
2019-06-18,40.82
2019-06-17,40.36
2019-06-14,40.41
2019-06-13,40.63
2019-06-12,40.34
2019-06-11,39.79
2019-06-10,39.69
2019-06-07,39.21
2019-06-06,39.34
2019-06-05,38.9
2019-06-04,39.26
2019-06-03,38.62
2019-05-31,37.96
2019-05-30,38.1
2019-05-29,38.18
2019-05-28,38.22
2019-05-24,38.79
2019-05-23,38.84
2019-05-22,39.55
2019-05-21,39.8
2019-05-20,39.45
2019-05-17,40.3
2019-05-16,40.87
2019-05-15,40.6
2019-05-14,40.47
2019-05-13,39.96
2019-05-10,41.67
2019-05-09,41.8
2019-05-08,41.66
2019-05-07,41.95
2019-05-06,42.32
2019-05-03,42.89
2019-05-02,42.76
2019-05-01,43.28
2019-04-30,43.8
2019-04-29,42.5
2019-04-26,40.18
2019-04-25,40.97
2019-04-24,42.02
2019-04-23,41.94
2019-04-22,41.9
2019-04-18,42.0
2019-04-17,42.27
2019-04-16,42.21
2019-04-15,42.57
2019-04-12,42.61
2019-04-11,42.52
2019-04-10,42.47
2019-04-09,42.02
2019-04-08,42.32
2019-04-05,42.16
2019-04-04,41.97
2019-04-03,41.47
2019-04-02,41.51
2019-04-01,41.92
2019-03-29,42.36
2019-03-28,41.96
2019-03-27,41.73
2019-03-26,41.53
2019-03-25,41.59
2019-03-22,41.86
2019-03-21,42.11
2019-03-20,41.54
2019-03-19,42.24
2019-03-18,41.72
2019-03-15,42.41
2019-03-14,42.58
2019-03-13,42.5
2019-03-12,42.14
2019-03-11,42.07
2019-03-08,41.17
2019-03-07,41.42
2019-03-06,41.38
2019-03-05,41.5
2019-03-04,41.49
2019-03-01,41.67
2019-02-28,41.74
2019-02-27,41.86
2019-02-26,41.56
2019-02-25,41.67
2019-02-22,41.73
2019-02-21,41.81
2019-02-20,41.22
2019-02-19,41.1
2019-02-15,41.23
2019-02-14,41.14
2019-02-13,41.3
2019-02-12,41.24
2019-02-11,40.92
2019-02-08,40.67
2019-02-07,40.32
2019-02-06,40.78
2019-02-05,40.76
2019-02-04,43.33
2019-02-01,43.72
2019-01-31,43.73
2019-01-30,43.53
2019-01-29,43.06
2019-01-28,43.02
2019-01-25,42.58
2019-01-24,42.53
2019-01-23,42.57
2019-01-22,42.43
2019-01-18,43.11
2019-01-17,42.28
2019-01-16,42.17
2019-01-15,42.35
2019-01-14,41.74
2019-01-11,42.04
2019-01-10,42.24
2019-01-09,41.95
2019-01-08,41.59
2019-01-07,40.83
2019-01-04,40.63
2019-01-03,39.71
2019-01-02,39.89
2018-12-31,39.9
2018-12-28,39.72
2018-12-27,39.9
2018-12-26,39.61
2018-12-24,38.59
2018-12-21,39.74
2018-12-20,40.16
2018-12-19,41.3
2018-12-18,41.73
2018-12-17,42.25
2018-12-14,43.45
2018-12-13,43.76
2018-12-12,44.02
2018-12-11,43.39
2018-12-10,43.43
2018-12-07,43.3
2018-12-06,44.35
2018-12-04,44.42
2018-12-03,45.62
2018-11-30,44.82
2018-11-29,44.84
2018-11-28,44.8
2018-11-27,44.87
2018-11-26,44.34
2018-11-23,44.02
2018-11-21,44.41
2018-11-20,44.15
2018-11-19,44.78
2018-11-16,44.84
2018-11-15,44.6
2018-11-14,45.06
2018-11-13,46.43
2018-11-12,46.35
2018-11-09,46.66
2018-11-08,46.96
2018-11-07,46.7
2018-11-06,45.76
2018-11-05,46.51
2018-11-02,46.41
2018-11-01,47.11
2018-10-31,45.68
2018-10-30,46.41
2018-10-29,45.45
2018-10-26,44.92
2018-10-25,46.31
2018-10-24,46.17
2018-10-23,47.43
2018-10-22,47.29
2018-10-19,47.9
2018-10-18,47.58
2018-10-17,47.41
2018-10-16,47.67
2018-10-15,47.41
2018-10-12,47.21
2018-10-11,47.06
2018-10-10,48.48
2018-10-09,49.74
2018-10-08,50.07
2018-10-05,49.38
2018-10-04,48.79
2018-10-03,48.78
2018-10-02,48.74
2018-10-01,48.45
2018-09-28,48.6
2018-09-27,47.81
2018-09-26,47.71
2018-09-25,47.99
2018-09-24,47.98
2018-09-21,48.65
2018-09-20,48.66
2018-09-19,48.28
2018-09-18,47.98
2018-09-17,48.13
2018-09-14,48.38
2018-09-13,48.34
2018-09-12,48.24
2018-09-11,48.1
2018-09-10,48.05
2018-09-07,47.68
2018-09-06,47.77
2018-09-05,48.18
2018-09-04,48.42
2018-08-31,48.73
2018-08-30,48.71
2018-08-29,48.73
2018-08-28,48.78
2018-08-27,49.1
2018-08-24,49.02
2018-08-23,48.84
2018-08-22,48.83
2018-08-21,49.06
2018-08-20,49.09
2018-08-17,48.87
2018-08-16,48.49
2018-08-15,47.8
2018-08-14,47.96
2018-08-13,47.37
2018-08-10,47.89
2018-08-09,48.25
2018-08-08,47.99
2018-08-07,48.26
2018-08-06,48.08
2018-08-03,47.97
2018-08-02,47.38
2018-08-01,46.2
2018-07-31,46.35
2018-07-30,45.47
2018-07-27,45.72
2018-07-26,45.82
2018-07-25,45.37
2018-07-24,45.43
2018-07-23,45.36
2018-07-20,45.25
2018-07-19,45.38
2018-07-18,45.44
2018-07-17,45.83
2018-07-16,45.3
2018-07-13,45.68
2018-07-12,46.0
2018-07-11,45.95
2018-07-10,46.04
2018-07-09,45.4
2018-07-06,44.86
2018-07-05,44.5
2018-07-03,43.85
2018-07-02,43.44
2018-06-29,44.01
2018-06-28,44.36
2018-06-27,44.44
2018-06-26,44.4
2018-06-25,44.43
2018-06-22,44.69
2018-06-21,44.18
2018-06-20,44.34
2018-06-19,44.24
2018-06-18,44.36
2018-06-15,44.21
2018-06-14,43.45
2018-06-13,43.49
2018-06-12,43.31
2018-06-11,43.71
2018-06-08,43.07
2018-06-07,42.92
2018-06-06,43.02
2018-06-05,42.48
2018-06-04,42.34
2018-06-01,42.08
2018-05-31,41.99
2018-05-30,42.53
2018-05-29,42.05
2018-05-25,42.78
2018-05-24,43.03
2018-05-23,43.02
2018-05-22,43.13
2018-05-21,43.38
2018-05-18,43.24
2018-05-17,43.13
2018-05-16,42.76
2018-05-15,42.33
2018-05-14,42.34
2018-05-11,41.92
2018-05-10,41.84
2018-05-09,41.65
2018-05-08,41.89
2018-05-07,41.64
2018-05-04,41.8
2018-05-03,41.56
2018-05-02,42.35
2018-05-01,42.92
2018-04-30,43.25
2018-04-27,43.89
2018-04-26,43.7
2018-04-25,43.69
2018-04-24,43.04
2018-04-23,43.36
2018-04-20,43.37
2018-04-19,43.64
2018-04-18,43.51
2018-04-17,43.55
2018-04-16,43.34
2018-04-13,43.08
2018-04-12,43.18
2018-04-11,42.06
2018-04-10,42.07
2018-04-09,42.15
2018-04-06,42.25
2018-04-05,42.35
2018-04-04,41.84
2018-04-03,41.1
2018-04-02,40.29
2018-03-29,41.34
2018-03-28,40.79
2018-03-27,40.86
2018-03-26,40.82
2018-03-23,40.08
2018-03-22,39.97
2018-03-21,40.62
2018-03-20,40.96
2018-03-19,41.04
2018-03-16,41.46
2018-03-15,41.23
2018-03-14,41.72
2018-03-13,42.17
2018-03-12,42.44
2018-03-09,41.27
2018-03-08,41.26
2018-03-07,41.01
2018-03-06,41.1
2018-03-05,40.72
2018-03-02,40.22
2018-03-01,39.32
2018-02-28,39.57
2018-02-27,39.69
2018-02-26,40.19
2018-02-23,40.57
2018-02-22,39.8
2018-02-21,40.15
2018-02-20,40.57
2018-02-16,41.11
2018-02-15,40.86
2018-02-14,39.55
2018-02-13,39.1
2018-02-12,39.03
2018-02-09,39.24
2018-02-08,39.11
2018-02-07,39.9
2018-02-06,39.72
2018-02-05,38.4
2018-02-02,39.18
2018-02-01,40.16
2018-01-31,40.62
2018-01-30,40.17
2018-01-29,40.77
2018-01-26,41.22
2018-01-25,40.56
2018-01-24,40.52
2018-01-23,40.3
2018-01-22,40.43
2018-01-19,38.74
2018-01-18,38.28
2018-01-17,38.69
2018-01-16,38.57
2018-01-12,38.3
2018-01-11,38.36
2018-01-10,37.74
2018-01-09,38.04
2018-01-08,37.91
2018-01-05,38.0
2018-01-04,38.26
2018-01-03,37.62
2018-01-02,37.91
2017-12-29,37.91
2017-12-28,38.08
2017-12-27,38.06
2017-12-26,38.08
2017-12-22,38.01
2017-12-21,37.91
2017-12-20,37.71
2017-12-19,37.95
2017-12-18,38.04
2017-12-15,38.36
2017-12-14,37.42
2017-12-13,37.88
2017-12-12,39.5
2017-12-11,39.63
2017-12-08,39.26
2017-12-07,39.07
2017-12-06,38.98
2017-12-05,38.62
2017-12-04,38.96
2017-12-01,38.61
2017-11-30,37.72
2017-11-29,37.61
2017-11-28,36.97
2017-11-27,36.95
2017-11-24,37.02
2017-11-22,37.11
2017-11-21,37.21
2017-11-20,37.07
2017-11-17,37.28
2017-11-16,37.06
2017-11-15,36.85
2017-11-14,37.33
2017-11-13,37.28
2017-11-10,37.46
2017-11-09,37.15
2017-11-08,37.34
2017-11-07,37.09
2017-11-06,36.84
2017-11-03,37.32
2017-11-02,37.68
2017-11-01,38.11
2017-10-31,38.34
2017-10-30,40.16
2017-10-27,40.41
2017-10-26,40.35
2017-10-25,40.75
2017-10-24,41.02
2017-10-23,40.87
2017-10-20,40.8
2017-10-19,40.63
2017-10-18,40.63
2017-10-17,40.97
2017-10-16,41.0
2017-10-13,41.28
2017-10-12,40.75
2017-10-11,40.61
2017-10-10,40.35
2017-10-09,39.97
2017-10-06,40.34
2017-10-05,40.67
2017-10-04,40.37
2017-10-03,40.08
2017-10-02,39.98
2017-09-29,39.88
2017-09-28,40.11
2017-09-27,40.39
2017-09-26,40.83
2017-09-25,40.87
2017-09-22,40.7
2017-09-21,40.61
2017-09-20,40.64
2017-09-19,41.17
2017-09-18,41.36
2017-09-15,41.13
2017-09-14,40.76
2017-09-13,40.61
2017-09-12,40.54
2017-09-11,40.14
2017-09-08,39.75
2017-09-07,39.95
2017-09-06,39.78
2017-09-05,39.35
2017-09-01,39.59
2017-08-31,38.76
2017-08-30,39.27
2017-08-29,39.16
2017-08-28,39.19
2017-08-25,39.17
2017-08-24,38.54
2017-08-23,39.19
2017-08-22,39.14
2017-08-21,38.99
2017-08-18,38.72
2017-08-17,39.09
