date,closeAdj
2018-11-29,212.7
2018-11-28,212.7
2018-11-27,212.0
2018-11-26,210.1
2018-11-23,205.36
2018-11-21,204.3
2018-11-20,204.0
2018-11-19,207.49
2018-11-16,209.01
2018-11-15,209.36
2018-11-14,208.05
2018-11-13,209.52
2018-11-12,209.33
2018-11-09,209.36
2018-11-08,209.23
2018-11-07,208.84
2018-11-06,207.05
2018-11-05,199.33
2018-11-02,198.21
2018-11-01,200.14
2018-10-31,198.4
2018-10-30,197.65
2018-10-29,195.13
2018-10-26,195.29
2018-10-25,196.07
2018-10-24,195.27
2018-10-23,199.34
2018-10-22,198.99
2018-10-19,199.69
2018-10-18,200.99
2018-10-17,200.79
2018-10-16,199.99
2018-10-15,198.44
2018-10-12,200.51
2018-10-11,198.45
2018-10-10,202.9
2018-10-09,203.21
2018-10-08,203.6
2018-10-05,203.21
2018-10-04,203.79
2018-10-03,203.04
2018-10-02,202.64
2018-10-01,203.09
2018-09-28,202.34
2018-09-27,202.17
2018-09-26,201.25
2018-09-25,201.12
2018-09-24,202.89
2018-09-21,203.76
2018-09-20,204.69
2018-09-19,205.15
2018-09-18,204.93
2018-09-17,204.26
2018-09-14,202.24
2018-09-13,202.52
2018-09-12,202.92
2018-09-11,201.68
2018-09-10,200.55
2018-09-07,202.57
2018-09-06,202.11
2018-09-05,201.42
2018-09-04,198.8
2018-08-31,199.77
2018-08-30,199.07
2018-08-29,198.77
2018-08-28,198.36
2018-08-27,197.4
2018-08-24,196.78
2018-08-23,196.21
2018-08-22,197.27
2018-08-21,197.85
2018-08-20,199.02
2018-08-17,198.36
2018-08-16,197.97
2018-08-15,196.8
2018-08-14,196.46
2018-08-13,194.22
2018-08-10,194.03
2018-08-09,193.29
2018-08-08,193.14
2018-08-07,187.72
2018-08-06,188.14
2018-08-03,188.26
2018-08-02,186.58
2018-08-01,186.32
2018-07-31,187.92
2018-07-30,189.18
2018-07-27,189.13
2018-07-26,188.68
2018-07-25,188.65
2018-07-24,187.09
2018-07-23,187.36
2018-07-20,186.25
2018-07-19,189.06
2018-07-18,190.34
2018-07-17,190.55
2018-07-16,190.46
2018-07-13,190.9
2018-07-12,190.1
2018-07-11,186.59
2018-07-10,187.29
2018-07-09,186.54
2018-07-06,185.25
2018-07-05,184.04
2018-07-03,184.25
2018-07-02,184.72
2018-06-29,182.55
2018-06-28,184.4
2018-06-27,187.85
2018-06-26,187.11
2018-06-25,188.6
2018-06-22,189.94
2018-06-21,188.18
2018-06-20,189.25
2018-06-19,188.3
2018-06-18,185.99
2018-06-15,188.52
2018-06-14,187.12
2018-06-13,186.45
2018-06-12,179.75
2018-06-11,181.12
2018-06-08,179.88
2018-06-07,178.81
2018-06-06,178.09
2018-06-05,174.74
2018-06-04,175.39
2018-06-01,175.69
2018-05-31,175.22
2018-05-30,176.95
2018-05-29,175.87
2018-05-25,177.62
2018-05-24,176.21
2018-05-23,176.43
2018-05-22,176.3
2018-05-21,176.8
2018-05-18,175.9
2018-05-17,176.12
2018-05-16,176.56
2018-05-15,176.19
2018-05-14,176.9
2018-05-11,173.77
2018-05-10,169.71
2018-05-09,169.69
2018-05-08,169.95
2018-05-07,170.52
2018-05-04,171.37
2018-05-03,171.24
2018-05-02,175.84
2018-05-01,177.79
2018-04-30,178.13
2018-04-27,178.95
2018-04-26,177.9
2018-04-25,178.07
2018-04-24,176.29
2018-04-23,176.19
2018-04-20,176.01
2018-04-19,175.52
2018-04-18,176.61
2018-04-17,176.38
2018-04-16,174.98
2018-04-13,172.04
2018-04-12,172.39
2018-04-11,170.39
2018-04-10,172.48
2018-04-09,170.15
2018-04-06,169.01
2018-04-05,169.34
2018-04-04,169.02
2018-04-03,167.41
2018-04-02,166.76
2018-03-29,167.65
2018-03-28,168.07
2018-03-27,167.01
2018-03-26,169.38
2018-03-23,166.76
2018-03-22,168.09
2018-03-21,168.65
2018-03-20,170.25
2018-03-19,170.68
2018-03-16,172.52
2018-03-15,173.19
2018-03-14,175.2
2018-03-13,176.02
2018-03-05,177.03
2018-01-04,181.9
