date,closeAdj
2019-11-08,181.28
2019-11-07,178.68
2019-11-06,178.55
2019-11-05,178.41
2019-11-04,178.8
2019-11-01,178.29
2019-10-31,176.11
2019-10-30,175.79
2019-10-29,174.64
2019-10-28,174.22
2019-10-25,173.84
2019-10-24,173.93
2019-10-23,175.0
2019-10-22,174.92
2019-10-21,174.7
2019-10-18,173.6
2019-10-17,172.5
2019-10-16,170.92
2019-10-15,170.16
2019-10-14,168.94
2019-10-11,169.09
2019-10-10,167.83
2019-10-09,166.74
2019-10-08,167.1
2019-10-07,167.98
2019-10-04,168.44
2019-10-03,167.22
2019-10-02,165.4
2019-10-01,166.46
2019-09-30,168.29
2019-09-27,168.25
2019-09-26,166.89
2019-09-25,165.95
2019-09-24,166.69
2019-09-23,166.86
2019-09-20,166.47
2019-09-19,165.73
2019-09-18,166.0
2019-09-17,166.1
2019-09-16,165.56
2019-09-13,166.14
2019-09-12,166.35
2019-09-11,165.84
2019-09-10,164.0
2019-09-09,162.37
2019-09-06,163.26
2019-09-05,162.41
2019-09-04,161.69
2019-09-03,159.8
2019-08-30,159.72
2019-08-29,159.66
2019-08-28,159.98
2019-08-27,160.77
2019-08-26,160.22
2019-08-23,158.96
2019-08-22,160.93
2019-08-21,161.25
2019-08-20,159.11
2019-08-19,159.25
2019-08-16,158.25
2019-08-15,156.34
2019-08-14,157.4
2019-08-13,159.94
2019-08-12,158.65
2019-08-09,159.1
2019-08-08,159.11
2019-08-07,158.1
2019-08-06,158.75
2019-08-05,159.89
2019-08-02,160.27
2019-08-01,160.17
2019-07-31,159.76
2019-07-30,160.13
2019-07-29,160.22
2019-07-26,160.23
2019-07-25,159.31
2019-07-24,160.23
2019-07-23,161.14
2019-07-22,161.88
2019-07-19,162.4
2019-07-18,161.3
2019-07-17,161.71
2019-07-16,163.5
2019-07-15,165.31
2019-07-12,165.08
2019-07-11,165.2
2019-07-10,165.93
2019-07-09,165.68
2019-07-08,164.19
2019-07-05,166.91
2019-07-03,168.82
2019-07-02,168.76
2019-07-01,166.74
2019-06-28,166.65
2019-06-27,165.24
2019-06-26,163.24
2019-06-25,161.68
2019-06-24,128.97
2019-06-21,130.2
2019-06-20,130.21
2019-06-19,127.57
2019-06-18,120.08
2019-06-17,115.19
2019-06-14,115.38
2019-06-13,120.44
2019-06-12,121.7
2019-06-11,122.28
2019-06-10,126.02
2019-06-07,126.54
2019-06-06,124.47
2019-06-05,125.91
2019-06-04,128.01
2019-06-03,122.56
2019-05-31,121.35
2019-05-30,121.85
2019-05-29,125.09
2019-05-28,130.8
2019-05-24,134.88
2019-05-23,137.4
2019-05-22,138.86
2019-05-21,137.84
2019-05-20,138.14
2019-05-17,139.55
2019-05-16,139.39
2019-05-15,136.08
2019-05-14,135.33
2019-05-13,134.38
2019-05-10,138.77
2019-05-09,138.87
2019-05-08,138.67
2019-05-07,139.96
2019-05-06,146.3
2019-05-03,144.37
2019-05-02,142.82
2019-05-01,143.89
2019-04-30,145.55
2019-04-29,144.85
2019-04-26,143.95
2019-04-25,140.09
2019-04-24,138.28
2019-04-23,140.76
2019-04-22,138.87
2019-04-18,138.92
2019-04-17,138.65
2019-04-16,143.97
2019-04-15,142.16
2019-04-12,143.52
2019-04-11,143.61
2019-04-10,144.66
2019-04-09,145.98
2019-04-08,149.0
2019-04-05,148.16
2019-04-04,147.87
2019-04-03,144.27
2019-04-02,144.81
2019-04-01,146.19
2019-03-29,144.96
2019-03-28,145.41
2019-03-27,145.76
2019-03-26,147.91
2019-03-25,144.89
2019-03-22,147.82
2019-03-21,152.01
2019-03-20,152.15
2019-03-19,152.58
2019-03-18,149.35
2019-03-15,149.75
