date,closeAdj
2019-11-08,55.91
2019-11-07,55.59
2019-11-06,55.52
2019-11-05,54.81
2019-11-04,54.93
2019-11-01,53.76
2019-10-31,52.96
2019-10-30,52.61
2019-10-29,52.1
2019-10-28,52.55
2019-10-25,52.8
2019-10-24,52.9
2019-10-23,53.15
2019-10-22,53.24
2019-10-21,54.55
2019-10-18,53.97
2019-10-17,54.06
2019-10-16,54.34
2019-10-15,54.68
2019-10-14,54.21
2019-10-11,54.42
2019-10-10,54.06
2019-10-09,53.04
2019-10-08,52.42
2019-10-07,53.63
2019-10-04,54.43
2019-10-03,53.21
2019-10-02,53.47
2019-10-01,54.37
2019-09-30,55.7
2019-09-27,56.16
2019-09-26,55.88
2019-09-25,56.53
2019-09-24,57.0
2019-09-23,57.3
2019-09-20,57.45
2019-09-19,57.89
2019-09-18,57.65
2019-09-17,57.08
2019-09-16,56.32
2019-09-13,56.97
2019-09-12,56.44
2019-09-11,56.28
2019-09-10,55.19
2019-09-09,55.1
2019-09-06,54.54
2019-09-05,54.37
2019-09-04,54.1
2019-09-03,52.11
2019-08-30,51.75
2019-08-29,52.17
2019-08-28,52.16
2019-08-27,52.45
2019-08-26,52.78
2019-08-23,52.2
2019-08-22,53.45
2019-08-21,53.39
2019-08-20,53.13
2019-08-19,54.5
2019-08-16,54.01
2019-08-15,53.44
2019-08-14,53.09
2019-08-13,55.81
2019-08-12,54.77
2019-08-09,55.95
2019-08-08,56.5
2019-08-07,54.11
2019-08-06,54.08
2019-08-05,52.52
2019-08-02,54.03
2019-08-01,54.4
2019-07-31,55.68
2019-07-30,56.01
2019-07-29,56.16
2019-07-26,56.95
2019-07-25,56.76
2019-07-24,57.07
2019-07-23,55.98
2019-07-22,55.57
2019-07-19,55.63
2019-07-18,55.29
2019-07-17,55.06
2019-07-16,55.72
2019-07-15,55.93
2019-07-12,55.96
2019-07-11,55.17
2019-07-10,55.42
2019-07-09,55.21
2019-07-08,54.65
2019-07-05,54.31
2019-07-03,54.52
2019-07-02,53.49
2019-07-01,53.54
2019-06-28,52.98
2019-06-27,52.75
2019-06-26,51.97
2019-06-25,52.44
2019-06-24,53.02
2019-06-21,53.35
2019-06-20,53.95
2019-06-19,53.3
2019-06-18,53.05
2019-06-17,52.69
2019-06-14,53.01
2019-06-13,52.9
2019-06-12,52.35
2019-06-11,52.46
2019-06-10,52.71
2019-06-07,52.3
2019-06-06,52.93
2019-06-05,53.06
2019-06-04,53.21
2019-06-03,52.1
2019-05-31,50.48
2019-05-30,51.34
2019-05-29,51.02
2019-05-28,51.47
2019-05-24,52.15
2019-05-23,51.59
2019-05-22,51.95
2019-05-21,51.89
2019-05-20,51.82
2019-05-17,51.76
2019-05-16,51.62
2019-05-15,51.25
2019-05-14,50.88
2019-05-13,50.13
2019-05-10,51.04
2019-05-09,50.24
2019-05-08,49.38
2019-05-07,49.72
2019-05-06,46.56
