date,closeAdj
2019-11-08,130.07
2019-11-07,127.48
2019-11-06,127.55
2019-11-05,126.18
2019-11-04,126.63
2019-11-01,127.7
2019-10-31,126.07
2019-10-30,125.87
2019-10-29,126.38
2019-10-28,125.31
2019-10-25,125.57
2019-10-24,126.36
2019-10-23,126.53
2019-10-22,126.24
2019-10-21,127.56
2019-10-18,125.67
2019-10-17,125.94
2019-10-16,125.45
2019-10-15,125.46
2019-10-14,125.71
2019-10-11,125.78
2019-10-10,125.54
2019-10-09,124.8
2019-10-08,123.32
2019-10-07,125.36
2019-10-04,126.79
2019-10-03,123.7
2019-10-02,122.03
2019-10-01,123.81
2019-09-30,125.82
2019-09-27,125.47
2019-09-26,126.8
2019-09-25,126.7
2019-09-24,126.61
2019-09-23,125.84
2019-09-20,126.64
2019-09-19,126.23
2019-09-18,127.5
2019-09-17,127.03
2019-09-16,125.6
2019-09-13,125.0
2019-09-12,125.6
2019-09-11,124.44
2019-09-10,123.75
2019-09-09,124.64
2019-09-06,124.41
2019-09-05,123.85
2019-09-04,123.8
2019-09-03,123.21
2019-08-30,123.0
2019-08-29,121.94
2019-08-28,121.05
2019-08-27,120.86
2019-08-26,121.87
2019-08-23,119.43
2019-08-22,123.16
2019-08-21,123.07
2019-08-20,122.13
2019-08-19,123.19
2019-08-16,123.93
2019-08-15,120.43
2019-08-14,119.84
2019-08-13,121.94
2019-08-12,120.17
2019-08-09,119.26
2019-08-08,118.88
2019-08-07,117.32
2019-08-06,109.1
2019-08-05,107.62
2019-08-02,110.54
2019-08-01,111.21
2019-07-31,112.81
2019-07-30,114.05
2019-07-29,112.87
2019-07-26,113.87
2019-07-25,112.81
2019-07-24,113.25
2019-07-23,111.95
2019-07-22,111.0
2019-07-19,110.62
2019-07-18,111.44
2019-07-17,111.16
2019-07-16,111.52
2019-07-15,111.68
2019-07-12,111.05
2019-07-11,109.57
2019-07-10,109.48
2019-07-09,110.14
2019-07-08,109.94
2019-07-05,109.59
2019-07-03,109.41
2019-07-02,108.29
2019-07-01,108.46
2019-06-28,105.86
2019-06-27,103.85
2019-06-26,102.25
2019-06-25,105.5
2019-06-24,105.38
2019-06-21,106.37
2019-06-20,107.19
2019-06-19,107.09
2019-06-18,106.87
2019-06-17,106.25
2019-06-14,105.61
2019-06-13,104.54
2019-06-12,103.49
2019-06-11,103.5
2019-06-10,102.97
2019-06-07,103.83
2019-06-06,103.87
2019-06-05,103.52
2019-06-04,103.21
2019-06-03,101.08
2019-05-31,99.48
2019-05-30,100.31
2019-05-29,100.4
2019-05-28,100.18
2019-05-24,100.36
2019-05-23,99.13
2019-05-22,99.18
2019-05-21,98.57
2019-05-20,95.04
2019-05-17,93.72
2019-05-16,95.17
2019-05-15,94.62
2019-05-14,94.74
2019-05-13,93.65
2019-05-10,96.15
2019-05-09,94.59
2019-05-08,95.17
2019-05-07,95.14
2019-05-06,92.94
2019-05-03,93.56
2019-05-02,93.4
2019-05-01,93.11
2019-04-30,93.97
2019-04-29,93.33
2019-04-26,92.5
2019-04-25,91.31
2019-04-24,91.85
2019-04-23,92.05
2019-04-22,91.0
2019-04-18,92.22
2019-04-17,93.04
2019-04-16,94.19
2019-04-15,93.91
2019-04-12,94.8
2019-04-11,94.41
2019-04-10,93.45
2019-04-09,93.29
2019-04-08,94.4
2019-04-05,94.83
2019-04-04,94.87
2019-04-03,94.42
2019-04-02,94.42
2019-04-01,95.11
2019-03-29,93.88
2019-03-28,93.75
2019-03-27,93.96
2019-03-26,94.34
2019-03-25,93.54
2019-03-22,93.54
2019-03-21,94.84
2019-03-20,93.56
2019-03-19,95.95
2019-03-18,98.62
2019-03-15,97.66
2019-03-14,97.14
2019-03-13,100.19
2019-03-12,99.92
2019-03-11,99.73
2019-03-08,98.88
2019-03-07,99.27
2019-03-06,100.08
2019-03-05,102.09
2019-03-04,102.66
2019-03-01,103.01
2019-02-28,101.88
2019-02-27,99.78
2019-02-26,98.36
2019-02-25,97.99
2019-02-22,97.28
2019-02-21,96.52
2019-02-20,97.16
2019-02-19,96.58
2019-02-15,96.55
2019-02-14,95.49
2019-02-13,96.26
2019-02-12,97.08
2019-02-11,95.87
2019-02-08,95.49
2019-02-07,95.67
2019-02-06,96.26
2019-02-05,96.43
2019-02-04,96.35
2019-02-01,95.53
2019-01-31,94.77
2019-01-30,93.97
2019-01-29,93.34
2019-01-28,92.86
2019-01-25,93.64
2019-01-24,94.73
2019-01-23,93.97
2019-01-22,93.41
2019-01-18,94.76
2019-01-17,93.84
2019-01-16,92.82
2019-01-15,92.91
2019-01-14,92.02
2019-01-11,91.02
2019-01-10,90.94
2019-01-09,89.94
2019-01-08,89.39
2019-01-07,89.28
2019-01-04,88.93
2019-01-03,87.17
2019-01-02,88.58
2018-12-31,87.93
2018-12-28,86.67
2018-12-27,86.44
2018-12-26,85.6
2018-12-24,81.26
2018-12-21,83.85
2018-12-20,85.25
2018-12-19,86.91
2018-12-18,87.33
2018-12-17,88.48
2018-12-14,88.74
2018-12-13,88.45
2018-12-12,88.87
2018-12-11,88.49
2018-12-10,89.12
2018-12-07,89.5
2018-12-06,90.68
2018-12-04,93.8
2018-12-03,95.66
2018-11-30,95.6
2018-11-29,96.15
2018-11-28,96.54
2018-11-27,96.33
2018-11-26,97.53
2018-11-23,95.7
2018-11-21,95.89
2018-11-20,94.81
2018-11-19,97.1
2018-11-16,97.62
2018-11-15,97.69
2018-11-14,97.65
2018-11-13,100.85
2018-11-12,101.36
2018-11-09,102.38
2018-11-08,100.94
2018-11-07,100.03
2018-11-06,95.9
2018-11-05,94.75
2018-11-02,94.44
2018-11-01,94.88
2018-10-31,94.99
2018-10-30,94.56
2018-10-29,93.06
2018-10-26,93.66
2018-10-25,94.03
2018-10-24,94.12
2018-10-23,97.53
2018-10-22,101.85
2018-10-19,103.74
2018-10-18,104.03
2018-10-17,103.47
2018-10-16,101.81
2018-10-15,99.96
2018-10-12,100.03
2018-10-11,100.79
2018-10-10,103.09
2018-10-09,105.92
2018-10-08,105.96
2018-10-05,105.66
2018-10-04,105.25
2018-10-03,105.16
2018-10-02,104.9
2018-10-01,104.5
2018-09-28,105.48
2018-09-27,103.86
2018-09-26,104.65
2018-09-25,101.51
2018-09-24,101.52
2018-09-21,102.8
2018-09-20,103.2
2018-09-19,102.69
2018-09-18,102.74
2018-09-17,101.57
2018-09-14,101.48
2018-09-13,100.22
2018-09-12,98.31
2018-09-11,99.08
2018-09-10,99.35
2018-09-07,101.58
2018-09-06,100.99
2018-09-05,100.35
2018-09-04,99.82
2018-08-31,100.47
2018-08-30,99.66
2018-08-29,101.07
2018-08-28,101.89
2018-08-27,102.84
2018-08-24,102.24
2018-08-23,101.58
2018-08-22,102.06
2018-08-21,102.48
2018-08-20,102.22
2018-08-17,102.31
2018-08-16,103.07
2018-08-15,104.68
2018-08-14,105.85
2018-08-13,103.82
2018-08-10,103.29
2018-08-09,102.97
2018-08-08,104.72
2018-08-07,103.47
2018-08-06,103.05
2018-08-03,105.1
2018-08-02,105.95
2018-08-01,106.23
2018-07-31,107.2
2018-07-30,106.63
2018-07-27,106.11
2018-07-26,107.05
2018-07-25,105.02
2018-07-24,104.49
2018-07-23,104.43
2018-07-20,104.45
2018-07-19,104.13
2018-07-18,105.79
2018-07-17,104.63
2018-07-16,104.95
2018-07-13,104.98
2018-07-12,104.45
2018-07-11,105.1
2018-07-10,104.27
2018-07-09,103.38
2018-07-06,101.78
2018-07-05,102.09
2018-07-03,102.55
2018-07-02,100.89
2018-06-29,100.58
2018-06-28,101.98
2018-06-27,99.46
2018-06-26,98.49
2018-06-25,99.71
2018-06-22,99.49
2018-06-21,99.33
2018-06-20,98.44
2018-06-19,96.8
2018-06-18,92.55
2018-06-15,92.81
2018-06-14,93.07
2018-06-13,94.46
2018-06-12,93.25
2018-06-11,92.45
2018-06-08,95.53
2018-06-07,94.76
2018-06-06,92.82
2018-06-05,91.63
2018-06-04,91.56
2018-06-01,91.42
2018-05-31,90.73
2018-05-30,92.71
2018-05-29,92.64
2018-05-25,93.79
2018-05-24,93.87
2018-05-23,92.14
2018-05-22,92.85
2018-05-21,94.65
2018-05-18,92.69
2018-05-17,91.11
2018-05-16,90.77
2018-05-15,86.69
2018-05-14,84.33
2018-05-11,84.62
2018-05-10,84.61
2018-05-09,83.48
2018-05-08,83.59
2018-05-07,84.35
2018-05-04,84.97
2018-05-03,85.63
2018-05-02,86.62
2018-05-01,88.74
2018-04-30,89.69
2018-04-27,90.82
2018-04-26,90.26
2018-04-25,90.24
2018-04-24,90.21
2018-04-23,90.2
2018-04-20,90.26
2018-04-19,89.48
2018-04-18,89.59
2018-04-17,89.76
2018-04-16,89.38
2018-04-13,88.43
2018-04-12,88.71
2018-04-11,87.54
2018-04-10,87.67
2018-04-09,86.7
2018-04-06,86.52
2018-04-05,88.71
2018-04-04,88.11
2018-04-03,86.94
2018-04-02,85.21
2018-03-29,88.33
2018-03-28,87.87
2018-03-27,86.67
2018-03-26,87.78
2018-03-23,84.54
2018-03-22,86.46
2018-03-21,87.94
2018-03-20,87.87
2018-03-19,87.09
2018-03-16,86.9
2018-03-15,85.88
2018-03-14,85.06
2018-03-13,86.1
2018-03-12,86.0
2018-03-09,87.75
2018-03-08,85.38
2018-03-07,86.08
2018-03-06,86.73
2018-03-05,85.67
2018-03-02,83.53
2018-03-01,82.8
2018-02-28,82.59
2018-02-27,84.41
2018-02-26,85.46
2018-02-23,85.58
2018-02-22,84.34
2018-02-21,84.74
2018-02-20,85.05
2018-02-16,86.34
2018-02-15,86.48
2018-02-14,86.07
2018-02-13,84.8
2018-02-12,84.03
2018-02-09,84.5
2018-02-08,81.77
2018-02-07,84.96
2018-02-06,84.96
2018-02-05,84.67
2018-02-02,88.28
2018-02-01,89.35
2018-01-31,87.83
2018-01-30,88.44
2018-01-29,90.59
2018-01-26,91.68
2018-01-25,91.24
2018-01-24,91.77
2018-01-23,90.99
2018-01-22,90.28
2018-01-19,90.33
2018-01-18,90.51
2018-01-17,91.03
2018-01-16,90.15
2018-01-12,91.59
2018-01-11,91.97
2018-01-10,92.64
2018-01-09,95.16
2018-01-08,95.73
2018-01-05,97.27
2018-01-04,96.06
2018-01-03,95.54
2018-01-02,95.27
2017-12-29,96.82
2017-12-28,97.63
2017-12-27,97.25
2017-12-26,97.14
2017-12-22,97.0
2017-12-21,97.09
2017-12-20,95.74
2017-12-19,94.76
2017-12-18,94.78
2017-12-15,94.39
2017-12-14,93.89
2017-12-13,94.88
2017-12-12,96.3
2017-12-11,95.9
2017-12-08,95.18
2017-12-07,94.65
2017-12-06,94.11
2017-12-05,94.29
2017-12-04,95.82
2017-12-01,95.79
2017-11-30,96.85
2017-11-29,97.66
2017-11-28,95.98
2017-11-27,94.06
2017-11-24,93.96
2017-11-22,93.95
2017-11-21,93.94
2017-11-20,94.11
2017-11-17,94.15
2017-11-16,93.08
2017-11-15,94.38
2017-11-14,94.37
2017-11-13,94.23
2017-11-10,93.7
2017-11-09,94.24
2017-11-08,93.92
2017-11-07,94.56
2017-11-06,94.77
2017-11-03,95.6
2017-11-02,95.67
2017-11-01,96.58
2017-10-31,96.09
2017-10-30,96.28
2017-10-27,95.52
2017-10-26,95.88
2017-10-25,95.28
2017-10-24,95.16
2017-10-23,94.98
2017-10-20,95.36
2017-10-19,96.56
2017-10-18,97.19
2017-10-17,91.52
2017-10-16,91.86
2017-10-13,91.37
2017-10-12,91.6
2017-10-11,91.0
2017-10-10,91.48
2017-10-09,91.27
2017-10-06,91.69
2017-10-05,91.16
2017-10-04,90.97
2017-10-03,91.36
2017-10-02,91.32
2017-09-29,91.19
2017-09-28,91.44
2017-09-27,91.31
2017-09-26,90.09
2017-09-25,90.64
2017-09-22,90.17
2017-09-21,89.36
2017-09-20,89.05
2017-09-19,88.76
2017-09-18,89.55
2017-09-15,89.6
2017-09-14,89.03
2017-09-13,89.52
2017-09-12,89.78
2017-09-11,89.11
2017-09-08,86.66
2017-09-07,83.76
2017-09-06,86.94
2017-09-05,86.36
2017-09-01,90.31
2017-08-31,90.4
2017-08-30,90.48
2017-08-29,90.24
2017-08-28,91.11
2017-08-25,94.03
2017-08-24,93.77
2017-08-23,95.02
2017-08-22,94.87
2017-08-21,94.37
2017-08-18,94.97
2017-08-17,95.27
2017-08-16,97.44
2017-08-15,98.13
2017-08-14,98.98
2017-08-11,97.37
2017-08-10,97.8
2017-08-09,99.73
2017-08-08,99.47
2017-08-07,98.66
2017-08-04,99.65
2017-08-03,98.61
2017-08-02,98.61
2017-08-01,100.91
2017-07-31,99.97
2017-07-28,100.16
2017-07-27,99.65
2017-07-26,99.84
2017-07-25,100.92
