date,figure,fyear,measure,period,type,value
2019-05-23,common-outstanding,,point-in-time,,common,315993352
2019-04-30,common-outstanding,,point-in-time,,common,317000000
2019-02-27,common-outstanding,,point-in-time,,common,317515869
2019-01-31,common-outstanding,,point-in-time,,common,318000000
2018-12-10,common-outstanding,,point-in-time,,common,318533054
2018-10-31,common-outstanding,,point-in-time,,common,318000000
2018-08-24,common-outstanding,,point-in-time,,common,318769547
2018-07-31,common-outstanding,,point-in-time,,common,319000000
2018-05-24,common-outstanding,,point-in-time,,common,319952126
2018-04-30,common-outstanding,,point-in-time,,common,322000000
2018-02-28,common-outstanding,,point-in-time,,common,322476579
2018-01-31,common-outstanding,,point-in-time,,common,323000000
2017-12-01,common-outstanding,,point-in-time,,common,323018027
2017-10-31,common-outstanding,,point-in-time,,common,322000000
2017-08-31,common-outstanding,,point-in-time,,common,321828003
2017-07-31,common-outstanding,,point-in-time,,common,322000000
2017-05-31,common-outstanding,,point-in-time,,common,321337443
2017-04-30,common-outstanding,,point-in-time,,common,321000000
2017-02-28,common-outstanding,,point-in-time,,common,322300905
2017-01-31,common-outstanding,,point-in-time,,common,322000000
2016-12-01,common-outstanding,,point-in-time,,common,321747881
2016-10-31,common-outstanding,,point-in-time,,common,614000000
2016-08-31,common-outstanding,,point-in-time,,common,324384755
2016-07-31,common-outstanding,,point-in-time,,common,613000000
2016-04-30,common-outstanding,,point-in-time,,common,325521700
2016-01-31,common-outstanding,,point-in-time,,common,327770081
2015-12-01,common-outstanding,,point-in-time,,common,332170890
2015-10-31,common-outstanding,,point-in-time,,common,611000000
2015-08-31,common-outstanding,,point-in-time,,common,331403231
2015-07-31,common-outstanding,,point-in-time,,common,611000000
2015-04-30,common-outstanding,,point-in-time,,common,333191751
2015-01-31,common-outstanding,,point-in-time,,common,335810297
2014-12-01,common-outstanding,,point-in-time,,common,335321802
2014-10-31,common-outstanding,,point-in-time,,common,608000000
2014-07-31,common-outstanding,,point-in-time,,common,848400000
2014-04-30,common-outstanding,,point-in-time,,common,847000000
2014-01-31,common-outstanding,,point-in-time,,common,847000000
2013-12-01,common-outstanding,,point-in-time,,common,464531900
2013-10-31,common-outstanding,,point-in-time,,common,842800000
2013-07-31,common-outstanding,,point-in-time,,common,840000000
2013-04-30,common-outstanding,,point-in-time,,common,838600000
2013-01-31,common-outstanding,,point-in-time,,common,837200000
2012-12-01,common-outstanding,,point-in-time,,common,487108362
2012-10-31,common-outstanding,,point-in-time,,common,833000000
2012-07-31,common-outstanding,,point-in-time,,common,833000000
2012-04-30,common-outstanding,,point-in-time,,common,831600000
2012-01-31,common-outstanding,,point-in-time,,common,830200000
2011-12-01,common-outstanding,,point-in-time,,common,487375245
2011-10-31,common-outstanding,,point-in-time,,common,827400000
2011-07-31,common-outstanding,,point-in-time,,common,486100070
2011-04-30,common-outstanding,,point-in-time,,common,487263200
2011-01-31,common-outstanding,,point-in-time,,common,483171024
2010-11-30,common-outstanding,,point-in-time,,common,486645883
2010-07-31,common-outstanding,,point-in-time,,common,484918491
2010-01-31,common-outstanding,,point-in-time,,common,487404149
2009-11-30,common-outstanding,,point-in-time,,common,488363789
2009-07-31,common-outstanding,,point-in-time,,common,483156881
2019-04-30,common-outstanding-basic,2019.0,period,TTM,common,318750000
2019-04-30,common-outstanding-basic,2019.0,period,H1,common,318000000
2019-04-30,common-outstanding-basic,2019.0,period,Q2,common,317000000
2019-01-31,common-outstanding-basic,2019.0,period,TTM-0.25,common,319750000
2019-01-31,common-outstanding-basic,2019.0,period,Q1,common,318000000
2018-10-31,common-outstanding-basic,2018.0,period,TTM-0.5,common,321000000
2018-10-31,common-outstanding-basic,2018.0,period,FY,common,321000000
2018-10-31,common-outstanding-basic,2018.0,period,Q4,common,319000000
2018-10-31,common-outstanding-basic,2018.0,period,H2,common,319000000
2018-07-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,322500000
2018-07-31,common-outstanding-basic,2018.0,period,9M,common,322000000
2018-07-31,common-outstanding-basic,2018.0,period,Q3,common,320000000
2018-04-30,common-outstanding-basic,2018.0,period,TTM-1,common,322750000
2018-04-30,common-outstanding-basic,2018.0,period,H1,common,323000000
2018-04-30,common-outstanding-basic,2018.0,period,Q2,common,322000000
2018-01-31,common-outstanding-basic,2018.0,period,TTM-1.25,common,322250000
2018-01-31,common-outstanding-basic,2018.0,period,Q1,common,323000000
2017-10-31,common-outstanding-basic,2017.0,period,TTM-1.5,common,322000000
2017-10-31,common-outstanding-basic,2017.0,period,FY,common,322000000
2017-10-31,common-outstanding-basic,2017.0,period,Q4,common,324000000
2017-10-31,common-outstanding-basic,2017.0,period,H2,common,322000000
2017-07-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,322500000
2017-07-31,common-outstanding-basic,2017.0,period,9M,common,322000000
2017-07-31,common-outstanding-basic,2017.0,period,Q3,common,321000000
2017-04-30,common-outstanding-basic,2017.0,period,TTM-2,common,323250000
2017-04-30,common-outstanding-basic,2017.0,period,H1,common,322000000
2017-04-30,common-outstanding-basic,2017.0,period,Q2,common,321000000
2017-01-31,common-outstanding-basic,2017.0,period,TTM-2.25,common,324250000
2017-01-31,common-outstanding-basic,2017.0,period,Q1,common,322000000
2016-10-31,common-outstanding-basic,2016.0,period,TTM-2.5,common,326000000
2016-10-31,common-outstanding-basic,2016.0,period,FY,common,326000000
2016-10-31,common-outstanding-basic,2016.0,period,Q4,common,324000000
2016-10-31,common-outstanding-basic,2016.0,period,H2,common,325000000
2016-07-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,327000000
2016-07-31,common-outstanding-basic,2016.0,period,9M,common,326000000
2016-07-31,common-outstanding-basic,2016.0,period,Q3,common,325000000
2016-04-30,common-outstanding-basic,2016.0,period,TTM-3,common,329000000
2016-04-30,common-outstanding-basic,2016.0,period,H1,common,327000000
2016-04-30,common-outstanding-basic,2016.0,period,Q2,common,326000000
2016-01-31,common-outstanding-basic,2016.0,period,TTM-3.25,common,331250000
2016-01-31,common-outstanding-basic,2016.0,period,Q1,common,329000000
