date,figure,fyear,measure,period,type,value
2019-10-09,common-outstanding,,point-in-time,,common,655705490
2019-08-31,common-outstanding,,point-in-time,,common,655348404
2019-06-13,common-outstanding,,point-in-time,,common,672636779
2019-05-31,common-outstanding,,point-in-time,,common,637146
2019-03-14,common-outstanding,,point-in-time,,common,671124614
2019-02-28,common-outstanding,,point-in-time,,common,650821
2018-12-03,common-outstanding,,point-in-time,,common,666191880
2018-11-30,common-outstanding,,point-in-time,,common,650821
2018-10-10,common-outstanding,,point-in-time,,common,664252389
2018-08-31,common-outstanding,,point-in-time,,common,663983521
2018-06-14,common-outstanding,,point-in-time,,common,674684553
2018-05-31,common-outstanding,,point-in-time,,common,664761
2018-03-14,common-outstanding,,point-in-time,,common,673017812
2018-02-28,common-outstanding,,point-in-time,,common,19718762
2017-12-11,common-outstanding,,point-in-time,,common,662465456
2017-11-30,common-outstanding,,point-in-time,,common,19915042
2017-10-12,common-outstanding,,point-in-time,,common,659958903
2017-08-31,common-outstanding,,point-in-time,,common,659497383
2017-06-08,common-outstanding,,point-in-time,,common,684928806
2017-05-31,common-outstanding,,point-in-time,,common,20794696
2017-03-09,common-outstanding,,point-in-time,,common,683130982
2017-02-28,common-outstanding,,point-in-time,,common,20999201
2016-12-12,common-outstanding,,point-in-time,,common,680429553
2016-11-30,common-outstanding,,point-in-time,,common,21320949
2016-08-31,common-outstanding,,point-in-time,,common,21917000
2016-06-09,common-outstanding,,point-in-time,,common,837144836
2016-05-31,common-outstanding,,point-in-time,,common,22186453
2016-03-10,common-outstanding,,point-in-time,,common,835732977
2016-02-29,common-outstanding,,point-in-time,,common,22820040
2015-12-07,common-outstanding,,point-in-time,,common,832959736
2015-11-30,common-outstanding,,point-in-time,,common,23012296
2015-08-31,common-outstanding,,point-in-time,,common,23335000
2015-06-11,common-outstanding,,point-in-time,,common,823833754
2015-05-31,common-outstanding,,point-in-time,,common,26252846
2015-03-12,common-outstanding,,point-in-time,,common,822245968
2015-02-28,common-outstanding,,point-in-time,,common,26851979
2014-12-09,common-outstanding,,point-in-time,,common,819359202
2014-11-30,common-outstanding,,point-in-time,,common,27198693
2014-08-31,common-outstanding,,point-in-time,,common,28057000
2014-06-12,common-outstanding,,point-in-time,,common,812326797
2014-05-31,common-outstanding,,point-in-time,,common,28700062
2014-03-13,common-outstanding,,point-in-time,,common,810522667
2014-02-28,common-outstanding,,point-in-time,,common,29079918
2013-12-06,common-outstanding,,point-in-time,,common,807680816
2013-11-30,common-outstanding,,point-in-time,,common,29779928
2013-08-31,common-outstanding,,point-in-time,,common,30312000
2013-06-14,common-outstanding,,point-in-time,,common,799631672
2013-05-31,common-outstanding,,point-in-time,,common,30888896
2013-03-14,common-outstanding,,point-in-time,,common,798164456
2013-02-28,common-outstanding,,point-in-time,,common,766037000
2012-12-11,common-outstanding,,point-in-time,,common,794631625
2012-11-30,common-outstanding,,point-in-time,,common,40000
2012-08-31,common-outstanding,,point-in-time,,common,43372000
2012-05-31,common-outstanding,,point-in-time,,common,679799058
2012-03-16,common-outstanding,,point-in-time,,common,691587118
2012-02-29,common-outstanding,,point-in-time,,common,47135687
2011-12-12,common-outstanding,,point-in-time,,common,6950934270
2011-11-30,common-outstanding,,point-in-time,,common,478846790
2011-08-31,common-outstanding,,point-in-time,,common,49365000
2011-06-17,common-outstanding,,point-in-time,,common,6959090420
2011-05-31,common-outstanding,,point-in-time,,common,514861840
2011-03-18,common-outstanding,,point-in-time,,common,7025492430
2011-02-28,common-outstanding,,point-in-time,,common,533174850
2010-12-13,common-outstanding,,point-in-time,,common,6973254440
2010-11-30,common-outstanding,,point-in-time,,common,571955560
2010-08-31,common-outstanding,,point-in-time,,common,40000
2010-06-18,common-outstanding,,point-in-time,,common,7059098600
2010-05-31,common-outstanding,,point-in-time,,common,686398260
2010-03-19,common-outstanding,,point-in-time,,common,6370161430
2010-02-28,common-outstanding,,point-in-time,,common,729723600
2009-11-30,common-outstanding,,point-in-time,,common,817946380
2009-08-31,common-outstanding,,point-in-time,,common,677020000
