date,figure,fyear,measure,period,type,value
2019-03-22,common-outstanding,,point-in-time,,common,487950943
2019-03-01,common-outstanding,,point-in-time,,common,488504000
2019-01-18,common-outstanding,,point-in-time,,common,487725915
2018-11-30,common-outstanding,,point-in-time,,common,487663000
2018-09-21,common-outstanding,,point-in-time,,common,488133527
2018-08-31,common-outstanding,,point-in-time,,common,489007000
2018-06-22,common-outstanding,,point-in-time,,common,489662656
2018-06-01,common-outstanding,,point-in-time,,common,490435000
2018-03-23,common-outstanding,,point-in-time,,common,492470335
2018-03-02,common-outstanding,,point-in-time,,common,492880000
2018-01-12,common-outstanding,,point-in-time,,common,491578529
2017-12-01,common-outstanding,,point-in-time,,common,491262000
2017-09-22,common-outstanding,,point-in-time,,common,492943014
2017-09-01,common-outstanding,,point-in-time,,common,492874000
2017-06-23,common-outstanding,,point-in-time,,common,493405675
2017-06-02,common-outstanding,,point-in-time,,common,493324000
2017-03-24,common-outstanding,,point-in-time,,common,494697996
2017-03-03,common-outstanding,,point-in-time,,common,495130000
2016-12-02,common-outstanding,,point-in-time,,common,494254000
2016-09-23,common-outstanding,,point-in-time,,common,497227020
2016-09-02,common-outstanding,,point-in-time,,common,497025000
2016-06-24,common-outstanding,,point-in-time,,common,498290892
2016-06-03,common-outstanding,,point-in-time,,common,498972000
2016-03-25,common-outstanding,,point-in-time,,common,500209547
2016-03-04,common-outstanding,,point-in-time,,common,500693000
2015-11-27,common-outstanding,,point-in-time,,common,497809000
2015-09-18,common-outstanding,,point-in-time,,common,498799349
2015-08-28,common-outstanding,,point-in-time,,common,498705000
2015-06-19,common-outstanding,,point-in-time,,common,497645374
2015-05-29,common-outstanding,,point-in-time,,common,498276000
2015-03-20,common-outstanding,,point-in-time,,common,500269100
2015-02-27,common-outstanding,,point-in-time,,common,500048000
2014-11-28,common-outstanding,,point-in-time,,common,497484000
2014-09-19,common-outstanding,,point-in-time,,common,498738874
2014-08-29,common-outstanding,,point-in-time,,common,498599000
2014-06-20,common-outstanding,,point-in-time,,common,497375239
2014-05-30,common-outstanding,,point-in-time,,common,497247000
2014-03-21,common-outstanding,,point-in-time,,common,497730431
2014-02-28,common-outstanding,,point-in-time,,common,498501000
2013-11-29,common-outstanding,,point-in-time,,common,496261000
2013-09-27,common-outstanding,,point-in-time,,common,499887325
2013-08-30,common-outstanding,,point-in-time,,common,501806000
2013-06-21,common-outstanding,,point-in-time,,common,502261330
2013-05-31,common-outstanding,,point-in-time,,common,503052000
2013-03-22,common-outstanding,,point-in-time,,common,501936172
2013-03-01,common-outstanding,,point-in-time,,common,501045000
2012-11-30,common-outstanding,,point-in-time,,common,494132000
2012-09-21,common-outstanding,,point-in-time,,common,495054621
2012-08-31,common-outstanding,,point-in-time,,common,494732000
2012-06-22,common-outstanding,,point-in-time,,common,491762581
2012-06-01,common-outstanding,,point-in-time,,common,493987000
2012-03-23,common-outstanding,,point-in-time,,common,496126247
2012-03-02,common-outstanding,,point-in-time,,common,495928000
2011-12-02,common-outstanding,,point-in-time,,common,491540000
2011-09-30,common-outstanding,,point-in-time,,common,490895858
2011-09-02,common-outstanding,,point-in-time,,common,492806000
2011-06-24,common-outstanding,,point-in-time,,common,493866593
2011-06-03,common-outstanding,,point-in-time,,common,493763000
2011-04-01,common-outstanding,,point-in-time,,common,504458624
2011-03-04,common-outstanding,,point-in-time,,common,504987000
2010-12-03,common-outstanding,,point-in-time,,common,501897000
2010-10-01,common-outstanding,,point-in-time,,common,508716666
2010-09-03,common-outstanding,,point-in-time,,common,513057000
2010-06-25,common-outstanding,,point-in-time,,common,525224418
2010-06-15,common-outstanding,,point-in-time,,common,524119635
2010-06-04,common-outstanding,,point-in-time,,common,525068000
2010-04-02,common-outstanding,,point-in-time,,common,526422951
2010-03-05,common-outstanding,,point-in-time,,common,525782000
2009-11-27,common-outstanding,,point-in-time,,common,522657000
2009-09-25,common-outstanding,,point-in-time,,common,523760118
2009-08-28,common-outstanding,,point-in-time,,common,524665000
2009-06-19,common-outstanding,,point-in-time,,common,524998013
2009-05-29,common-outstanding,,point-in-time,,common,524530000
2009-03-27,common-outstanding,,point-in-time,,common,523737172
2009-02-27,common-outstanding,,point-in-time,,common,524095000
2008-11-28,common-outstanding,,point-in-time,,common,526111000
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,489562750
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,488056000
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,490564000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,490564000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,488256000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,489135000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,491531750
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,491336000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,490025000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,492382750
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,491993000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,491914000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1,common,492994250
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,492061000
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1.25,common,493632000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,493632000
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,492119000
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,492772000
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,494527750
2017-09-30,common-outstanding-basic,2017.0,period,9M,common,494138000
2017-09-30,common-outstanding-basic,2017.0,period,Q3,common,493426000
2017-06-30,common-outstanding-basic,2017.0,period,TTM-1.75,common,495816250
2017-06-30,common-outstanding-basic,2017.0,period,H1,common,494492000
2017-06-30,common-outstanding-basic,2017.0,period,Q2,common,494371000
2017-03-31,common-outstanding-basic,2017.0,period,TTM-2,common,497216750
2017-03-31,common-outstanding-basic,2017.0,period,Q1,common,494612000
2016-12-31,common-outstanding-basic,2016.0,period,TTM-2.25,common,498345000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,498345000
2016-12-31,common-outstanding-basic,2016.0,period,Q4,common,495697000
2016-12-31,common-outstanding-basic,2016.0,period,H2,common,497156000
2016-09-30,common-outstanding-basic,2016.0,period,TTM-2.5,common,499013500
2016-09-30,common-outstanding-basic,2016.0,period,9M,common,499224000
2016-09-30,common-outstanding-basic,2016.0,period,Q3,common,498584000
2016-06-30,common-outstanding-basic,2016.0,period,TTM-2.75,common,499020000
2016-06-30,common-outstanding-basic,2016.0,period,H1,common,499534000
2016-06-30,common-outstanding-basic,2016.0,period,Q2,common,499974000
2016-03-31,common-outstanding-basic,2016.0,period,TTM-3,common,498856750
2016-03-31,common-outstanding-basic,2016.0,period,Q1,common,499125000
2015-12-31,common-outstanding-basic,2015.0,period,TTM-3.25,common,498764000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,498764000
2015-12-31,common-outstanding-basic,2015.0,period,Q4,common,498382000
2015-12-31,common-outstanding-basic,2015.0,period,H2,common,498506000
2015-09-30,common-outstanding-basic,2015.0,period,TTM-3.5,common,498698500
2015-09-30,common-outstanding-basic,2015.0,period,9M,common,498891000
2015-09-30,common-outstanding-basic,2015.0,period,Q3,common,498630000
2015-06-30,common-outstanding-basic,2015.0,period,TTM-3.75,common,498658250
2015-06-30,common-outstanding-basic,2015.0,period,H1,common,499022000
2015-06-30,common-outstanding-basic,2015.0,period,Q2,common,499290000
2015-03-31,common-outstanding-basic,2015.0,period,TTM-4,common,498318500
2015-03-31,common-outstanding-basic,2015.0,period,Q1,common,498754000
2014-12-31,common-outstanding-basic,2014.0,period,TTM-4.25,common,497867000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,497867000
2014-12-31,common-outstanding-basic,2014.0,period,Q4,common,498121000
2014-12-31,common-outstanding-basic,2014.0,period,H2,common,498295000
2014-09-30,common-outstanding-basic,2014.0,period,TTM-4.5,common,498181750
2014-09-30,common-outstanding-basic,2014.0,period,9M,common,497782000
2014-09-30,common-outstanding-basic,2014.0,period,Q3,common,498468000
2014-06-30,common-outstanding-basic,2014.0,period,TTM-4.75,common,499593750
2014-06-30,common-outstanding-basic,2014.0,period,H1,common,497439000
2014-06-30,common-outstanding-basic,2014.0,period,Q2,common,497931000
2014-03-31,common-outstanding-basic,2014.0,period,TTM-5,common,500957250
2014-03-31,common-outstanding-basic,2014.0,period,Q1,common,496948000
2013-12-31,common-outstanding-basic,2013.0,period,TTM-5.25,common,501372000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,501372000
2013-12-31,common-outstanding-basic,2013.0,period,Q4,common,499381000
2013-12-31,common-outstanding-basic,2013.0,period,H2,common,501748000
2013-09-30,common-outstanding-basic,2013.0,period,TTM-5.5,common,500256000
2013-09-30,common-outstanding-basic,2013.0,period,9M,common,502039000
2013-09-30,common-outstanding-basic,2013.0,period,Q3,common,504116000
2013-06-30,common-outstanding-basic,2013.0,period,TTM-5.75,common,497737500
2013-06-30,common-outstanding-basic,2013.0,period,H1,common,500996000
2013-06-30,common-outstanding-basic,2013.0,period,Q2,common,503384000
2013-03-31,common-outstanding-basic,2013.0,period,TTM-6,common,495878750
2013-03-31,common-outstanding-basic,2013.0,period,Q1,common,498607000
2012-12-31,common-outstanding-basic,2012.0,period,TTM-6.25,common,494731000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,494731000
2012-12-31,common-outstanding-basic,2012.0,period,Q4,common,494907000
2012-12-31,common-outstanding-basic,2012.0,period,H2,common,494479000
2012-09-30,common-outstanding-basic,2012.0,period,TTM-6.5,common,493883750
2012-09-30,common-outstanding-basic,2012.0,period,9M,common,494672000
2012-09-30,common-outstanding-basic,2012.0,period,Q3,common,494051000
2012-06-30,common-outstanding-basic,2012.0,period,TTM-6.75,common,494005500
2012-06-30,common-outstanding-basic,2012.0,period,H1,common,494983000
2012-06-30,common-outstanding-basic,2012.0,period,Q2,common,495950000
2012-03-31,common-outstanding-basic,2012.0,period,TTM-7,common,494939500
2012-03-31,common-outstanding-basic,2012.0,period,Q1,common,494016000
2011-12-31,common-outstanding-basic,2011.0,period,TTM-7.25,common,497469000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,497469000
2011-12-31,common-outstanding-basic,2011.0,period,Q4,common,491519000
2011-12-31,common-outstanding-basic,2011.0,period,H2,common,493028000
2011-09-30,common-outstanding-basic,2011.0,period,TTM-7.5,common,501375500
2011-09-30,common-outstanding-basic,2011.0,period,9M,common,499451000
2011-09-30,common-outstanding-basic,2011.0,period,Q3,common,494537000
2011-06-30,common-outstanding-basic,2011.0,period,TTM-7.75,common,507419750
2011-06-30,common-outstanding-basic,2011.0,period,H1,common,501910000
2011-06-30,common-outstanding-basic,2011.0,period,Q2,common,499686000
2011-03-31,common-outstanding-basic,2011.0,period,TTM-8,common,514035250
2011-03-31,common-outstanding-basic,2011.0,period,Q1,common,504134000
2010-12-31,common-outstanding-basic,2010.0,period,TTM-8.25,common,519045000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,519045000
2010-12-31,common-outstanding-basic,2010.0,period,Q4,common,507149000
2010-12-31,common-outstanding-basic,2010.0,period,H2,common,512966000
2010-09-30,common-outstanding-basic,2010.0,period,TTM-8.5,common,523164750
2010-09-30,common-outstanding-basic,2010.0,period,9M,common,523039000
2010-09-30,common-outstanding-basic,2010.0,period,Q3,common,518710000
2010-06-30,common-outstanding-basic,2010.0,period,TTM-8.75,common,524925250
2010-06-30,common-outstanding-basic,2010.0,period,H1,common,525124000
2010-06-30,common-outstanding-basic,2010.0,period,Q2,common,526148000
2010-03-31,common-outstanding-basic,2010.0,period,TTM-9,common,524446250
2010-03-31,common-outstanding-basic,2010.0,period,Q1,common,524173000
2009-12-31,common-outstanding-basic,2009.0,period,TTM-9.25,common,524470000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,524470000
2009-12-31,common-outstanding-basic,2009.0,period,Q4,common,523542000
2009-12-31,common-outstanding-basic,2009.0,period,H2,common,521616000
2009-09-30,common-outstanding-basic,2009.0,period,TTM-9.5,common,528993250
2009-09-30,common-outstanding-basic,2009.0,period,9M,common,528015000
2009-09-30,common-outstanding-basic,2009.0,period,Q3,common,525911000
2009-06-30,common-outstanding-basic,2009.0,period,TTM-9.75,common,529409000
2009-06-30,common-outstanding-basic,2009.0,period,H1,common,527324000
2009-06-30,common-outstanding-basic,2009.0,period,Q2,common,524159000
2009-03-31,common-outstanding-basic,2009.0,period,TTM-10,common,530161750
2009-03-31,common-outstanding-basic,2009.0,period,Q1,common,524268000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,539373000
2008-12-31,common-outstanding-basic,2008.0,period,Q4,common,531928000
2008-12-31,common-outstanding-basic,2008.0,period,H2,common,530750000
2008-09-30,common-outstanding-basic,2008.0,period,9M,common,542624000
2008-09-30,common-outstanding-basic,2008.0,period,Q3,common,531060000
