date,figure,fyear,measure,period,type,value
2019-08-03,common-outstanding,,point-in-time,,common,369406136
2019-05-04,common-outstanding,,point-in-time,,common,369761227
2019-02-02,common-outstanding,,point-in-time,,common,368314314
2018-11-03,common-outstanding,,point-in-time,,common,370159553
2018-08-04,common-outstanding,,point-in-time,,common,371669966
2018-05-05,common-outstanding,,point-in-time,,common,370897292
2018-02-03,common-outstanding,,point-in-time,,common,369803589
2017-10-28,common-outstanding,,point-in-time,,common,368635788
2017-07-29,common-outstanding,,point-in-time,,common,367667745
2017-04-29,common-outstanding,,point-in-time,,common,367011463
2017-01-28,common-outstanding,,point-in-time,,common,309206677
2016-10-29,common-outstanding,,point-in-time,,common,308170560
2016-07-30,common-outstanding,,point-in-time,,common,307474197
2016-04-30,common-outstanding,,point-in-time,,common,307349804
2016-01-30,common-outstanding,,point-in-time,,common,310019122
2015-10-31,common-outstanding,,point-in-time,,common,312060682
2015-08-01,common-outstanding,,point-in-time,,common,313674772
2015-05-02,common-outstanding,,point-in-time,,common,313541685
2015-01-31,common-outstanding,,point-in-time,,common,311627385
2014-11-01,common-outstanding,,point-in-time,,common,311204926
2014-08-02,common-outstanding,,point-in-time,,common,314212784
2014-05-03,common-outstanding,,point-in-time,,common,314145403
2014-02-01,common-outstanding,,point-in-time,,common,312527904
2013-11-02,common-outstanding,,point-in-time,,common,311045084
2013-08-03,common-outstanding,,point-in-time,,common,310692734
2013-05-04,common-outstanding,,point-in-time,,common,308165416
2013-02-02,common-outstanding,,point-in-time,,common,305984586
2012-11-03,common-outstanding,,point-in-time,,common,301389176
2012-08-04,common-outstanding,,point-in-time,,common,298905593
2012-05-05,common-outstanding,,point-in-time,,common,298337925
2012-02-04,common-outstanding,,point-in-time,,common,297832028
2011-10-29,common-outstanding,,point-in-time,,common,297960718
2011-07-30,common-outstanding,,point-in-time,,common,299437920
2011-04-30,common-outstanding,,point-in-time,,common,299633520
2011-01-29,common-outstanding,,point-in-time,,common,299610446
2010-10-30,common-outstanding,,point-in-time,,common,298652994
2010-07-31,common-outstanding,,point-in-time,,common,298089485
2010-05-01,common-outstanding,,point-in-time,,common,297981270
2010-01-30,common-outstanding,,point-in-time,,common,297690739
2009-10-31,common-outstanding,,point-in-time,,common,291861767
2009-08-01,common-outstanding,,point-in-time,,common,291549108
2008-11-01,common-outstanding,,point-in-time,,common,291193451
2019-07-31,common-outstanding-basic,2019.0,period,TTM,common,369602000
2019-07-31,common-outstanding-basic,2019.0,period,9M,common,369160000
2019-07-31,common-outstanding-basic,2019.0,period,Q3,common,369533000
2019-04-30,common-outstanding-basic,2019.0,period,TTM-0.25,common,370047750
2019-04-30,common-outstanding-basic,2019.0,period,H1,common,368974000
2019-04-30,common-outstanding-basic,2019.0,period,Q2,common,369246000
2019-01-31,common-outstanding-basic,2019.0,period,TTM-0.5,common,370332500
2019-01-31,common-outstanding-basic,2019.0,period,Q1,common,368703000
2018-10-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,370430000
2018-10-31,common-outstanding-basic,2018.0,period,FY,common,370430000
2018-10-31,common-outstanding-basic,2018.0,period,Q4,common,370928000
2018-10-31,common-outstanding-basic,2018.0,period,H2,common,371175000
2018-07-31,common-outstanding-basic,2018.0,period,TTM-1,common,369675000
2018-07-31,common-outstanding-basic,2018.0,period,9M,common,370211000
2018-07-31,common-outstanding-basic,2018.0,period,Q3,common,371315000
2018-04-30,common-outstanding-basic,2018.0,period,TTM-1.25,common,368688000
2018-04-30,common-outstanding-basic,2018.0,period,H1,common,369685000
2018-04-30,common-outstanding-basic,2018.0,period,Q2,common,370384000
2018-01-31,common-outstanding-basic,2018.0,period,TTM-1.5,common,361447750
2018-01-31,common-outstanding-basic,2018.0,period,Q1,common,369093000
2017-10-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,346371000
2017-10-31,common-outstanding-basic,2017.0,period,FY,common,346371000
2017-10-31,common-outstanding-basic,2017.0,period,Q4,common,368067000
2017-10-31,common-outstanding-basic,2017.0,period,H2,common,367691000
2017-07-31,common-outstanding-basic,2017.0,period,TTM-2,common,331317500
2017-07-31,common-outstanding-basic,2017.0,period,9M,common,339139000
2017-07-31,common-outstanding-basic,2017.0,period,Q3,common,367315000
2017-04-30,common-outstanding-basic,2017.0,period,TTM-2.25,common,316272500
2017-04-30,common-outstanding-basic,2017.0,period,H1,common,325051000
2017-04-30,common-outstanding-basic,2017.0,period,Q2,common,341316000
2017-01-31,common-outstanding-basic,2017.0,period,TTM-2.5,common,308141000
2017-01-31,common-outstanding-basic,2017.0,period,Q1,common,308786000
2016-10-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,308736000
2016-10-31,common-outstanding-basic,2016.0,period,FY,common,308736000
2016-10-31,common-outstanding-basic,2016.0,period,Q4,common,307853000
2016-10-31,common-outstanding-basic,2016.0,period,H2,common,307494000
2016-07-31,common-outstanding-basic,2016.0,period,TTM-3,common,309979750
2016-07-31,common-outstanding-basic,2016.0,period,9M,common,309030000
2016-07-31,common-outstanding-basic,2016.0,period,Q3,common,307135000
2016-04-30,common-outstanding-basic,2016.0,period,TTM-3.25,common,311665500
2016-04-30,common-outstanding-basic,2016.0,period,H1,common,309978000
2016-04-30,common-outstanding-basic,2016.0,period,Q2,common,308790000
2016-01-31,common-outstanding-basic,2016.0,period,TTM-3.5,common,312633000
2016-01-31,common-outstanding-basic,2016.0,period,Q1,common,311166000
2015-10-31,common-outstanding-basic,2015.0,period,TTM-3.75,common,312660000
2015-10-31,common-outstanding-basic,2015.0,period,FY,common,312660000
2015-10-31,common-outstanding-basic,2015.0,period,Q4,common,312829000
2015-10-31,common-outstanding-basic,2015.0,period,H2,common,313353000
2015-07-31,common-outstanding-basic,2015.0,period,TTM-4,common,312657000
2015-07-31,common-outstanding-basic,2015.0,period,9M,common,312604000
2015-07-31,common-outstanding-basic,2015.0,period,Q3,common,313877000
2015-04-30,common-outstanding-basic,2015.0,period,TTM-4.25,common,312735000
2015-04-30,common-outstanding-basic,2015.0,period,H1,common,311967000
2015-04-30,common-outstanding-basic,2015.0,period,Q2,common,312660000
2015-01-31,common-outstanding-basic,2015.0,period,TTM-4.5,common,312942000
2015-01-31,common-outstanding-basic,2015.0,period,Q1,common,311274000
2014-10-31,common-outstanding-basic,2014.0,period,TTM-4.75,common,313195000
2014-10-31,common-outstanding-basic,2014.0,period,FY,common,313195000
2014-10-31,common-outstanding-basic,2014.0,period,Q4,common,312816000
2014-10-31,common-outstanding-basic,2014.0,period,H2,common,313503000
2014-07-31,common-outstanding-basic,2014.0,period,TTM-5,common,312742500
2014-07-31,common-outstanding-basic,2014.0,period,9M,common,313321000
2014-07-31,common-outstanding-basic,2014.0,period,Q3,common,314190000
2014-04-30,common-outstanding-basic,2014.0,period,TTM-5.25,common,311474500
2014-04-30,common-outstanding-basic,2014.0,period,H1,common,312887000
2014-04-30,common-outstanding-basic,2014.0,period,Q2,common,313488000
2014-01-31,common-outstanding-basic,2014.0,period,TTM-5.5,common,309963500
2014-01-31,common-outstanding-basic,2014.0,period,Q1,common,312286000
2013-10-31,common-outstanding-basic,2013.0,period,TTM-5.75,common,307763000
2013-10-31,common-outstanding-basic,2013.0,period,FY,common,307763000
2013-10-31,common-outstanding-basic,2013.0,period,Q4,common,311007000
2013-10-31,common-outstanding-basic,2013.0,period,H2,common,310062000
2013-07-31,common-outstanding-basic,2013.0,period,TTM-6,common,305181000
2013-07-31,common-outstanding-basic,2013.0,period,9M,common,306681000
2013-07-31,common-outstanding-basic,2013.0,period,Q3,common,309117000
2013-04-30,common-outstanding-basic,2013.0,period,TTM-6.25,common,302513500
2013-04-30,common-outstanding-basic,2013.0,period,H1,common,305464000
2013-04-30,common-outstanding-basic,2013.0,period,Q2,common,307444000
2013-01-31,common-outstanding-basic,2013.0,period,TTM-6.5,common,300185000
2013-01-31,common-outstanding-basic,2013.0,period,Q1,common,303484000
2012-10-31,common-outstanding-basic,2012.0,period,TTM-6.75,common,298761000
2012-10-31,common-outstanding-basic,2012.0,period,FY,common,298761000
2012-10-31,common-outstanding-basic,2012.0,period,Q4,common,300681000
2012-10-31,common-outstanding-basic,2012.0,period,H2,common,299563000
2012-07-31,common-outstanding-basic,2012.0,period,TTM-7,common,298318500
2012-07-31,common-outstanding-basic,2012.0,period,9M,common,298121000
2012-07-31,common-outstanding-basic,2012.0,period,Q3,common,298445000
2012-04-30,common-outstanding-basic,2012.0,period,TTM-7.25,common,298611250
2012-04-30,common-outstanding-basic,2012.0,period,H1,common,297959000
2012-04-30,common-outstanding-basic,2012.0,period,Q2,common,298130000
2012-01-31,common-outstanding-basic,2012.0,period,TTM-7.5,common,299059500
2012-01-31,common-outstanding-basic,2012.0,period,Q1,common,297788000
2011-10-31,common-outstanding-basic,2011.0,period,TTM-7.75,common,299417000
2011-10-31,common-outstanding-basic,2011.0,period,FY,common,299417000
2011-10-31,common-outstanding-basic,2011.0,period,Q4,common,298911000
2011-10-31,common-outstanding-basic,2011.0,period,H2,common,299264000
2011-07-31,common-outstanding-basic,2011.0,period,TTM-8,common,299246250
2011-07-31,common-outstanding-basic,2011.0,period,9M,common,299586000
2011-07-31,common-outstanding-basic,2011.0,period,Q3,common,299616000
2011-04-30,common-outstanding-basic,2011.0,period,TTM-8.25,common,298848500
2011-04-30,common-outstanding-basic,2011.0,period,H1,common,299570000
2011-04-30,common-outstanding-basic,2011.0,period,Q2,common,299923000
2011-01-31,common-outstanding-basic,2011.0,period,TTM-8.5,common,298324250
2011-01-31,common-outstanding-basic,2011.0,period,Q1,common,299218000
2010-10-31,common-outstanding-basic,2010.0,period,TTM-8.75,common,297387000
2010-10-31,common-outstanding-basic,2010.0,period,FY,common,297387000
2010-10-31,common-outstanding-basic,2010.0,period,Q4,common,298227000
2010-10-31,common-outstanding-basic,2010.0,period,H2,common,298056000
2010-07-31,common-outstanding-basic,2010.0,period,TTM-9,common,295765000
2010-07-31,common-outstanding-basic,2010.0,period,9M,common,297107000
2010-07-31,common-outstanding-basic,2010.0,period,Q3,common,298027000
2010-04-30,common-outstanding-basic,2010.0,period,TTM-9.25,common,294140500
2010-04-30,common-outstanding-basic,2010.0,period,H1,common,296718000
2010-04-30,common-outstanding-basic,2010.0,period,Q2,common,297825000
2010-01-31,common-outstanding-basic,2010.0,period,TTM-9.5,common,292455500
2010-01-31,common-outstanding-basic,2010.0,period,Q1,common,295469000
2009-10-31,common-outstanding-basic,2009.0,period,TTM-9.75,common,291385000
2009-10-31,common-outstanding-basic,2009.0,period,FY,common,291385000
2009-10-31,common-outstanding-basic,2009.0,period,Q4,common,291739000
2009-10-31,common-outstanding-basic,2009.0,period,H2,common,291563000
2009-07-31,common-outstanding-basic,2009.0,period,TTM-10,common,291161750
2009-07-31,common-outstanding-basic,2009.0,period,9M,common,291267000
