date,figure,fyear,measure,period,type,value
2019-04-25,common-outstanding,,point-in-time,,common,560165196
2019-03-31,common-outstanding,,point-in-time,,common,560000000
2019-02-14,common-outstanding,,point-in-time,,common,560088795
2018-12-31,common-outstanding,,point-in-time,,common,559000000
2018-11-05,common-outstanding,,point-in-time,,common,560644375
2018-09-30,common-outstanding,,point-in-time,,common,560000000
2018-07-30,common-outstanding,,point-in-time,,common,559737398
2018-06-30,common-outstanding,,point-in-time,,common,559000000
2018-04-30,common-outstanding,,point-in-time,,common,559184185
2018-03-31,common-outstanding,,point-in-time,,common,559000000
2018-02-15,common-outstanding,,point-in-time,,common,558839277
2017-12-31,common-outstanding,,point-in-time,,common,557000000
2017-10-30,common-outstanding,,point-in-time,,common,559250312
2017-09-30,common-outstanding,,point-in-time,,common,559000000
2017-07-31,common-outstanding,,point-in-time,,common,562547422
2017-06-30,common-outstanding,,point-in-time,,common,563000000
2017-04-28,common-outstanding,,point-in-time,,common,568357122
2017-03-31,common-outstanding,,point-in-time,,common,569000000
2016-12-31,common-outstanding,,point-in-time,,common,573000000
2016-09-30,common-outstanding,,point-in-time,,common,578000000
2016-07-29,common-outstanding,,point-in-time,,common,581763197
2016-06-30,common-outstanding,,point-in-time,,common,583000000
2016-04-29,common-outstanding,,point-in-time,,common,587582116
2016-03-31,common-outstanding,,point-in-time,,common,587000000
2015-12-31,common-outstanding,,point-in-time,,common,595000000
2015-10-30,common-outstanding,,point-in-time,,common,596739885
2015-09-30,common-outstanding,,point-in-time,,common,601000000
2015-07-31,common-outstanding,,point-in-time,,common,608939506
2015-06-30,common-outstanding,,point-in-time,,common,614000000
2015-04-30,common-outstanding,,point-in-time,,common,620373436
2015-03-31,common-outstanding,,point-in-time,,common,625000000
2014-12-31,common-outstanding,,point-in-time,,common,637000000
2014-10-31,common-outstanding,,point-in-time,,common,643787556
2014-09-30,common-outstanding,,point-in-time,,common,646000000
2014-07-31,common-outstanding,,point-in-time,,common,645520743
2014-06-30,common-outstanding,,point-in-time,,common,648000000
2014-04-30,common-outstanding,,point-in-time,,common,654466859
2014-03-31,common-outstanding,,point-in-time,,common,655000000
2013-12-31,common-outstanding,,point-in-time,,common,659000000
2013-10-31,common-outstanding,,point-in-time,,common,657970080
2013-09-30,common-outstanding,,point-in-time,,common,658000000
2013-07-31,common-outstanding,,point-in-time,,common,659185636
2013-06-30,common-outstanding,,point-in-time,,common,659000000
2013-04-30,common-outstanding,,point-in-time,,common,659029761
2012-12-31,common-outstanding,,point-in-time,,common,659000000
2012-10-31,common-outstanding,,point-in-time,,common,658566339
2012-04-30,common-outstanding,,point-in-time,,common,658525757
2012-01-31,common-outstanding,,point-in-time,,common,661632896
2011-07-29,common-outstanding,,point-in-time,,common,675797974
2011-04-29,common-outstanding,,point-in-time,,common,637880202
2010-04-30,common-outstanding,,point-in-time,,common,643049847
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,564500000
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,565000000
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,564000000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,564000000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,564000000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,564000000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,563750000
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,564000000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,565000000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,564250000
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,564000000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,564000000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1,common,565750000
