date,figure,fyear,measure,period,type,value
2019-08-29,common-outstanding,,point-in-time,,common,219587608
2019-05-29,common-outstanding,,point-in-time,,common,219619580
2019-03-15,common-outstanding,,point-in-time,,common,219535216
2019-01-31,common-outstanding,,point-in-time,,common,219400000
2018-11-30,common-outstanding,,point-in-time,,common,219008836
2018-10-31,common-outstanding,,point-in-time,,common,219100000
2018-08-24,common-outstanding,,point-in-time,,common,218616633
2018-07-31,common-outstanding,,point-in-time,,common,218500000
2018-06-04,common-outstanding,,point-in-time,,common,219145087
2018-04-30,common-outstanding,,point-in-time,,common,219100000
2018-03-12,common-outstanding,,point-in-time,,common,218327862
2018-01-31,common-outstanding,,point-in-time,,common,218300000
2017-10-31,common-outstanding,,point-in-time,,common,220300000
2017-07-31,common-outstanding,,point-in-time,,common,219100000
2017-04-30,common-outstanding,,point-in-time,,common,219900000
2017-01-31,common-outstanding,,point-in-time,,common,220300000
2016-01-31,common-outstanding,,point-in-time,,common,224400000
2015-02-28,common-outstanding,,point-in-time,,common,227204316
2015-01-31,common-outstanding,,point-in-time,,common,227000000
2014-02-28,common-outstanding,,point-in-time,,common,227185041
2014-01-31,common-outstanding,,point-in-time,,common,226700000
2013-02-28,common-outstanding,,point-in-time,,common,223800000
2013-01-31,common-outstanding,,point-in-time,,common,223600000
2012-02-29,common-outstanding,,point-in-time,,common,227300000
2012-01-31,common-outstanding,,point-in-time,,common,225900000
2011-01-31,common-outstanding,,point-in-time,,common,227000000
2010-01-31,common-outstanding,,point-in-time,,common,228900000
2009-04-30,common-outstanding,,point-in-time,,common,228408965
2009-01-31,common-outstanding,,point-in-time,,common,226400000
2008-01-31,common-outstanding,,point-in-time,,common,230000000
2007-01-31,common-outstanding,,point-in-time,,common,231100000
2019-07-31,common-outstanding-basic,2019.0,period,TTM,common,219300000
2019-07-31,common-outstanding-basic,2019.0,period,H1,common,219600000
2019-07-31,common-outstanding-basic,2019.0,period,Q2,common,219600000
2019-04-30,common-outstanding-basic,2019.0,period,TTM-0.25,common,219150000
2019-04-30,common-outstanding-basic,2019.0,period,Q1,common,219600000
2019-01-31,common-outstanding-basic,2018.0,period,TTM-0.5,common,218900000
2019-01-31,common-outstanding-basic,2018.0,period,FY,common,218900000
2019-01-31,common-outstanding-basic,2018.0,period,Q4,common,219100000
2019-01-31,common-outstanding-basic,2018.0,period,H2,common,219000000
2018-10-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,217175000
2018-10-31,common-outstanding-basic,2018.0,period,9M,common,218700000
2018-10-31,common-outstanding-basic,2018.0,period,Q3,common,218900000
2018-07-31,common-outstanding-basic,2018.0,period,TTM-1,common,218125000
2018-07-31,common-outstanding-basic,2018.0,period,H1,common,218800000
2018-07-31,common-outstanding-basic,2018.0,period,Q2,common,219000000
2018-04-30,common-outstanding-basic,2018.0,period,TTM-1.25,common,219175000
2018-04-30,common-outstanding-basic,2018.0,period,Q1,common,218600000
2018-01-31,common-outstanding-basic,2017.0,period,TTM-1.5,common,219500000
2018-01-31,common-outstanding-basic,2017.0,period,FY,common,219500000
2018-01-31,common-outstanding-basic,2017.0,period,Q4,common,212600000
2018-01-31,common-outstanding-basic,2017.0,period,H2,common,215200000
2017-10-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,223600000
2017-10-31,common-outstanding-basic,2017.0,period,9M,common,223300000
2017-10-31,common-outstanding-basic,2017.0,period,Q3,common,222300000
2017-07-31,common-outstanding-basic,2017.0,period,TTM-2,common,224350000
2017-07-31,common-outstanding-basic,2017.0,period,H1,common,223800000
2017-07-31,common-outstanding-basic,2017.0,period,Q2,common,223200000
2017-04-30,common-outstanding-basic,2017.0,period,TTM-2.25,common,224175000
2017-04-30,common-outstanding-basic,2017.0,period,Q1,common,219900000
2017-01-31,common-outstanding-basic,2016.0,period,TTM-2.5,common,226000000
2017-01-31,common-outstanding-basic,2016.0,period,FY,common,226000000
2017-01-31,common-outstanding-basic,2016.0,period,Q4,common,224500000
2017-01-31,common-outstanding-basic,2016.0,period,H2,common,224900000
2016-10-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,226675000
2016-10-31,common-outstanding-basic,2016.0,period,9M,common,226500000
2016-10-31,common-outstanding-basic,2016.0,period,Q3,common,225300000
2016-07-31,common-outstanding-basic,2016.0,period,TTM-3,common,227075000
2016-07-31,common-outstanding-basic,2016.0,period,H1,common,227100000
