date,figure,fyear,measure,period,type,value
2016-05-02,common-outstanding,,point-in-time,,common,165618879
2016-03-31,common-outstanding,,point-in-time,,common,165549250
2016-01-26,common-outstanding,,point-in-time,,common,165311675
2015-12-31,common-outstanding,,point-in-time,,common,165293772
2015-09-25,common-outstanding,,point-in-time,,common,165850306
2015-07-22,common-outstanding,,point-in-time,,common,169932547
2015-06-26,common-outstanding,,point-in-time,,common,170657540
2015-04-22,common-outstanding,,point-in-time,,common,171296983
2015-03-27,common-outstanding,,point-in-time,,common,171234622
2015-01-21,common-outstanding,,point-in-time,,common,171152219
2014-12-26,common-outstanding,,point-in-time,,common,171739692
2014-09-26,common-outstanding,,point-in-time,,common,174109318
2014-07-23,common-outstanding,,point-in-time,,common,174008140
2014-06-27,common-outstanding,,point-in-time,,common,173961192
2014-04-23,common-outstanding,,point-in-time,,common,174245639
2014-03-28,common-outstanding,,point-in-time,,common,177110996
2014-01-23,common-outstanding,,point-in-time,,common,183309790
2013-12-27,common-outstanding,,point-in-time,,common,183264654
2013-09-27,common-outstanding,,point-in-time,,common,209000000
2013-07-24,common-outstanding,,point-in-time,,common,210519616
2013-06-28,common-outstanding,,point-in-time,,common,212584879
2013-04-24,common-outstanding,,point-in-time,,common,218785981
2013-03-29,common-outstanding,,point-in-time,,common,219941000
2013-01-23,common-outstanding,,point-in-time,,common,232226642
2012-12-28,common-outstanding,,point-in-time,,common,232783101
2012-09-28,common-outstanding,,point-in-time,,common,231000000
2016-03-31,common-outstanding-basic,2016.0,period,TTM,common,167250000
2016-03-31,common-outstanding-basic,2016.0,period,H1,common,165000000
2016-03-31,common-outstanding-basic,2016.0,period,Q2,common,165000000
2015-12-31,common-outstanding-basic,2016.0,period,TTM-0.25,common,168750000
2015-12-31,common-outstanding-basic,2016.0,period,Q1,common,165000000
2015-09-30,common-outstanding-basic,2015.0,period,TTM-0.5,common,171000000
2015-09-30,common-outstanding-basic,2015.0,period,FY,common,171000000
2015-09-30,common-outstanding-basic,2015.0,period,Q4,common,168000000
2015-09-30,common-outstanding-basic,2015.0,period,H2,common,169000000
2015-06-30,common-outstanding-basic,2015.0,period,TTM-0.75,common,173000000
2015-06-30,common-outstanding-basic,2015.0,period,9M,common,172000000
2015-06-30,common-outstanding-basic,2015.0,period,Q3,common,171000000
2015-03-31,common-outstanding-basic,2015.0,period,TTM-1,common,174000000
2015-03-31,common-outstanding-basic,2015.0,period,H1,common,173000000
2015-03-31,common-outstanding-basic,2015.0,period,Q2,common,171000000
2014-12-31,common-outstanding-basic,2015.0,period,TTM-1.25,common,176500000
2014-12-31,common-outstanding-basic,2015.0,period,Q1,common,174000000
2014-09-30,common-outstanding-basic,2014.0,period,TTM-1.5,common,182000000
2014-09-30,common-outstanding-basic,2014.0,period,FY,common,182000000
2014-09-30,common-outstanding-basic,2014.0,period,Q4,common,176000000
2014-09-30,common-outstanding-basic,2014.0,period,H2,common,175000000
2014-06-30,common-outstanding-basic,2014.0,period,TTM-1.75,common,191000000
2014-06-30,common-outstanding-basic,2014.0,period,9M,common,184000000
2014-06-30,common-outstanding-basic,2014.0,period,Q3,common,174000000
2014-03-31,common-outstanding-basic,2014.0,period,TTM-2,common,201750000
2014-03-31,common-outstanding-basic,2014.0,period,H1,common,189000000
2014-03-31,common-outstanding-basic,2014.0,period,Q2,common,182000000
2013-12-31,common-outstanding-basic,2014.0,period,TTM-2.25,common,212750000
2013-12-31,common-outstanding-basic,2014.0,period,Q1,common,196000000
2013-09-30,common-outstanding-basic,2013.0,period,TTM-2.5,common,222000000
2013-09-30,common-outstanding-basic,2013.0,period,FY,common,222000000
2013-09-30,common-outstanding-basic,2013.0,period,Q4,common,212000000
2013-09-30,common-outstanding-basic,2013.0,period,H2,common,214000000
2013-06-30,common-outstanding-basic,2013.0,period,TTM-2.75,common,226750000
2013-06-30,common-outstanding-basic,2013.0,period,9M,common,225000000
2013-06-30,common-outstanding-basic,2013.0,period,Q3,common,217000000
2013-03-31,common-outstanding-basic,2013.0,period,TTM-3,common,231000000
2013-03-31,common-outstanding-basic,2013.0,period,H1,common,230000000
2013-03-31,common-outstanding-basic,2013.0,period,Q2,common,226000000
2012-12-31,common-outstanding-basic,2013.0,period,TTM-3.25,common,232250000
2012-12-31,common-outstanding-basic,2013.0,period,Q1,common,233000000
2012-09-30,common-outstanding-basic,2012.0,period,TTM-3.5,common,232000000
2012-09-30,common-outstanding-basic,2012.0,period,FY,common,232000000
2012-09-30,common-outstanding-basic,2012.0,period,Q4,common,232000000
2012-09-30,common-outstanding-basic,2012.0,period,H2,common,232000000
2012-06-30,common-outstanding-basic,2012.0,period,9M,common,232000000
2012-06-30,common-outstanding-basic,2012.0,period,Q3,common,232000000
2012-03-31,common-outstanding-basic,2012.0,period,H1,common,232000000
2012-03-31,common-outstanding-basic,2012.0,period,Q2,common,232000000
2011-12-31,common-outstanding-basic,2012.0,period,Q1,common,232000000
2011-09-30,common-outstanding-basic,2011.0,period,TTM-4.5,common,232000000
2011-09-30,common-outstanding-basic,2011.0,period,FY,common,232000000
2016-03-31,common-outstanding-diluted,2016.0,period,TTM,common,168250000
2016-03-31,common-outstanding-diluted,2016.0,period,TTM,common,168250000
2016-03-31,common-outstanding-diluted,2016.0,period,H1,common,166000000
2016-03-31,common-outstanding-diluted,2016.0,period,Q2,common,166000000
2015-12-31,common-outstanding-diluted,2016.0,period,TTM-0.25,common,169750000
2015-12-31,common-outstanding-diluted,2016.0,period,TTM-0.25,common,169750000
2015-12-31,common-outstanding-diluted,2016.0,period,Q1,common,166000000
2015-09-30,common-outstanding-diluted,2015.0,period,TTM-0.5,common,172000000
2015-09-30,common-outstanding-diluted,2015.0,period,TTM-0.5,common,172000000
2015-09-30,common-outstanding-diluted,2015.0,period,FY,common,172000000
2015-09-30,common-outstanding-diluted,2015.0,period,Q4,common,169000000
2015-09-30,common-outstanding-diluted,2015.0,period,H2,common,171000000
2015-06-30,common-outstanding-diluted,2015.0,period,TTM-0.75,common,173750000
2015-06-30,common-outstanding-diluted,2015.0,period,TTM-0.75,common,173750000
2015-06-30,common-outstanding-diluted,2015.0,period,9M,common,173000000
2015-06-30,common-outstanding-diluted,2015.0,period,Q3,common,172000000
2015-03-31,common-outstanding-diluted,2015.0,period,TTM-1,common,174250000
2015-03-31,common-outstanding-diluted,2015.0,period,TTM-1,common,174250000
2015-03-31,common-outstanding-diluted,2015.0,period,H1,common,173000000
2015-03-31,common-outstanding-diluted,2015.0,period,Q2,common,172000000
2014-12-31,common-outstanding-diluted,2015.0,period,TTM-1.25,common,177250000
2014-12-31,common-outstanding-diluted,2015.0,period,TTM-1.25,common,177250000
2014-12-31,common-outstanding-diluted,2015.0,period,Q1,common,175000000
2014-09-30,common-outstanding-diluted,2014.0,period,TTM-1.5,common,183000000
2014-09-30,common-outstanding-diluted,2014.0,period,TTM-1.5,common,183000000
2014-09-30,common-outstanding-diluted,2014.0,period,FY,common,183000000
2014-09-30,common-outstanding-diluted,2014.0,period,Q4,common,176000000
2014-09-30,common-outstanding-diluted,2014.0,period,H2,common,176000000
2014-06-30,common-outstanding-diluted,2014.0,period,TTM-1.75,common,191750000
2014-06-30,common-outstanding-diluted,2014.0,period,TTM-1.75,common,191750000
2014-06-30,common-outstanding-diluted,2014.0,period,9M,common,185000000
2014-06-30,common-outstanding-diluted,2014.0,period,Q3,common,175000000
2014-03-31,common-outstanding-diluted,2014.0,period,TTM-2,common,202750000
2014-03-31,common-outstanding-diluted,2014.0,period,TTM-2,common,202750000
2014-03-31,common-outstanding-diluted,2014.0,period,H1,common,190000000
2014-03-31,common-outstanding-diluted,2014.0,period,Q2,common,183000000
2013-12-31,common-outstanding-diluted,2014.0,period,TTM-2.25,common,214500000
2013-12-31,common-outstanding-diluted,2014.0,period,TTM-2.25,common,214500000
2013-12-31,common-outstanding-diluted,2014.0,period,Q1,common,198000000
2013-09-30,common-outstanding-diluted,2013.0,period,TTM-2.5,common,224000000
2013-09-30,common-outstanding-diluted,2013.0,period,TTM-2.5,common,224000000
2013-09-30,common-outstanding-diluted,2013.0,period,FY,common,224000000
2013-09-30,common-outstanding-diluted,2013.0,period,Q4,common,212000000
2013-09-30,common-outstanding-diluted,2013.0,period,H2,common,215000000
2013-06-30,common-outstanding-diluted,2013.0,period,TTM-2.75,common,230000000
2013-06-30,common-outstanding-diluted,2013.0,period,TTM-2.75,common,230000000
2013-06-30,common-outstanding-diluted,2013.0,period,9M,common,228000000
2013-06-30,common-outstanding-diluted,2013.0,period,Q3,common,219000000
2013-03-31,common-outstanding-diluted,2013.0,period,TTM-3,common,234500000
