date,figure,fyear,measure,period,type,value
2019-01-31,common-outstanding,,point-in-time,,common,244638879
2018-12-31,common-outstanding,,point-in-time,,common,244500000
2018-10-31,common-outstanding,,point-in-time,,common,244295792
2018-09-30,common-outstanding,,point-in-time,,common,244200000
2018-07-31,common-outstanding,,point-in-time,,common,244039980
2018-06-30,common-outstanding,,point-in-time,,common,243600000
2018-04-30,common-outstanding,,point-in-time,,common,243653807
2018-03-31,common-outstanding,,point-in-time,,common,243600000
2018-01-31,common-outstanding,,point-in-time,,common,242634798
2017-12-31,common-outstanding,,point-in-time,,common,242600000
2017-10-31,common-outstanding,,point-in-time,,common,242634798
2017-09-30,common-outstanding,,point-in-time,,common,242600000
2017-07-31,common-outstanding,,point-in-time,,common,242634798
2017-06-30,common-outstanding,,point-in-time,,common,242600000
2017-04-28,common-outstanding,,point-in-time,,common,242634798
2017-03-31,common-outstanding,,point-in-time,,common,242600000
2016-12-31,common-outstanding,,point-in-time,,common,242600000
2016-10-31,common-outstanding,,point-in-time,,common,242634798
2016-09-30,common-outstanding,,point-in-time,,common,242600000
2016-07-29,common-outstanding,,point-in-time,,common,242634798
2016-06-30,common-outstanding,,point-in-time,,common,242600000
2016-04-29,common-outstanding,,point-in-time,,common,242634798
2016-03-31,common-outstanding,,point-in-time,,common,242600000
2015-12-31,common-outstanding,,point-in-time,,common,242600000
2015-10-30,common-outstanding,,point-in-time,,common,242634798
2015-09-30,common-outstanding,,point-in-time,,common,242600000
2015-07-31,common-outstanding,,point-in-time,,common,242634798
2015-06-30,common-outstanding,,point-in-time,,common,242600000
2015-04-30,common-outstanding,,point-in-time,,common,242634798
2015-03-31,common-outstanding,,point-in-time,,common,242600000
2014-12-31,common-outstanding,,point-in-time,,common,242600000
2014-09-30,common-outstanding,,point-in-time,,common,242600000
2014-06-30,common-outstanding,,point-in-time,,common,242600000
2014-04-30,common-outstanding,,point-in-time,,common,242634798
2014-03-31,common-outstanding,,point-in-time,,common,242600000
2013-12-31,common-outstanding,,point-in-time,,common,242600000
2013-09-30,common-outstanding,,point-in-time,,common,242600000
2013-06-30,common-outstanding,,point-in-time,,common,242600000
2013-03-31,common-outstanding,,point-in-time,,common,242600000
2012-12-31,common-outstanding,,point-in-time,,common,242600000
2012-10-31,common-outstanding,,point-in-time,,common,242634671
2012-09-30,common-outstanding,,point-in-time,,common,242600000
2012-07-31,common-outstanding,,point-in-time,,common,242634671
2012-06-30,common-outstanding,,point-in-time,,common,242600000
2012-04-30,common-outstanding,,point-in-time,,common,242634671
2012-03-31,common-outstanding,,point-in-time,,common,242600000
2011-12-31,common-outstanding,,point-in-time,,common,242600000
2011-10-31,common-outstanding,,point-in-time,,common,242239840
2011-09-30,common-outstanding,,point-in-time,,common,242200000
2011-07-29,common-outstanding,,point-in-time,,common,241666357
2011-06-30,common-outstanding,,point-in-time,,common,241600000
2011-04-29,common-outstanding,,point-in-time,,common,241148657
2011-03-31,common-outstanding,,point-in-time,,common,241100000
2010-12-31,common-outstanding,,point-in-time,,common,240400000
2010-10-29,common-outstanding,,point-in-time,,common,239829423
2010-09-30,common-outstanding,,point-in-time,,common,239700000
2010-07-30,common-outstanding,,point-in-time,,common,239220778
2010-06-30,common-outstanding,,point-in-time,,common,239100000
2010-04-30,common-outstanding,,point-in-time,,common,238286367
2010-03-31,common-outstanding,,point-in-time,,common,238200000
2009-12-31,common-outstanding,,point-in-time,,common,237400000
2009-10-30,common-outstanding,,point-in-time,,common,236921011
2009-09-30,common-outstanding,,point-in-time,,common,236800000
2009-07-31,common-outstanding,,point-in-time,,common,214372742
2009-06-30,common-outstanding,,point-in-time,,common,214200000
2008-12-31,common-outstanding,,point-in-time,,common,212300000
2007-12-31,common-outstanding,,point-in-time,,common,208300000
2006-12-31,common-outstanding,,point-in-time,,common,206600000
2018-12-31,common-outstanding-basic,2018.0,period,TTM,common,243800000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,243800000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,244500000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,244300000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.25,common,243350000
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,243600000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,244100000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,242950000
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,243300000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,243700000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,242675000
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,242900000
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1,common,242600000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,242600000
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,242600000
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,242600000
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.25,common,242600000
2017-09-30,common-outstanding-basic,2017.0,period,9M,common,242600000
2017-09-30,common-outstanding-basic,2017.0,period,Q3,common,242600000
2017-06-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,242600000
2017-06-30,common-outstanding-basic,2017.0,period,H1,common,242600000
2017-06-30,common-outstanding-basic,2017.0,period,Q2,common,242600000
2017-03-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,242600000
2017-03-31,common-outstanding-basic,2017.0,period,Q1,common,242600000
2016-12-31,common-outstanding-basic,2016.0,period,TTM-2,common,242600000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,242600000
2016-12-31,common-outstanding-basic,2016.0,period,Q4,common,242600000
2016-12-31,common-outstanding-basic,2016.0,period,H2,common,242600000
2016-09-30,common-outstanding-basic,2016.0,period,TTM-2.25,common,242600000
2016-09-30,common-outstanding-basic,2016.0,period,9M,common,242600000
2016-09-30,common-outstanding-basic,2016.0,period,Q3,common,242600000
2016-06-30,common-outstanding-basic,2016.0,period,TTM-2.5,common,242600000
2016-06-30,common-outstanding-basic,2016.0,period,H1,common,242600000
2016-06-30,common-outstanding-basic,2016.0,period,Q2,common,242600000
2016-03-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,242600000
2016-03-31,common-outstanding-basic,2016.0,period,Q1,common,242600000
2015-12-31,common-outstanding-basic,2015.0,period,TTM-3,common,242600000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,242600000
2015-12-31,common-outstanding-basic,2015.0,period,Q4,common,242600000
2015-12-31,common-outstanding-basic,2015.0,period,H2,common,242600000
2015-09-30,common-outstanding-basic,2015.0,period,TTM-3.25,common,242600000
2015-09-30,common-outstanding-basic,2015.0,period,9M,common,242600000
2015-09-30,common-outstanding-basic,2015.0,period,Q3,common,242600000
2015-06-30,common-outstanding-basic,2015.0,period,TTM-3.5,common,242600000
2015-06-30,common-outstanding-basic,2015.0,period,H1,common,242600000
2015-06-30,common-outstanding-basic,2015.0,period,Q2,common,242600000
