date,figure,fyear,measure,period,type,value
2019-05-01,common-outstanding,,point-in-time,,common,663727053
2019-03-31,common-outstanding,,point-in-time,,common,663694956
2019-02-21,common-outstanding,,point-in-time,,common,662358244
2018-12-31,common-outstanding,,point-in-time,,common,662298096
2018-09-30,common-outstanding,,point-in-time,,common,662297479
2018-06-30,common-outstanding,,point-in-time,,common,661683466
2018-05-01,common-outstanding,,point-in-time,,common,661399753
2018-03-31,common-outstanding,,point-in-time,,common,661364449
2018-02-21,common-outstanding,,point-in-time,,common,660449495
2017-12-31,common-outstanding,,point-in-time,,common,660388128
2017-09-30,common-outstanding,,point-in-time,,common,660386566
2017-06-30,common-outstanding,,point-in-time,,common,660256748
2017-03-31,common-outstanding,,point-in-time,,common,660144428
2016-12-31,common-outstanding,,point-in-time,,common,659182232
2016-10-31,common-outstanding,,point-in-time,,common,659175940
2016-09-30,common-outstanding,,point-in-time,,common,659175940
2016-07-29,common-outstanding,,point-in-time,,common,659089478
2016-06-30,common-outstanding,,point-in-time,,common,659001121
2016-05-02,common-outstanding,,point-in-time,,common,659001121
2016-03-31,common-outstanding,,point-in-time,,common,658997660
2015-12-31,common-outstanding,,point-in-time,,common,666808790
2015-09-30,common-outstanding,,point-in-time,,common,674461074
2015-06-30,common-outstanding,,point-in-time,,common,682607128
2015-03-31,common-outstanding,,point-in-time,,common,702899220
2014-12-31,common-outstanding,,point-in-time,,common,703851297
2014-09-30,common-outstanding,,point-in-time,,common,715960427
2014-06-30,common-outstanding,,point-in-time,,common,723221508
2014-05-01,common-outstanding,,point-in-time,,common,725334337
2014-03-31,common-outstanding,,point-in-time,,common,725308630
2013-12-31,common-outstanding,,point-in-time,,common,722508342
2013-09-30,common-outstanding,,point-in-time,,common,742245268
2013-08-02,common-outstanding,,point-in-time,,common,741577577
2013-06-30,common-outstanding,,point-in-time,,common,745144098
2013-05-03,common-outstanding,,point-in-time,,common,746540903
2013-03-31,common-outstanding,,point-in-time,,common,746474449
2012-12-31,common-outstanding,,point-in-time,,common,744263855
2012-09-30,common-outstanding,,point-in-time,,common,743875691
2012-07-27,common-outstanding,,point-in-time,,common,747996061
2012-06-30,common-outstanding,,point-in-time,,common,749556111
2012-04-26,common-outstanding,,point-in-time,,common,767489830
2012-03-31,common-outstanding,,point-in-time,,common,767434120
2011-12-31,common-outstanding,,point-in-time,,common,765186316
2011-10-28,common-outstanding,,point-in-time,,common,767548237
2011-09-30,common-outstanding,,point-in-time,,common,770260308
2011-07-29,common-outstanding,,point-in-time,,common,782403030
2011-06-30,common-outstanding,,point-in-time,,common,782273322
2011-05-02,common-outstanding,,point-in-time,,common,782008035
2011-03-31,common-outstanding,,point-in-time,,common,784643934
2010-12-31,common-outstanding,,point-in-time,,common,787607240
2010-10-29,common-outstanding,,point-in-time,,common,788099808
2010-09-30,common-outstanding,,point-in-time,,common,794115103
2010-07-31,common-outstanding,,point-in-time,,common,794015970
2010-06-30,common-outstanding,,point-in-time,,common,795495286
2010-04-30,common-outstanding,,point-in-time,,common,795378395
2010-03-31,common-outstanding,,point-in-time,,common,795174732
2009-12-31,common-outstanding,,point-in-time,,common,667679913
2009-09-30,common-outstanding,,point-in-time,,common,667483036
2009-06-30,common-outstanding,,point-in-time,,common,666828233
2008-12-31,common-outstanding,,point-in-time,,common,662786745
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,662500000
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,663000000
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,662000000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,662000000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,664000000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,663000000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,661000000
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,661000000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,662000000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,660750000
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,661000000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,661000000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1,common,660500000
