date,figure,fyear,measure,period,type,value
2019-02-12,common-outstanding,,point-in-time,,common,750332375
2018-12-31,common-outstanding,,point-in-time,,common,755286000
2018-10-24,common-outstanding,,point-in-time,,common,761279345
2018-09-30,common-outstanding,,point-in-time,,common,763113000
2018-07-26,common-outstanding,,point-in-time,,common,767800258
2018-06-30,common-outstanding,,point-in-time,,common,769272000
2018-04-25,common-outstanding,,point-in-time,,common,774167054
2018-03-31,common-outstanding,,point-in-time,,common,775757000
2018-02-13,common-outstanding,,point-in-time,,common,779365966
2017-12-31,common-outstanding,,point-in-time,,common,780910000
2017-10-25,common-outstanding,,point-in-time,,common,786299240
2017-09-30,common-outstanding,,point-in-time,,common,787750000
2017-07-26,common-outstanding,,point-in-time,,common,790458198
2017-06-30,common-outstanding,,point-in-time,,common,791998000
2017-04-25,common-outstanding,,point-in-time,,common,793693156
2017-03-31,common-outstanding,,point-in-time,,common,796004000
2016-12-31,common-outstanding,,point-in-time,,common,811620000
2016-10-27,common-outstanding,,point-in-time,,common,816204176
2016-09-30,common-outstanding,,point-in-time,,common,816042000
2016-07-28,common-outstanding,,point-in-time,,common,819150502
2016-06-30,common-outstanding,,point-in-time,,common,820230000
2016-04-26,common-outstanding,,point-in-time,,common,827974066
2016-03-31,common-outstanding,,point-in-time,,common,830406000
2015-12-31,common-outstanding,,point-in-time,,common,848760000
2015-10-26,common-outstanding,,point-in-time,,common,853477358
2015-09-30,common-outstanding,,point-in-time,,common,855134000
2015-07-27,common-outstanding,,point-in-time,,common,861388204
2015-06-30,common-outstanding,,point-in-time,,common,861234000
2015-04-24,common-outstanding,,point-in-time,,common,867768654
2015-03-31,common-outstanding,,point-in-time,,common,867542000
2014-12-31,common-outstanding,,point-in-time,,common,884890000
2014-10-27,common-outstanding,,point-in-time,,common,901173206
2014-09-30,common-outstanding,,point-in-time,,common,900998000
2014-07-28,common-outstanding,,point-in-time,,common,906091744
2014-06-30,common-outstanding,,point-in-time,,common,905900000
2014-04-24,common-outstanding,,point-in-time,,common,908288078
2014-03-31,common-outstanding,,point-in-time,,common,908056000
2013-12-31,common-outstanding,,point-in-time,,common,918826000
2013-10-29,common-outstanding,,point-in-time,,common,932180596
2013-09-30,common-outstanding,,point-in-time,,common,931420000
2013-07-30,common-outstanding,,point-in-time,,common,930184598
2013-06-30,common-outstanding,,point-in-time,,common,929640000
2013-04-26,common-outstanding,,point-in-time,,common,932451966
2013-03-31,common-outstanding,,point-in-time,,common,929640000
2012-12-31,common-outstanding,,point-in-time,,common,935572000
2012-10-26,common-outstanding,,point-in-time,,common,937813826
2012-09-30,common-outstanding,,point-in-time,,common,937448000
2012-07-27,common-outstanding,,point-in-time,,common,936543258
2012-06-30,common-outstanding,,point-in-time,,common,936220000
2012-04-27,common-outstanding,,point-in-time,,common,935257470
2012-03-31,common-outstanding,,point-in-time,,common,934926000
2011-12-31,common-outstanding,,point-in-time,,common,932620000
2011-10-27,common-outstanding,,point-in-time,,common,933575376
2011-09-30,common-outstanding,,point-in-time,,common,933278000
2011-07-28,common-outstanding,,point-in-time,,common,934321026
2011-06-30,common-outstanding,,point-in-time,,common,934134000
2011-04-28,common-outstanding,,point-in-time,,common,935409538
2011-03-31,common-outstanding,,point-in-time,,common,935128000
2010-12-31,common-outstanding,,point-in-time,,common,939322000
2010-10-28,common-outstanding,,point-in-time,,common,942522908
2010-09-30,common-outstanding,,point-in-time,,common,942088000
2010-07-29,common-outstanding,,point-in-time,,common,941638914
2010-06-30,common-outstanding,,point-in-time,,common,941538000
2010-05-03,common-outstanding,,point-in-time,,common,939126278
2010-03-31,common-outstanding,,point-in-time,,common,938844000
2009-12-31,common-outstanding,,point-in-time,,common,937136000
2009-09-30,common-outstanding,,point-in-time,,common,935554000
2009-06-30,common-outstanding,,point-in-time,,common,934968000
2008-12-31,common-outstanding,,point-in-time,,common,933230000
2018-12-31,common-outstanding-basic,2018.0,period,TTM,common,769588000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,769588000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,759804000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,763442000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.25,common,775626250
