date,figure,fyear,measure,period,type,value
2019-05-03,common-outstanding,,point-in-time,,common,61474682
2019-03-31,common-outstanding,,point-in-time,,common,61678749
2019-02-15,common-outstanding,,point-in-time,,common,61696055
2018-12-31,common-outstanding,,point-in-time,,common,61908979
2018-11-02,common-outstanding,,point-in-time,,common,62053935
2018-09-30,common-outstanding,,point-in-time,,common,62376266
2018-08-03,common-outstanding,,point-in-time,,common,62839361
2018-06-30,common-outstanding,,point-in-time,,common,63094312
2018-05-03,common-outstanding,,point-in-time,,common,52689972
2018-03-31,common-outstanding,,point-in-time,,common,52570192
2018-02-08,common-outstanding,,point-in-time,,common,52475408
2017-12-31,common-outstanding,,point-in-time,,common,52417812
2017-10-27,common-outstanding,,point-in-time,,common,53811707
2017-09-30,common-outstanding,,point-in-time,,common,53796348
2017-07-28,common-outstanding,,point-in-time,,common,53886783
2017-06-30,common-outstanding,,point-in-time,,common,54064643
2017-04-28,common-outstanding,,point-in-time,,common,54787998
2017-03-31,common-outstanding,,point-in-time,,common,55029813
2016-12-31,common-outstanding,,point-in-time,,common,55941480
2016-10-28,common-outstanding,,point-in-time,,common,57012647
2016-09-30,common-outstanding,,point-in-time,,common,58010506
2016-07-29,common-outstanding,,point-in-time,,common,60204445
2016-06-30,common-outstanding,,point-in-time,,common,60612310
2016-04-28,common-outstanding,,point-in-time,,common,61936907
2016-03-31,common-outstanding,,point-in-time,,common,62643447
2015-12-31,common-outstanding,,point-in-time,,common,65850386
2015-10-29,common-outstanding,,point-in-time,,common,65839094
2015-09-30,common-outstanding,,point-in-time,,common,66746690
2015-07-30,common-outstanding,,point-in-time,,common,66818458
2015-06-30,common-outstanding,,point-in-time,,common,66998201
2015-04-30,common-outstanding,,point-in-time,,common,67916445
2015-03-31,common-outstanding,,point-in-time,,common,68270067
2014-12-31,common-outstanding,,point-in-time,,common,69299559
2014-10-30,common-outstanding,,point-in-time,,common,70255038
2014-09-30,common-outstanding,,point-in-time,,common,70809613
