,Line Item,FY-2013,FY-2014,FY-2015,FY-2016,FY-2017,FY-2018
0,Total Investments,23791400000,25616000000,24680000000,24879000000,20073000000,
1,Fixed Income-Trading/AFS & Short Term Inv.,,,,,,
2,Loans & Mortgages,,,,,,
3,Fixed Income Securities-HTM,,,,,,
4,Equity Securities,,,,,,
5,Real Estate Investments,,,,,,
6,Other Investments,,,,,,
7,Cash & Cash Equivalents,1412300000,1420400000,2524000000,17996000000,4076000000,
8,Accounts & Notes Receivable,3112000000,3688900000,4187000000,4580000000,5071000000,
9,Net Fixed Assets,721900000,669800000,630000000,587000000,586000000,
10,Deferred Policy Acquisition Costs,,,,,,
11,Other Assets,20727200000,22007000000,21488000000,21104000000,25345000000,
12,Total Assets,49764800000,53402100000,53509000000,69146000000,55151000000,
13,Insurance Reserves,12277500000,12451100000,18727000000,18975000000,18415000000,
14,Reserve for Outstanding Claims & Losses,,,,,,
15,Premium Reserve (Unearned),458700000,519500000,676000000,556000000,654000000,
16,Life Policy Benefits,734400000,705900000,,,604000000,
17,Other Insurance Reserves,11084400000,11225700000,18051000000,18419000000,17157000000,
18,Short Term Debt,387300000,729300000,0,1634000000,999000000,
19,Other Short Term Liabilities,6909600000,8262500000,949000000,805000000,850000000,
20,Long Term Debt,7865300000,7852000000,7785000000,19027000000,8160000000,
21,Pension Liabilities,,,,,,
22,Pensions,,,,,,
23,Other Post-Retirement Benefits,,,,,,
24,Other Long Term Liabilities,8246900000,9555400000,9869000000,10762000000,10890000000,
25,Funds for Future Appropriations,,,,,,
26,Total Liabilities,35686600000,38850300000,37330000000,51203000000,39314000000,
27,Preferred Equity,,,,,,
28,Policyholders' Equity,,,,,,
29,Share Capital & Additional Paid-In Capital,4382200000,4542200000,4647000000,4716000000,4706000000,
30,Common Stock,,,,,,
31,Additional Paid in Capital,,,,,,
32,Other Share Capital,,,,,,
33,Treasury Stock,,,,,,
34,Retained Earnings,10555400000,11051700000,12797000000,14717000000,12118000000,
35,Other Equity,-912100000,-1111300000,-1330000000,-1552000000,-1244000000,
36,Equity Before Minority Interest,14025500000,14482600000,16114000000,17881000000,15580000000,
37,Minority Interest,52700000,69200000,65000000,62000000,257000000,
38,Total Equity,14078200000,14551800000,16179000000,17943000000,15837000000,
39,Total Liabilities & Equity,49764800000,53402100000,53509000000,69146000000,55151000000,
