,Line Item,FY-2013,FY-2014,FY-2015,FY-2016,FY-2017,FY-2018
0,Net Revenue,47294600000,58003000000,60337000000,63155000000,60535000000,
1,Net Premiums Earned,41737600000,51748000000,53789000000,56298000000,53894000000,
2,Investment Income (Loss),916300000,946000000,917000000,910000000,950000000,
3,Income from Real Estate,,,,,,
4,Other Operating Income,4640700000,5309000000,5631000000,5947000000,5691000000,
5,Policy Charges & Fees,4550500000,5229000000,5696000000,5861000000,5930000000,
6,Total Realized Investment Gains,-8800000,80000000,-65000000,86000000,-239000000,
7,Total OTTI Realized,,,,,,
8,Other Realized Investment Gains,,,,,,
9,Other Income,99000000,,,,,
10,Claims & Losses,-2251400000,-2165000000,-2121000000,-2101000000,-1875000000,
11,Claims & Losses,,,,,,
12,Long Term Charges,,,,,,
13,Other Claims & Losses,,,,,,
14,Underwriting Expense & Acquisition Cost,-8645400000,-10833000000,-11644000000,-12085000000,-12064000000,
15,Other Operating Expense,-33209600000,-40990000000,-41967000000,-44502000000,-43025000000,
16,Operating Income (Loss),3188200000,4015000000,4605000000,4467000000,3571000000,
17,Non-Operating Income (Loss),-333700000,-334000000,-369000000,-604000000,-442000000,
18,Income (Loss) from Affiliates,,,,,,
19,Interest Expense,-333700000,-334000000,-369000000,-604000000,-442000000,
20,Other Non-Operating Income (Loss),,,,,,
21,"Pretax Income (Loss), Adjusted",2854500000,3681000000,4236000000,3863000000,3129000000,
22,Abnormal Gains (Losses),86000000,-181000000,0,128000000,-137000000,
23,Merger / Acquisition Expense,,,,,,
24,Abnormal Derivatives,,,,,,
25,Disposal of Assets,,,,,,
26,Early extinguishment of Debt,,,,,,
27,Asset Write-Down,,,,,,
28,Impairment of Goodwill & Intangibles,,,,,,
29,Sale of Business,,,,,,
30,Legal Settlement,,,,,,
31,Restructuring Charges,,,,,,
32,Net Investment Losses,,,,,,
33,Foreign Exchange,,,,,,
34,Other Abnormal Items,,,,,,
35,Pretax Income (Loss),2940500000,3500000000,4236000000,3991000000,2992000000,
36,"Income Tax (Expense) Benefit, net",-1028600000,-1455000000,-1841000000,-1735000000,-1087000000,
37,Current Income Tax,,,,,,
38,Deferred Income Tax,,,,,,
39,Tax Allowance/Credit,,,,,,
40,"Income (Loss) from Affiliates, net of taxes",,,,,,
41,Income (Loss) from Continuing Operations,1911900000,2045000000,2395000000,2256000000,1905000000,
42,Net Extraordinary Gains (Losses),,,,,,
43,Discontinued Operations,,,,,,
44,XO & Accounting Charges & Other,,,,,,
45,Income (Loss) Including Minority Interest,1911900000,2045000000,2395000000,2256000000,1905000000,
46,Minority Interest,1700000,-4000000,-5000000,15000000,-1000000,
47,Net Income,1913600000,2041000000,2390000000,2271000000,1904000000,
48,Preferred Dividends,,,,,,
49,Other Adjustments,,,,,,
50,Net Income Available to Common Shareholders,1913600000,2041000000,2390000000,2271000000,1904000000,
