,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,"Cash, Cash Equivalents & Short Term Investments",8517313000,9393592000,8605484000,8098000000,7047000000,7062000000,4877000000,4460000000,9849000000,11177000000,6139000000,6125000000,3957000000,4438000000,4507000000,18775000000,8860000000,9835000000,11199000000,9610000000,4042000000,3264000000,7550000000,4086000000,3261000000,,,
1,Cash & Cash Equivalents,4373120000,5572254000,2882454000,3475000000,2060000000,3570000000,3613000000,4063000000,3226000000,4048000000,3132000000,5001000000,3334000000,2578000000,2500000000,18620000000,8706000000,9675000000,11012000000,9407000000,3857000000,3065000000,7369000000,3844000000,3022000000,,,
2,Short Term Investments,4144193000,3821338000,5723030000,4623000000,4987000000,3492000000,1264000000,397000000,6623000000,7129000000,3007000000,1124000000,623000000,1860000000,2007000000,155000000,154000000,160000000,187000000,203000000,185000000,199000000,181000000,242000000,239000000,,,
3,Accounts & Notes Receivable,3917865000,3938998000,3882803000,3986000000,3883000000,4056000000,3618000000,3586000000,3481000000,3553000000,3460000000,3418000000,3430000000,3567000000,3320000000,3248000000,4510000000,4633000000,4800000000,5249000000,5356000000,5192000000,5271000000,5182000000,5345000000,,,
4,"Accounts Receivable, Net",3917865000,3938998000,3882803000,3986000000,3883000000,4056000000,3618000000,3586000000,3481000000,3553000000,3460000000,3418000000,3430000000,3567000000,3320000000,3248000000,4510000000,4633000000,4800000000,5249000000,5356000000,5192000000,5271000000,5182000000,5345000000,,,
5,"Notes Receivable, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unbilled Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inventories,2710250000,2725179000,2804070000,2693000000,2775000000,2823000000,2696000000,2643000000,2623000000,2735000000,2633000000,2599000000,2786000000,2813000000,2613000000,2434000000,3995000000,3603000000,3483000000,3601000000,3826000000,3714000000,3781000000,3796000000,4085000000,,,
8,Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Work In Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Finished Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Other Short Term Assets,3951440000,3773355000,4456592000,4470000000,4226000000,4317000000,5273000000,2867000000,4032000000,3666000000,3662000000,2013000000,2233000000,2170000000,2538000000,2319000000,1964000000,1912000000,1895000000,1687000000,1740000000,1952000000,1594000000,1568000000,1718000000,,,
13,Prepaid Expenses,3414205000,3240172000,3917616000,1504000000,3977000000,4065000000,4173000000,1975000000,3859000000,3573000000,3523000000,1908000000,2157000000,2104000000,1986000000,1806000000,1964000000,1912000000,1895000000,1667000000,1720000000,1935000000,1582000000,1568000000,1718000000,,,
14,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Assets Held-for-Sale,537235000,533183000,538976000,438000000,249000000,252000000,1100000000,892000000,173000000,93000000,139000000,105000000,76000000,66000000,552000000,513000000,,,,20000000,20000000,17000000,12000000,,,,,
16,Deferred Tax Assets,,,,2528000000,,,,,,,,,,,,,,,,,,,,,,,,
17,Income Taxes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Miscellaneous Short Term Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Total Current Assets,19096868000,19831124000,19748949000,19247000000,17931000000,18258000000,16464000000,13556000000,19985000000,21131000000,15894000000,14155000000,12406000000,12988000000,12978000000,26776000000,19329000000,19983000000,21377000000,20147000000,14964000000,14122000000,18196000000,14632000000,14409000000,,,
21,"Property, Plant & Equipment, Net",5791492000,5768649000,5842369000,5905000000,5948000000,5935000000,5872000000,5935000000,5699000000,5738000000,5797000000,5730000000,5836000000,5826000000,5734000000,5705000000,7265000000,7286000000,7219000000,7607000000,7659000000,7432000000,7448000000,7563000000,7626000000,,,
22,"Property, Plant & Equipment",12416667000,12520032000,12714200000,12870000000,13005000000,13096000000,12694000000,12632000000,12251000000,12433000000,12528000000,12383000000,12709000000,12712000000,12452000000,12366000000,14172000000,14476000000,14698000000,15265000000,15556000000,15309000000,15520000000,15706000000,15905000000,,,
23,Accumulated Depreciation,-6625175000,-6751383000,-6871831000,-6965000000,-7057000000,-7161000000,-6822000000,-6697000000,-6552000000,-6695000000,-6731000000,-6653000000,-6873000000,-6886000000,-6718000000,-6661000000,-6907000000,-7190000000,-7479000000,-7658000000,-7897000000,-7877000000,-8072000000,-8143000000,-8279000000,,,
24,Long Term Investments & Receivables,146076000,154268000,142527000,119000000,122000000,130000000,221000000,229000000,244000000,243000000,3055000000,4041000000,3552000000,3339000000,2997000000,2947000000,1756000000,1545000000,1386000000,883000000,913000000,940000000,971000000,897000000,867000000,,,
25,Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Long Term Marketable Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Long Term Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Other Long Term Assets,17652177000,17149305000,18398632000,17682000000,17661000000,17152000000,19957000000,21487000000,17167000000,17013000000,16979000000,17321000000,17843000000,17678000000,17788000000,17238000000,42537000000,42337000000,42266000000,47613000000,47372000000,45921000000,45022000000,44081000000,44708000000,,,
29,Intangible Assets,6057601000,5642826000,5926873000,5735000000,5613000000,5428000000,6094000000,6198000000,5979000000,5785000000,5844000000,5562000000,5458000000,5311000000,4674000000,4539000000,19405000000,18653000000,18578000000,21473000000,20943000000,19951000000,19477000000,18942000000,18472000000,,,
30,Goodwill,9424657000,9357505000,9724128000,9772000000,9781000000,9751000000,10048000000,10067000000,9855000000,9896000000,9750000000,9638000000,9775000000,9752000000,7812000000,7683000000,21353000000,22132000000,22066000000,24020000000,24227000000,23844000000,23416000000,23254000000,23209000000,,,
31,Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Prepaid Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Investments in Affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Miscellaneous Long Term Assets,2169919000,2148974000,2747631000,2175000000,2267000000,1973000000,3815000000,5222000000,1333000000,1332000000,1385000000,2121000000,2610000000,2615000000,5302000000,5016000000,1779000000,1552000000,1622000000,2120000000,2202000000,2126000000,2129000000,1885000000,3027000000,,,
39,Total Noncurrent Assets,23589745000,23072222000,24383528000,23706000000,23731000000,23217000000,26050000000,27651000000,23110000000,22994000000,25831000000,27092000000,27231000000,26843000000,26519000000,25890000000,51558000000,51168000000,50871000000,56103000000,55944000000,54293000000,53441000000,52541000000,53201000000,,,
40,Total Assets,42686613000,42903346000,44132477000,42953000000,41662000000,41475000000,42514000000,41207000000,43095000000,44125000000,41725000000,41247000000,39637000000,39831000000,39497000000,52666000000,70887000000,71151000000,72248000000,76250000000,70908000000,68415000000,71637000000,67173000000,67610000000,,,
41,Payables & Accruals,6500937000,6093451000,6123289000,5948000000,5639000000,5649000000,5520000000,5350000000,5933000000,5994000000,5997000000,5683000000,5420000000,5416000000,5189000000,5090000000,6436000000,6582000000,7220000000,8198000000,8273000000,8104000000,8502000000,8805000000,8904000000,,,
42,Accounts Payable,1087979000,1042248000,1008912000,1026000000,1074000000,1062000000,965000000,1064000000,1012000000,1000000000,1007000000,1081000000,1053000000,1153000000,1051000000,1178000000,1481000000,1667000000,1858000000,2402000000,2476000000,2503000000,2730000000,2975000000,3045000000,,,
43,Accrued Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Interest & Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
