,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,"Cash, Cash Equivalents & Short Term Investments",3986979000,4172141000,4450293000,4682912000,4701109000,4807225000,4932259000,2866468000,2873281000,3074778000,3099961000,3028928000,3789468000,3754081000,3803434000,4055793000,6317066000,6188372000,908569000,1047838000,827550000,806517000,772575000,816591000,605864000,713601000,612164000,
1,Cash & Cash Equivalents,795797000,595631000,460068000,392089000,417227000,402790000,2585441000,569233000,650202000,636216000,557497000,884353000,1470442000,1119662000,1103670000,921132000,4987263000,5697743000,908569000,1047838000,827550000,806517000,772575000,816591000,605864000,713601000,612164000,
2,Short Term Investments,3191182000,3576510000,3990225000,4290823000,4283882000,4404435000,2346818000,2297235000,2223079000,2438562000,2542464000,2144575000,2319026000,2634419000,2699764000,3134661000,1329803000,490629000,0,,,,,,,,,
3,Accounts & Notes Receivable,329578000,333924000,345437000,325144000,328787000,360847000,394762000,396605000,402350000,408510000,451511000,466527000,375087000,398979000,452944000,477609000,472511000,630353000,692552000,688953000,709761000,759557000,710753000,639717000,713730000,685978000,689976000,
4,"Accounts Receivable, Net",329578000,333924000,345437000,325144000,328787000,360847000,394762000,396605000,402350000,408510000,451511000,466527000,375087000,398979000,452944000,477609000,472511000,630353000,692552000,688953000,709761000,759557000,710753000,639717000,713730000,685978000,689976000,
5,"Notes Receivable, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unbilled Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inventories,307263000,298967000,284342000,283337000,289935000,298432000,415098000,367927000,367238000,394494000,424475000,412314000,404852000,399459000,392303000,376555000,365586000,647858000,519695000,550816000,559720000,551220000,563645000,586760000,593211000,608085000,638305000,
8,Raw Materials,26793000,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Work In Process,184593000,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Finished Goods,95877000,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Other Short Term Assets,190115000,158180000,164418000,181032000,151128000,171528000,181765000,180886000,160168000,167979000,173945000,171779000,74727000,75355000,79207000,64906000,78570000,68884000,67827000,63731000,80715000,70980000,69584000,69058000,72375000,72825000,66613000,
13,Prepaid Expenses,56188000,43205000,49730000,42342000,36659000,46614000,43683000,45319000,46853000,49217000,45277000,40597000,41515000,52618000,54051000,58501000,58326000,59394000,62444000,60209000,75775000,65446000,65633000,65862000,68544000,69890000,66613000,
14,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Assets Held-for-Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Deferred Tax Assets,84019000,98204000,104430000,136299000,112106000,119347000,134684000,128934000,96590000,117055000,126856000,129241000,0,0,0,,,,,,,,,,,,,
17,Income Taxes Receivable,49908000,16771000,10258000,2391000,2363000,5567000,3398000,6633000,16725000,1707000,1812000,1941000,33212000,22737000,25156000,6405000,20244000,9490000,5383000,3522000,4940000,5534000,3951000,3196000,3831000,2935000,,
18,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Miscellaneous Short Term Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Total Current Assets,4813935000,4963212000,5244490000,5472425000,5470959000,5638032000,5923884000,3811886000,3803037000,4045761000,4149892000,4079548000,4644134000,4627874000,4727888000,4974863000,7233733000,7535467000,2188643000,2351338000,2177746000,2188274000,2116557000,2112126000,1985180000,2080489000,2007058000,
21,"Property, Plant & Equipment, Net",491431000,490047000,492421000,508171000,529010000,545485000,609937000,622422000,612472000,629665000,631269000,644110000,633362000,626162000,629094000,636116000,628924000,1089319000,1098848000,1107304000,1115417000,1114579000,1107991000,1154328000,1181735000,1211467000,1221192000,
22,"Property, Plant & Equipment",2244231000,2257568000,2258282000,2292894000,2329536000,2367300000,2453469000,2478348000,2497484000,2536043000,2566386000,2602095000,2613106000,2633373000,2663232000,2676878000,2700891000,3201215000,3255889000,3304427000,3367003000,3415776000,3455982000,3527825000,3613923000,3693910000,3759747000,
23,Accumulated Depreciation,-1752800000,-1767521000,-1765861000,-1784723000,-1800526000,-1821815000,-1843532000,-1855926000,-1885012000,-1906378000,-1935117000,-1957985000,-1979744000,-2007211000,-2034138000,-2040762000,-2071967000,-2111896000,-2157041000,-2197123000,-2251586000,-2301197000,-2347991000,-2373497000,-2432188000,-2482443000,-2538555000,
24,Long Term Investments & Receivables,3816000,3816000,3816000,3816000,5316000,11213000,12019000,13397000,13703000,17524000,16249000,17482000,22992000,26068000,27899000,21937000,22991000,28492000,28958000,24838000,26246000,26994000,28540000,28730000,34757000,31616000,32290000,
25,Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Long Term Marketable Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Long Term Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Other Long Term Assets,407626000,383961000,397899000,397338000,394183000,400221000,2427625000,2411985000,2391944000,2355525000,2337291000,2317637000,2297593000,2290188000,2300172000,2337362000,2317723000,17969405000,17798546000,17657814000,17533906000,17446607000,17295528000,17154595000,18626606000,18452753000,18306110000,
29,Intangible Assets,28717000,28662000,28607000,28552000,28497000,28442000,695832000,671402000,646400000,621277000,601882000,583517000,564839000,548374000,529035000,549368000,529516000,5587862000,5440692000,5319425000,5182355000,5066191000,4920739000,4778192000,4631697000,4489182000,4346377000,
30,Goodwill,284367000,282925000,280591000,284112000,283167000,287341000,1631890000,1642438000,1641793000,1643614000,1640381000,1636526000,1631233000,1639165000,1639033000,1679116000,1677399000,12269501000,12241815000,12217455000,12224141000,12258185000,12254161000,12252604000,12253891000,12250370000,12247888000,
31,Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Prepaid Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Deferred Tax Assets,27556000,20372000,30614000,26226000,22229000,22954000,29554000,27249000,34365000,26263000,30656000,33280000,36918000,35912000,33661000,36005000,34166000,32711000,30200000,32322000,31000000,29661000,24818000,21078000,1634719000,1610109000,1606267000,
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Investments in Affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Miscellaneous Long Term Assets,66986000,52002000,58087000,58448000,60290000,61484000,70349000,70896000,69386000,64371000,64372000,64314000,64603000,66737000,98443000,72873000,76642000,79331000,85839000,88612000,96410000,92570000,95810000,102721000,106299000,103092000,105578000,
39,Total Noncurrent Assets,902873000,877824000,894136000,909325000,928509000,956919000,3049581000,3047804000,3018119000,3002714000,2984809000,2979229000,2953947000,2942418000,2957165000,2995415000,2969638000,19087216000,18926352000,18789956000,18675569000,18588180000,18432059000,18337653000,19843098000,19695836000,19559592000,
40,Total Assets,5716808000,5841036000,6138626000,6381750000,6399468000,6594951000,8973465000,6859690000,6821156000,7048475000,7134701000,7058777000,7598081000,7570292000,7685053000,7970278000,10203371000,26622683000,21114995000,21141294000,20853315000,20776454000,20548616000,20449779000,21828278000,21776325000,21566650000,
41,Payables & Accruals,265139000,264960000,232806000,323084000,274258000,303269000,341296000,430621000,354681000,398127000,375753000,438904000,295833000,367310000,351249000,431396000,454960000,750321000,651414000,822360000,657016000,811195000,769104000,851721000,1517479000,1514228000,1547557000,
42,Accounts Payable,113879000,118261000,113350000,119994000,124619000,132194000,142653000,138967000,123456000,156300000,152683000,174247000,138302000,165790000,160416000,171439000,156653000,190245000,228127000,236629000,223107000,213267000,215688000,260919000,222552000,208243000,220230000,
43,Accrued Taxes,28199000,12487000,6927000,45490000,10678000,27191000,40664000,62770000,17683000,32626000,35154000,15062000,8122000,5627000,2396000,4100000,5346000,60563000,22301000,86905000,48599000,105085000,127920000,93722000,706656000,647714000,649228000,
44,Interest & Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Other Payables & Accruals,123061000,134212000,112529000,157600000,138961000,143884000,157979000,228884000,213542000,209201000,187916000,249595000,149409000,195893000,188437000,255857000,292961000,499513000,400986000,498826000,385310000,492843000,425496000,497080000,588271000,658271000,678099000,
46,Short Term Debt,0,0,0,,,,1995398000,0,,374664000,374752000,374594000,0,0,0,0,,4321169000,,300000000,50000000,56000000,22500000,67000000,0,374165000,411434000,
47,Short Term Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
