,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,"Cash, Cash Equivalents & Short Term Investments",184000000,184000000,184000000,30000000,26000000,46000000,13000000,5000000,6000000,2000000,72000000,292000000,13000000,13000000,18000000,9000000,8000000,10000000,9000000,10000000,30000000,29000000,11000000,16000000,,,,
1,Cash & Cash Equivalents,184000000,184000000,184000000,30000000,26000000,46000000,13000000,5000000,6000000,2000000,72000000,292000000,13000000,13000000,18000000,9000000,8000000,10000000,9000000,10000000,30000000,29000000,11000000,16000000,,,,
2,Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Accounts & Notes Receivable,425000000,425000000,425000000,600000000,754000000,667000000,584000000,504000000,624000000,568000000,621000000,486000000,484000000,510000000,592000000,500000000,524000000,523000000,592000000,515000000,612000000,634000000,689000000,542000000,,,,
4,"Accounts Receivable, Net",354000000,354000000,354000000,404000000,553000000,454000000,467000000,423000000,524000000,456000000,508000000,388000000,428000000,445000000,543000000,437000000,457000000,446000000,507000000,445000000,514000000,560000000,605000000,463000000,,,,
5,"Notes Receivable, Net",71000000,71000000,71000000,196000000,201000000,213000000,117000000,81000000,100000000,112000000,113000000,98000000,56000000,65000000,49000000,63000000,67000000,77000000,85000000,70000000,98000000,74000000,84000000,79000000,,,,
6,Unbilled Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inventories,570000000,570000000,570000000,526000000,424000000,491000000,561000000,524000000,449000000,500000000,548000000,538000000,483000000,515000000,551000000,527000000,467000000,512000000,547000000,522000000,453000000,475000000,525000000,483000000,,,,
8,Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Work In Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Finished Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Other Short Term Assets,2406000000,2396000000,2396000000,816000000,636000000,761000000,784000000,661000000,914000000,921000000,742000000,601000000,478000000,556000000,438000000,557000000,451000000,526000000,433000000,565000000,472000000,547000000,415000000,492000000,,,,
13,Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Derivative & Hedging Assets,,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,
15,Assets Held-for-Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Deferred Tax Assets,170000000,160000000,160000000,106000000,95000000,177000000,301000000,,331000000,286000000,225000000,,,,,,,,,,,,,,,,,
17,Income Taxes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
