,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
0,Total Investments,21855000000,22780100000,23085200000,23791400000,24220900000,25010700000,25203800000,25616000000,25825700000,25269600000,24915400000,24680000000,25240000000,25404800000,25738300000,24879000000,25001000000,24887000000,24376000000,20073000000,18930000000,18986000000,18560000000,,,,,
1,Fixed Income-Trading/AFS & Short Term Inv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Loans & Mortgages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fixed Income Securities-HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Equity Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Real Estate Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Other Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash & Cash Equivalents,3227900000,2256800000,2082400000,1412300000,2074100000,1760100000,1707100000,1420400000,1915800000,1125800000,1796500000,2524000000,3766400000,17119400000,19066200000,17996000000,3877000000,3574000000,5928000000,4076000000,7875000000,7447000000,6769000000,,,,,
8,Accounts & Notes Receivable,2028400000,3505400000,3234900000,3112000000,3509200000,3919600000,3401600000,3688900000,4397500000,5258800000,4452800000,4187000000,4880400000,5889600000,5069300000,4580000000,5112000000,5923000000,4965000000,5071000000,5650000000,5176000000,5704000000,,,,,
9,Net Fixed Assets,538500000,688700000,715600000,721900000,704100000,680200000,668900000,669800000,662600000,653200000,629300000,630000000,616100000,605000000,597000000,587000000,577000000,570000000,581000000,586000000,577000000,574000000,568000000,,,,,
10,Deferred Policy Acquisition Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other Assets,14867400000,20499300000,20134800000,20727200000,21610700000,21790100000,22044200000,22007000000,22753800000,22333700000,21684400000,21488000000,21920800000,21583200000,21411800000,21104000000,21784000000,21760000000,21533000000,25345000000,26165000000,26133000000,25502000000,,,,,
12,Total Assets,42517200000,49730300000,49252900000,49764800000,52119000000,53160700000,53025600000,53402100000,55555400000,54641100000,53478400000,53509000000,56423700000,70602000000,71882600000,69146000000,56351000000,56714000000,57383000000,55151000000,59197000000,58316000000,57103000000,,,,,
13,Insurance Reserves,12509500000,12345600000,12392100000,12277500000,12651800000,12610000000,12563600000,12451100000,12696600000,12529900000,12321200000,18727000000,12628100000,12474800000,13750800000,18975000000,20413000000,20011000000,19966000000,18415000000,20303000000,19819000000,18286000000,,,,,
14,Reserve for Outstanding Claims & Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Premium Reserve (Unearned),455600000,480800000,479200000,458700000,573300000,583800000,554900000,519500000,627600000,548800000,502700000,676000000,716300000,582400000,1843000000,556000000,2078000000,1989000000,2046000000,654000000,2528000000,2355000000,749000000,,,,,
16,Life Policy Benefits,736100000,723500000,725800000,734400000,729400000,721200000,713700000,705900000,699800000,692500000,685200000,,666300000,660400000,653600000,,645000000,612000000,611000000,604000000,581000000,574000000,565000000,,,,,
17,Other Insurance Reserves,11317800000,11141300000,11187100000,11084400000,11349100000,11305000000,11295000000,11225700000,11369200000,11288600000,11133300000,18051000000,11245500000,11232000000,11254200000,18419000000,17690000000,17410000000,17309000000,17157000000,17194000000,16890000000,16972000000,,,,,
18,Short Term Debt,99900000,545800000,392200000,387300000,620200000,612400000,307100000,729300000,297000000,0,0,0,398400000,643900000,640100000,1634000000,1249000000,1997000000,1998000000,999000000,1374000000,375000000,375000000,,,,,
19,Other Short Term Liabilities,4429700000,6169000000,6300900000,6909600000,7837800000,8096900000,8211400000,8262500000,8932200000,7967600000,7597100000,949000000,8109400000,8213500000,8123500000,805000000,790000000,897000000,963000000,850000000,849000000,829000000,909000000,,,,,
20,Long Term Debt,6483800000,8280100000,7874100000,7865300000,7618400000,7612400000,7606300000,7852000000,7846100000,7840100000,7834000000,7785000000,7382500000,20019100000,20022100000,19027000000,8174000000,7175000000,8161000000,8160000000,7785000000,7784000000,7782000000,,,,,
21,Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Other Post-Retirement Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Other Long Term Liabilities,8267500000,8888600000,8624100000,8246900000,9029800000,9476200000,9354800000,9555400000,10664600000,10835700000,9793600000,9869000000,11026600000,11473000000,11001600000,10762000000,11387000000,11059000000,10477000000,10890000000,12221000000,11838000000,11188000000,,,,,
