date,closeAdj
2019-11-08,76.64
2019-11-07,75.91
2019-11-06,75.79
2019-11-05,75.55
2019-11-04,76.74
2019-11-01,76.97
2019-10-31,75.75
2019-10-30,76.12
2019-10-29,76.17
2019-10-28,76.15
2019-10-25,75.39
2019-10-24,75.0
2019-10-23,74.98
2019-10-22,74.69
2019-10-21,75.48
2019-10-18,74.57
2019-10-17,74.92
2019-10-16,75.27
2019-10-15,75.75
2019-10-14,75.18
2019-10-11,75.3
2019-10-10,74.0
2019-10-09,73.47
2019-10-08,72.49
2019-10-07,75.1
2019-10-04,75.88
2019-10-03,73.87
2019-10-02,73.35
2019-10-01,74.84
2019-09-30,76.63
2019-09-27,76.23
2019-09-26,76.36
2019-09-25,76.17
2019-09-24,75.81
2019-09-23,77.89
2019-09-20,77.8
2019-09-19,77.9
2019-09-18,77.4
2019-09-17,76.24
2019-09-16,76.98
2019-09-13,77.73
2019-09-12,77.4
2019-09-11,76.82
2019-09-10,74.61
2019-09-09,74.02
2019-09-06,74.12
2019-09-05,73.36
2019-09-04,70.71
2019-09-03,70.26
2019-08-30,70.96
2019-08-29,70.55
2019-08-28,69.79
2019-08-27,69.33
2019-08-26,69.49
2019-08-23,69.4
2019-08-22,71.59
2019-08-21,72.05
2019-08-20,70.97
2019-08-19,71.6
2019-08-16,70.93
2019-08-15,69.44
2019-08-14,65.45
2019-08-13,67.49
2019-08-12,66.49
2019-08-09,68.49
2019-08-08,69.34
2019-08-07,67.82
2019-08-06,67.51
2019-08-05,65.72
2019-08-02,67.93
2019-08-01,69.06
2019-07-31,69.26
2019-07-30,70.0
2019-07-29,70.22
2019-07-26,69.35
2019-07-25,69.7
2019-07-24,69.43
2019-07-23,69.74
2019-07-22,68.94
2019-07-19,68.55
2019-07-18,69.98
2019-07-17,69.44
2019-07-16,69.8
2019-07-15,70.4
2019-07-12,71.5
2019-07-11,71.59
2019-07-10,73.21
2019-07-09,73.29
2019-07-08,73.68
2019-07-05,75.59
2019-07-03,76.64
2019-07-02,75.45
2019-07-01,75.62
2019-06-28,74.35
2019-06-27,72.87
2019-06-26,71.83
2019-06-25,72.2
2019-06-24,72.82
2019-06-21,73.02
2019-06-20,73.0
2019-06-19,72.33
2019-06-18,71.6
2019-06-17,69.99
2019-06-14,69.67
2019-06-13,70.0
2019-06-12,69.99
2019-06-11,69.79
2019-06-10,69.99
2019-06-07,69.22
2019-06-06,68.86
2019-06-05,68.05
2019-06-04,67.66
2019-06-03,66.7
2019-05-31,66.76
2019-05-30,66.6
2019-05-29,67.01
2019-05-28,66.79
2019-05-24,68.06
2019-05-23,67.41
2019-05-22,67.68
2019-05-21,68.02
2019-05-20,68.63
2019-05-17,68.81
2019-05-16,69.0
2019-05-15,67.35
2019-05-14,75.68
2019-05-13,73.52
2019-05-10,76.77
2019-05-09,76.67
2019-05-08,76.28
2019-05-07,76.34
2019-05-06,79.01
2019-05-03,78.95
2019-05-02,77.86
2019-05-01,77.13
2019-04-30,78.16
2019-04-29,76.99
2019-04-26,77.08
2019-04-25,76.39
2019-04-24,75.46
2019-04-23,75.23
2019-04-22,75.24
2019-04-18,75.84
2019-04-17,75.1
2019-04-16,77.21
2019-04-15,80.05
2019-04-12,80.63
2019-04-11,80.73
2019-04-10,81.33
2019-04-09,81.07
2019-04-08,81.34
2019-04-05,81.12
2019-04-04,80.48
2019-04-03,81.58
2019-04-02,80.79
2019-04-01,81.21
2019-03-29,79.87
2019-03-28,79.19
2019-03-27,78.5
2019-03-26,80.14
2019-03-25,79.01
2019-03-22,78.49
2019-03-21,81.48
2019-03-20,80.4
2019-03-19,80.68
2019-03-18,80.45
2019-03-15,80.58
2019-03-14,80.1
2019-03-13,79.62
2019-03-12,79.42
2019-03-11,78.79
2019-03-08,77.48
2019-03-07,78.23
2019-03-06,78.25
2019-03-05,79.23
2019-03-04,79.62
2019-03-01,80.72
2019-02-28,78.93
2019-02-27,78.91
2019-02-26,78.05
2019-02-25,78.83
2019-02-22,77.92
2019-02-21,77.39
