date,closeAdj
2019-11-08,17.64
2019-11-07,17.57
2019-11-06,17.68
2019-11-05,17.19
2019-11-04,17.42
2019-11-01,17.51
2019-10-31,17.05
2019-10-30,17.07
2019-10-29,16.95
2019-10-28,16.84
2019-10-25,16.67
2019-10-24,16.75
2019-10-23,16.99
2019-10-22,16.77
2019-10-21,16.31
2019-10-18,16.25
2019-10-17,16.11
2019-10-16,16.0
2019-10-15,15.89
2019-10-14,15.86
2019-10-11,15.88
2019-10-10,15.69
2019-10-09,15.42
2019-10-08,15.39
2019-10-07,15.72
2019-10-04,15.9
2019-10-03,15.67
2019-10-02,15.58
2019-10-01,16.11
2019-09-30,16.21
2019-09-27,16.18
2019-09-26,16.09
2019-09-25,15.99
2019-09-24,16.04
2019-09-23,16.12
2019-09-20,15.96
2019-09-19,15.82
2019-09-18,15.92
2019-09-17,15.76
2019-09-16,15.87
2019-09-13,15.66
2019-09-12,15.55
2019-09-11,15.43
2019-09-10,15.06
2019-09-09,14.91
2019-09-06,15.19
2019-09-05,15.32
2019-09-04,15.17
2019-09-03,15.22
2019-08-30,15.21
2019-08-29,15.0
2019-08-28,14.74
2019-08-27,14.49
2019-08-26,14.72
2019-08-23,14.67
2019-08-22,15.08
2019-08-21,15.2
2019-08-20,15.07
2019-08-19,15.24
2019-08-16,15.08
2019-08-15,14.65
2019-08-14,14.67
2019-08-13,15.05
2019-08-12,15.12
2019-08-09,15.45
2019-08-08,15.72
2019-08-07,15.55
2019-08-06,15.58
2019-08-05,16.19
2019-08-02,16.7
2019-08-01,17.16
2019-07-31,16.66
2019-07-30,16.88
2019-07-29,16.79
2019-07-26,16.67
2019-07-25,16.64
2019-07-24,16.6
2019-07-23,16.56
2019-07-22,16.79
2019-07-19,16.95
2019-07-18,17.25
2019-07-17,17.37
2019-07-16,17.02
2019-07-15,16.88
2019-07-12,16.81
2019-07-11,16.69
2019-07-10,16.72
2019-07-09,16.79
2019-07-08,16.88
2019-07-05,16.85
2019-07-03,17.01
2019-07-02,16.68
2019-07-01,16.5
2019-06-28,16.49
2019-06-27,16.28
2019-06-26,16.06
2019-06-25,16.39
2019-06-24,16.37
2019-06-21,16.49
2019-06-20,16.66
2019-06-19,16.31
2019-06-18,16.57
2019-06-17,16.56
2019-06-14,16.82
2019-06-13,16.59
2019-06-12,16.49
2019-06-11,16.12
2019-06-10,16.17
2019-06-07,16.44
2019-06-06,16.69
2019-06-05,16.23
2019-06-04,15.83
2019-06-03,15.68
2019-05-31,15.55
2019-05-30,15.64
