date,closeAdj
2019-11-08,53.17
2019-11-07,52.96
2019-11-06,53.55
2019-11-05,53.63
2019-11-04,54.77
2019-11-01,55.23
2019-10-31,54.88
2019-10-30,54.6
2019-10-29,53.98
2019-10-28,54.03
2019-10-25,54.29
2019-10-24,54.5
2019-10-23,54.7
2019-10-22,54.85
2019-10-21,54.8
2019-10-18,54.48
2019-10-17,54.03
2019-10-16,53.93
2019-10-15,53.6
2019-10-14,53.75
2019-10-11,53.55
2019-10-10,53.31
2019-10-09,53.06
2019-10-08,53.29
2019-10-07,53.38
2019-10-04,53.32
2019-10-03,52.73
2019-10-02,51.94
2019-10-01,51.94
2019-09-30,52.14
2019-09-27,51.82
2019-09-26,52.14
2019-09-25,51.64
2019-09-24,51.31
2019-09-23,51.14
2019-09-20,51.12
2019-09-19,51.5
2019-09-18,51.87
2019-09-17,52.18
2019-09-16,51.57
2019-09-13,50.77
2019-09-12,51.11
2019-09-11,50.99
2019-09-10,50.78
2019-09-09,51.5
2019-09-06,51.8
2019-09-05,51.07
2019-09-04,51.42
2019-09-03,51.31
2019-08-30,51.0
2019-08-29,51.05
2019-08-28,50.58
2019-08-27,50.39
2019-08-26,50.65
2019-08-23,50.36
2019-08-22,50.73
2019-08-21,50.6
2019-08-20,50.49
2019-08-19,50.99
2019-08-16,50.66
2019-08-15,50.08
2019-08-14,48.99
2019-08-13,49.99
2019-08-12,50.56
2019-08-09,50.4
2019-08-08,50.27
2019-08-07,49.79
2019-08-06,49.65
2019-08-05,48.4
2019-08-02,49.83
2019-08-01,49.17
2019-07-31,49.15
2019-07-30,49.63
2019-07-29,49.85
2019-07-26,49.45
2019-07-25,49.26
2019-07-24,49.22
2019-07-23,49.35
2019-07-22,49.06
2019-07-19,49.23
2019-07-18,50.63
2019-07-17,50.6
2019-07-16,51.05
2019-07-15,51.22
2019-07-12,51.33
2019-07-11,51.2
2019-07-10,51.94
2019-07-09,51.54
2019-07-08,50.96
2019-07-05,50.69
2019-07-03,51.14
2019-07-02,50.33
2019-07-01,49.55
2019-06-28,49.72
2019-06-27,49.34
2019-06-26,49.18
2019-06-25,50.21
2019-06-24,50.71
2019-06-21,50.77
2019-06-20,51.28
2019-06-19,50.88
2019-06-18,50.65
2019-06-17,50.95
2019-06-14,50.73
2019-06-13,50.97
2019-06-12,50.94
2019-06-11,50.73
2019-06-10,50.85
2019-06-07,50.85
2019-06-06,51.2
2019-06-05,50.75
2019-06-04,49.59
2019-06-03,49.61
2019-05-31,49.56
2019-05-30,49.2
2019-05-29,48.93
2019-05-28,49.88
2019-05-24,50.64
2019-05-23,50.59
2019-05-22,50.08
2019-05-21,49.93
2019-05-20,49.24
2019-05-17,50.01
2019-05-16,49.87
2019-05-15,49.29
2019-05-14,48.96
2019-05-13,49.07
2019-05-10,49.11
2019-05-09,48.64
2019-05-08,48.34
2019-05-07,48.31
2019-05-06,48.98
2019-05-03,49.27
2019-05-02,48.29
2019-05-01,48.57
2019-04-30,48.59
2019-04-29,48.06
2019-04-26,48.74
2019-04-25,48.42
2019-04-24,48.45
2019-04-23,48.0
2019-04-22,47.1
2019-04-18,47.83
2019-04-17,47.57
2019-04-16,48.63
2019-04-15,50.09
2019-04-12,50.22
2019-04-11,49.92
2019-04-10,50.03
2019-04-09,49.68
2019-04-08,49.86
2019-04-05,49.98
2019-04-04,49.74
2019-04-03,50.13
2019-04-02,50.04
2019-04-01,49.45
2019-03-29,49.5
2019-03-28,49.72
2019-03-27,49.62
2019-03-26,49.62
2019-03-25,49.25
2019-03-22,49.2
2019-03-21,49.5
2019-03-20,48.77
2019-03-19,48.92
2019-03-18,49.01
2019-03-15,49.99
2019-03-14,49.98
2019-03-13,49.53
2019-03-12,49.5
2019-03-11,49.05
2019-03-08,48.65
2019-03-07,48.55
2019-03-06,48.48
2019-03-05,48.67
2019-03-04,48.79
2019-03-01,48.29
2019-02-28,48.17
2019-02-27,48.16
2019-02-26,48.56
2019-02-25,48.44
2019-02-22,49.15
2019-02-21,48.81
2019-02-20,47.99
2019-02-19,48.68
2019-02-15,48.44
2019-02-14,48.25
2019-02-13,48.18
2019-02-12,47.73
2019-02-11,48.08
2019-02-08,48.08
2019-02-07,48.07
2019-02-06,48.03
2019-02-05,48.18
2019-02-04,48.24
2019-02-01,47.91
2019-01-31,48.35
2019-01-30,48.18
2019-01-29,48.07
2019-01-28,47.55
2019-01-25,46.9
2019-01-24,46.39
2019-01-23,46.27
2019-01-22,45.96
2019-01-18,45.88
2019-01-17,45.68
2019-01-16,45.15
2019-01-15,44.79
2019-01-14,44.15
2019-01-11,44.34
2019-01-10,44.13
2019-01-09,43.11
2019-01-08,43.04
2019-01-07,41.88
2019-01-04,41.85
2019-01-03,41.71
2019-01-02,41.35
2018-12-31,42.84
2018-12-28,42.45
2018-12-27,42.49
2018-12-26,42.4
2018-12-24,41.22
2018-12-21,43.33
2018-12-20,44.15
2018-12-19,44.35
2018-12-18,44.34
2018-12-17,44.06
2018-12-14,46.05
2018-12-13,45.84
2018-12-12,45.15
2018-12-11,46.23
2018-12-10,45.9
2018-12-07,45.97
2018-12-06,46.17
2018-12-04,44.99
2018-12-03,45.99
2018-11-30,45.97
2018-11-29,45.06
2018-11-28,45.19
2018-11-27,44.99
2018-11-26,44.93
2018-11-23,44.93
2018-11-21,45.05
2018-11-20,44.8
2018-11-19,44.88
2018-11-16,44.57
2018-11-15,43.59
2018-11-14,44.04
2018-11-13,44.57
2018-11-12,44.39
2018-11-09,44.19
2018-11-08,44.15
2018-11-07,43.93
2018-11-06,43.36
2018-11-05,42.41
2018-11-02,42.13
2018-11-01,41.63
2018-10-31,41.67
2018-10-30,42.35
2018-10-29,41.98
2018-10-26,41.13
2018-10-25,41.9
2018-10-24,41.28
2018-10-23,41.15
2018-10-22,41.12
2018-10-19,41.85
2018-10-18,41.43
2018-10-17,41.48
2018-10-16,41.69
2018-10-15,41.07
2018-10-12,40.52
2018-10-11,40.79
2018-10-10,42.1
2018-10-09,42.96
2018-10-08,42.74
2018-10-05,42.13
2018-10-04,41.97
2018-10-03,42.22
2018-10-02,42.72
2018-10-01,42.45
2018-09-28,42.73
2018-09-27,42.03
2018-09-26,41.92
2018-09-25,42.35
2018-09-24,42.19
2018-09-21,43.21
2018-09-20,43.04
2018-09-19,42.62
2018-09-18,42.94
2018-09-17,43.05
2018-09-14,42.73
2018-09-13,43.17
2018-09-12,42.91
2018-09-11,42.98
2018-09-10,42.78
2018-09-07,42.34
2018-09-06,42.46
2018-09-05,42.33
2018-09-04,42.11
2018-08-31,42.41
2018-08-30,42.42
2018-08-29,42.77
2018-08-28,42.81
2018-08-27,42.48
2018-08-24,42.34
2018-08-23,42.07
2018-08-22,42.1
2018-08-21,42.07
2018-08-20,42.58
2018-08-17,42.51
2018-08-16,42.12
2018-08-15,41.97
2018-08-14,41.56
2018-08-13,41.03
2018-08-10,41.16
2018-08-09,41.48
2018-08-08,41.38
2018-08-07,41.66
2018-08-06,41.6
2018-08-03,42.05
2018-08-02,41.08
2018-08-01,41.05
2018-07-31,40.93
2018-07-30,40.09
2018-07-27,40.2
2018-07-26,40.56
2018-07-25,40.36
2018-07-24,39.82
2018-07-23,39.93
2018-07-20,40.14
2018-07-19,40.55
2018-07-18,40.18
2018-07-17,40.34
2018-07-16,40.77
2018-07-13,40.94
2018-07-12,41.23
2018-07-11,41.13
2018-07-10,40.55
2018-07-09,40.41
2018-07-06,40.64
2018-07-05,40.58
2018-07-03,40.41
2018-07-02,40.33
2018-06-29,40.6
2018-06-28,40.46
2018-06-27,40.14
2018-06-26,40.65
2018-06-25,40.72
2018-06-22,40.68
2018-06-21,40.35
2018-06-20,39.78
2018-06-19,39.11
2018-06-18,39.3
2018-06-15,39.6
2018-06-14,39.72
2018-06-13,39.13
2018-06-12,39.95
2018-06-11,39.78
2018-06-08,40.02
2018-06-07,39.75
2018-06-06,39.92
2018-06-05,39.65
2018-06-04,39.96
2018-06-01,39.4
2018-05-31,39.19
2018-05-30,39.18
2018-05-29,38.19
2018-05-25,38.07
2018-05-24,37.92
2018-05-23,38.21
2018-05-22,37.63
2018-05-21,37.54
2018-05-18,37.24
2018-05-17,37.1
2018-05-16,37.36
2018-05-15,37.76
2018-05-14,38.61
2018-05-11,38.85
2018-05-10,39.05
2018-05-09,39.18
2018-05-08,38.96
2018-05-07,39.17
2018-05-04,39.03
2018-05-03,38.65
2018-05-02,38.68
2018-05-01,39.05
2018-04-30,38.59
2018-04-27,38.9
2018-04-26,38.22
2018-04-25,37.4
2018-04-24,37.33
2018-04-23,37.4
2018-04-20,37.45
2018-04-19,37.91
2018-04-18,38.56
2018-04-17,38.95
2018-04-16,38.79
