date,figure,fyear,measure,period,type,value
2019-01-31,common-outstanding-basic,2018.0,period,FY,common,218900000
2018-01-31,common-outstanding-basic,2017.0,period,FY,common,219500000
2017-01-31,common-outstanding-basic,2016.0,period,FY,common,226000000
2016-01-31,common-outstanding-basic,2015.0,period,FY,common,227100000
2015-01-31,common-outstanding-basic,2014.0,period,FY,common,224000000
2014-01-31,common-outstanding-basic,2013.0,period,FY,common,226400000
2013-01-31,common-outstanding-basic,2012.0,period,FY,common,227700000
2012-01-31,common-outstanding-basic,2011.0,period,FY,common,227600000
2011-01-31,common-outstanding-basic,2010.0,period,FY,common,228700000
2010-01-31,common-outstanding-basic,2009.0,period,FY,common,225500000
2009-01-31,common-outstanding-basic,2008.0,period,FY,common,230300000
