date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,167312000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,171559000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,174917000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,178391000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,178279000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,178196000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,177900000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,183866000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,177309000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,171425000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,167673000
2007-12-31,common-outstanding-basic,2007.0,period,FY,common,162959000
