date,figure,fyear,measure,period,type,value
2018-10-31,common-outstanding-basic,2018.0,period,FY,common,321000000
2017-10-31,common-outstanding-basic,2017.0,period,FY,common,322000000
2016-10-31,common-outstanding-basic,2016.0,period,FY,common,326000000
2015-10-31,common-outstanding-basic,2015.0,period,FY,common,333000000
2014-10-31,common-outstanding-basic,2014.0,period,FY,common,333000000
2013-10-31,common-outstanding-basic,2013.0,period,FY,common,341000000
2012-10-31,common-outstanding-basic,2012.0,period,FY,common,348000000
2011-10-31,common-outstanding-basic,2011.0,period,FY,common,485800000
2010-10-31,common-outstanding-basic,2010.0,period,FY,common,485800000
2009-10-31,common-outstanding-basic,2009.0,period,FY,common,484400000
2008-10-31,common-outstanding-basic,2008.0,period,FY,common,508200000
