date,figure,fyear,measure,period,type,value
2019-10-18,common-outstanding,,point-in-time,,common,4443265000
2019-09-28,common-outstanding,,point-in-time,,common,4443236000
2019-07-19,common-outstanding,,point-in-time,,common,4519180000
2019-06-29,common-outstanding,,point-in-time,,common,4531395000
2019-04-22,common-outstanding,,point-in-time,,common,4601075000
2019-03-30,common-outstanding,,point-in-time,,common,4607284000
2019-01-18,common-outstanding,,point-in-time,,common,4715280000
2018-12-29,common-outstanding,,point-in-time,,common,4729803000
2018-10-26,common-outstanding,,point-in-time,,common,4745398000
2018-09-29,common-outstanding,,point-in-time,,common,4754986000
2018-07-20,common-outstanding,,point-in-time,,common,4829926000
2018-06-30,common-outstanding,,point-in-time,,common,4842917000
2018-04-20,common-outstanding,,point-in-time,,common,4915138000
2018-03-31,common-outstanding,,point-in-time,,common,4943282000
2018-01-19,common-outstanding,,point-in-time,,common,5074013000
2017-12-30,common-outstanding,,point-in-time,,common,5081651000
2017-10-20,common-outstanding,,point-in-time,,common,5134312000
2017-09-30,common-outstanding,,point-in-time,,common,5126201000
2017-07-21,common-outstanding,,point-in-time,,common,5165228000
2017-07-01,common-outstanding,,point-in-time,,common,5169782000
2017-04-21,common-outstanding,,point-in-time,,common,5213840000
2017-04-01,common-outstanding,,point-in-time,,common,5205815000
2017-01-20,common-outstanding,,point-in-time,,common,5246540000
2016-12-31,common-outstanding,,point-in-time,,common,5255423000
2016-10-14,common-outstanding,,point-in-time,,common,5332313000
2016-09-24,common-outstanding,,point-in-time,,common,5336166000
2016-07-15,common-outstanding,,point-in-time,,common,5388443000
2016-06-25,common-outstanding,,point-in-time,,common,5393165000
2016-04-08,common-outstanding,,point-in-time,,common,5477425000
2016-03-26,common-outstanding,,point-in-time,,common,5478446000
2016-01-08,common-outstanding,,point-in-time,,common,5544583000
2015-12-26,common-outstanding,,point-in-time,,common,5544487000
2015-10-09,common-outstanding,,point-in-time,,common,5575331000
2015-09-26,common-outstanding,,point-in-time,,common,5578753000
2015-07-10,common-outstanding,,point-in-time,,common,5702722000
2015-06-27,common-outstanding,,point-in-time,,common,5705400000
2015-04-10,common-outstanding,,point-in-time,,common,5761030000
2015-03-28,common-outstanding,,point-in-time,,common,5762278000
2015-01-09,common-outstanding,,point-in-time,,common,5824748000
2014-12-27,common-outstanding,,point-in-time,,common,5826419000
2014-10-10,common-outstanding,,point-in-time,,common,5864840000
2014-09-27,common-outstanding,,point-in-time,,common,5866161000
2014-07-11,common-outstanding,,point-in-time,,common,5987867000
2014-06-28,common-outstanding,,point-in-time,,common,5989171000
2014-04-11,common-outstanding,,point-in-time,,common,6029667000
2014-03-29,common-outstanding,,point-in-time,,common,6032215
2014-01-10,common-outstanding,,point-in-time,,common,6243923000
2013-12-28,common-outstanding,,point-in-time,,common,6247129000
2013-10-18,common-outstanding,,point-in-time,,common,6298166000
2013-09-28,common-outstanding,,point-in-time,,common,6294494000
2013-07-12,common-outstanding,,point-in-time,,common,6359479000
2013-06-29,common-outstanding,,point-in-time,,common,6359094000
2013-04-12,common-outstanding,,point-in-time,,common,6570543000
2013-03-30,common-outstanding,,point-in-time,,common,6580658000
2013-01-11,common-outstanding,,point-in-time,,common,6573406000
2012-12-29,common-outstanding,,point-in-time,,common,6572811000
2012-10-19,common-outstanding,,point-in-time,,common,6584844000
2012-09-29,common-outstanding,,point-in-time,,common,6574456000
2012-07-13,common-outstanding,,point-in-time,,common,6561842000
2012-06-30,common-outstanding,,point-in-time,,common,6560862000
2012-04-13,common-outstanding,,point-in-time,,common,6545434000
2012-03-31,common-outstanding,,point-in-time,,common,6544874000
2012-01-13,common-outstanding,,point-in-time,,common,6526590000
2011-12-31,common-outstanding,,point-in-time,,common,6525498000
2011-10-14,common-outstanding,,point-in-time,,common,6505863000
2011-09-24,common-outstanding,,point-in-time,,common,6504939000
2011-07-08,common-outstanding,,point-in-time,,common,6489636202
2011-06-25,common-outstanding,,point-in-time,,common,6488326453
2011-04-08,common-outstanding,,point-in-time,,common,6473281927
2011-03-26,common-outstanding,,point-in-time,,common,6472718553
2011-01-07,common-outstanding,,point-in-time,,common,6448946084
2010-12-25,common-outstanding,,point-in-time,,common,6447248325
