date,figure,fyear,measure,period,type,value
2019-07-30,common-outstanding,,point-in-time,,common,208325501
2019-06-30,common-outstanding,,point-in-time,,common,208379917
2019-04-30,common-outstanding,,point-in-time,,common,210176951
2019-03-31,common-outstanding,,point-in-time,,common,210167489
2019-01-25,common-outstanding,,point-in-time,,common,211089893
2018-12-31,common-outstanding,,point-in-time,,common,211025394
2018-10-31,common-outstanding,,point-in-time,,common,211933493
2018-09-30,common-outstanding,,point-in-time,,common,213217882
2018-07-31,common-outstanding,,point-in-time,,common,216356644
2018-06-30,common-outstanding,,point-in-time,,common,216895892
2018-04-30,common-outstanding,,point-in-time,,common,219804069
2018-03-31,common-outstanding,,point-in-time,,common,219743905
2018-01-31,common-outstanding,,point-in-time,,common,219669091
2017-12-31,common-outstanding,,point-in-time,,common,218500798
2017-10-31,common-outstanding,,point-in-time,,common,218082051
2017-09-30,common-outstanding,,point-in-time,,common,217993598
2017-07-31,common-outstanding,,point-in-time,,common,219111565
2017-06-30,common-outstanding,,point-in-time,,common,219035799
2017-04-30,common-outstanding,,point-in-time,,common,218356117
2017-03-31,common-outstanding,,point-in-time,,common,218314621
2017-01-27,common-outstanding,,point-in-time,,common,217279686
2016-12-31,common-outstanding,,point-in-time,,common,216984809
2016-10-31,common-outstanding,,point-in-time,,common,220100206
2016-09-30,common-outstanding,,point-in-time,,common,220050502
2016-07-31,common-outstanding,,point-in-time,,common,214734255
2016-06-30,common-outstanding,,point-in-time,,common,214646806
2016-04-30,common-outstanding,,point-in-time,,common,215854745
2016-03-31,common-outstanding,,point-in-time,,common,224001276
2016-01-31,common-outstanding,,point-in-time,,common,205462465
2015-12-31,common-outstanding,,point-in-time,,common,206315699
2015-10-31,common-outstanding,,point-in-time,,common,205632943
2015-09-30,common-outstanding,,point-in-time,,common,206891873
2015-07-31,common-outstanding,,point-in-time,,common,216202116
2015-06-30,common-outstanding,,point-in-time,,common,216517538
2015-04-30,common-outstanding,,point-in-time,,common,219685548
2015-03-31,common-outstanding,,point-in-time,,common,221110118
2015-01-31,common-outstanding,,point-in-time,,common,219604997
2014-12-31,common-outstanding,,point-in-time,,common,219340882
2014-10-31,common-outstanding,,point-in-time,,common,218691869
2014-09-30,common-outstanding,,point-in-time,,common,221908650
2014-07-31,common-outstanding,,point-in-time,,common,224381645
2014-06-30,common-outstanding,,point-in-time,,common,224286950
2014-04-30,common-outstanding,,point-in-time,,common,225839910
2014-03-31,common-outstanding,,point-in-time,,common,227519892
2014-01-31,common-outstanding,,point-in-time,,common,229201153
2013-12-31,common-outstanding,,point-in-time,,common,230492510
2013-10-31,common-outstanding,,point-in-time,,common,230032094
2013-09-30,common-outstanding,,point-in-time,,common,229994216
2013-07-31,common-outstanding,,point-in-time,,common,230903118
2013-06-30,common-outstanding,,point-in-time,,common,230795299
2013-04-30,common-outstanding,,point-in-time,,common,230907431
2013-03-31,common-outstanding,,point-in-time,,common,230886422
2013-01-31,common-outstanding,,point-in-time,,common,230172685
2012-12-31,common-outstanding,,point-in-time,,common,229920121
2012-10-31,common-outstanding,,point-in-time,,common,235475712
2012-09-30,common-outstanding,,point-in-time,,common,235394281
2012-07-31,common-outstanding,,point-in-time,,common,251636854
2012-06-30,common-outstanding,,point-in-time,,common,251196264
2012-04-30,common-outstanding,,point-in-time,,common,252962934
2012-03-31,common-outstanding,,point-in-time,,common,255423425
2012-01-31,common-outstanding,,point-in-time,,common,257834417
2011-12-31,common-outstanding,,point-in-time,,common,258393461
2011-09-30,common-outstanding,,point-in-time,,common,260991439
2011-07-31,common-outstanding,,point-in-time,,common,269256615
