date,figure,fyear,measure,period,type,value
2019-03-31,common-outstanding,,point-in-time,,common,1764181262
2019-01-31,common-outstanding,,point-in-time,,common,1756470269
2018-12-31,common-outstanding,,point-in-time,,common,1971189465
2018-09-30,common-outstanding,,point-in-time,,common,1756333032
2018-06-30,common-outstanding,,point-in-time,,common,1754319284
2018-03-31,common-outstanding,,point-in-time,,common,1753187766
2018-01-31,common-outstanding,,point-in-time,,common,1746333892
2017-12-31,common-outstanding,,point-in-time,,common,3931816376
2017-09-30,common-outstanding,,point-in-time,,common,1740600687
2017-06-30,common-outstanding,,point-in-time,,common,1737443264
2017-03-31,common-outstanding,,point-in-time,,common,1735272054
2016-12-31,common-outstanding,,point-in-time,,common,1707475455
2016-09-30,common-outstanding,,point-in-time,,common,1472309523
2016-06-30,common-outstanding,,point-in-time,,common,1469995415
2016-03-31,common-outstanding,,point-in-time,,common,1469152033
2015-12-31,common-outstanding,,point-in-time,,common,1702017390
2015-09-30,common-outstanding,,point-in-time,,common,1491719891
2015-06-30,common-outstanding,,point-in-time,,common,1490441465
2015-03-31,common-outstanding,,point-in-time,,common,1488757318
2014-12-31,common-outstanding,,point-in-time,,common,1694929949
2014-09-30,common-outstanding,,point-in-time,,common,1505790586
2014-06-30,common-outstanding,,point-in-time,,common,1503699033
2014-03-31,common-outstanding,,point-in-time,,common,1501938538
2013-12-31,common-outstanding,,point-in-time,,common,1685827096
2013-09-30,common-outstanding,,point-in-time,,common,1546185646
2013-06-30,common-outstanding,,point-in-time,,common,1554125355
2013-03-31,common-outstanding,,point-in-time,,common,1558864658
2012-09-30,common-outstanding,,point-in-time,,common,3287788893
2012-06-30,common-outstanding,,point-in-time,,common,3264214156
2012-03-31,common-outstanding,,point-in-time,,common,3272654251
2011-09-30,common-outstanding,,point-in-time,,common,3240214802
2011-06-30,common-outstanding,,point-in-time,,common,3237679189
2011-03-31,common-outstanding,,point-in-time,,common,3232908615
2010-09-30,common-outstanding,,point-in-time,,common,3215297207
2010-06-30,common-outstanding,,point-in-time,,common,3211579742
2010-03-31,common-outstanding,,point-in-time,,common,3210615323
2009-09-30,common-outstanding,,point-in-time,,common,3217215926
2009-06-30,common-outstanding,,point-in-time,,common,3215497881
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,1760466500
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,1763278000
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,1758000000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,1758000000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,1761167000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,1760309000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,1754854250
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,1757018000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,1759585000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,1750875500
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,1755691000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,1757836000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1,common,1746514000
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,1753412000
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1.25,common,1740000000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,1740000000
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,1748363000
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,1745992000
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,1672932000
2017-09-30,common-outstanding-basic,2017.0,period,9M,common,1737310000
2017-09-30,common-outstanding-basic,2017.0,period,Q3,common,1743757000
2017-06-30,common-outstanding-basic,2017.0,period,TTM-1.75,common,1606045000
2017-06-30,common-outstanding-basic,2017.0,period,H1,common,1734008000
2017-06-30,common-outstanding-basic,2017.0,period,Q2,common,1740524000
2017-03-31,common-outstanding-basic,2017.0,period,TTM-2,common,1539506000
2017-03-31,common-outstanding-basic,2017.0,period,Q1,common,1727356000
