date,figure,fyear,measure,period,type,value
2019-08-31,common-outstanding-basic,2019.0,period,FY,common,638098125
2018-08-31,common-outstanding-basic,2018.0,period,FY,common,628451742
2017-08-31,common-outstanding-basic,2017.0,period,FY,common,620104250
2016-08-31,common-outstanding-basic,2016.0,period,FY,common,624797820
2015-08-31,common-outstanding-basic,2015.0,period,FY,common,626799586
2014-08-31,common-outstanding-basic,2014.0,period,FY,common,634216250
2013-08-31,common-outstanding-basic,2013.0,period,FY,common,645536995
2012-08-31,common-outstanding-basic,2012.0,period,FY,common,643132601
2011-08-31,common-outstanding-basic,2011.0,period,FY,common,645631170
2010-08-31,common-outstanding-basic,2010.0,period,FY,common,637170234
2009-08-31,common-outstanding-basic,2009.0,period,FY,common,6230071980
2008-08-31,common-outstanding-basic,2008.0,period,FY,common,6109492050
