date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,564000000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,569000000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,588000000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,618000000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,653000000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,661000000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,660000000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,642000000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,643000000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,643000000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,644000000
