date,figure,fyear,measure,period,type,value
2019-10-30,common-outstanding,,point-in-time,,common,432698089
2019-09-30,common-outstanding,,point-in-time,,common,433400000
2019-07-31,common-outstanding,,point-in-time,,common,433942837
2019-06-30,common-outstanding,,point-in-time,,common,434200000
2019-04-30,common-outstanding,,point-in-time,,common,435228237
2019-03-31,common-outstanding,,point-in-time,,common,435500000
2019-01-25,common-outstanding,,point-in-time,,common,435629656
2018-12-31,common-outstanding,,point-in-time,,common,436200000
2018-10-26,common-outstanding,,point-in-time,,common,437732499
2018-09-30,common-outstanding,,point-in-time,,common,438200000
2018-07-31,common-outstanding,,point-in-time,,common,438082756
2018-06-30,common-outstanding,,point-in-time,,common,438800000
2018-04-30,common-outstanding,,point-in-time,,common,440522324
2018-03-31,common-outstanding,,point-in-time,,common,441700000
2018-01-26,common-outstanding,,point-in-time,,common,443269657
2017-12-31,common-outstanding,,point-in-time,,common,442700000
2017-09-30,common-outstanding,,point-in-time,,common,444000000
2017-06-30,common-outstanding,,point-in-time,,common,445000000
2017-04-28,common-outstanding,,point-in-time,,common,447410344
2017-03-31,common-outstanding,,point-in-time,,common,447900000
2017-01-27,common-outstanding,,point-in-time,,common,448902582
2016-12-31,common-outstanding,,point-in-time,,common,448900000
2016-09-30,common-outstanding,,point-in-time,,common,453100000
2016-07-29,common-outstanding,,point-in-time,,common,456176951
2016-06-30,common-outstanding,,point-in-time,,common,455700000
2016-04-30,common-outstanding,,point-in-time,,common,455534803
2016-03-31,common-outstanding,,point-in-time,,common,456100000
2016-01-31,common-outstanding,,point-in-time,,common,457451131
2015-12-31,common-outstanding,,point-in-time,,common,458700000
2015-09-30,common-outstanding,,point-in-time,,common,463400000
2015-06-30,common-outstanding,,point-in-time,,common,466400000
2015-04-30,common-outstanding,,point-in-time,,common,469524030
2015-03-31,common-outstanding,,point-in-time,,common,471100000
2015-01-30,common-outstanding,,point-in-time,,common,475152112
2014-12-31,common-outstanding,,point-in-time,,common,477100000
2014-09-30,common-outstanding,,point-in-time,,common,481800000
2014-06-30,common-outstanding,,point-in-time,,common,480200000
2014-04-28,common-outstanding,,point-in-time,,common,549596544
2014-03-31,common-outstanding,,point-in-time,,common,549366000
2013-12-31,common-outstanding,,point-in-time,,common,548796000
2013-09-30,common-outstanding,,point-in-time,,common,549252000
2013-06-30,common-outstanding,,point-in-time,,common,550164000
2013-04-30,common-outstanding,,point-in-time,,common,553153555
2013-03-31,common-outstanding,,point-in-time,,common,553014000
2012-12-31,common-outstanding,,point-in-time,,common,552558000
2012-09-30,common-outstanding,,point-in-time,,common,551988000
2012-06-30,common-outstanding,,point-in-time,,common,551988000
2012-04-27,common-outstanding,,point-in-time,,common,557557025
2012-03-31,common-outstanding,,point-in-time,,common,557802000
2012-01-31,common-outstanding,,point-in-time,,common,559256504
2011-12-31,common-outstanding,,point-in-time,,common,557574000
2011-09-30,common-outstanding,,point-in-time,,common,556548000
2011-06-30,common-outstanding,,point-in-time,,common,559512000
2011-04-29,common-outstanding,,point-in-time,,common,569663474
2011-03-31,common-outstanding,,point-in-time,,common,567948000
2010-12-31,common-outstanding,,point-in-time,,common,563388000
2010-09-30,common-outstanding,,point-in-time,,common,561450000
2010-06-30,common-outstanding,,point-in-time,,common,560880000
2010-04-30,common-outstanding,,point-in-time,,common,573405934
2010-03-31,common-outstanding,,point-in-time,,common,573306000
2009-12-31,common-outstanding,,point-in-time,,common,573306000
2009-09-30,common-outstanding,,point-in-time,,common,573876000
2009-06-30,common-outstanding,,point-in-time,,common,571938000
2019-09-30,common-outstanding-basic,2020.0,period,TTM,common,433975000
2019-09-30,common-outstanding-basic,2020.0,period,Q1,common,432700000
2019-06-30,common-outstanding-basic,2019.0,period,TTM-0.25,common,435000000
2019-06-30,common-outstanding-basic,2019.0,period,FY,common,435000000
2019-06-30,common-outstanding-basic,2019.0,period,Q4,common,433400000
2019-06-30,common-outstanding-basic,2019.0,period,H2,common,433800000
2019-03-31,common-outstanding-basic,2019.0,period,TTM-0.5,common,436100000
2019-03-31,common-outstanding-basic,2019.0,period,9M,common,435500000
2019-03-31,common-outstanding-basic,2019.0,period,Q3,common,434100000
2018-12-31,common-outstanding-basic,2019.0,period,TTM-0.75,common,437825000
2018-12-31,common-outstanding-basic,2019.0,period,H1,common,436200000
2018-12-31,common-outstanding-basic,2019.0,period,Q2,common,435700000
2018-09-30,common-outstanding-basic,2019.0,period,TTM-1,common,439250000
2018-09-30,common-outstanding-basic,2019.0,period,Q1,common,436800000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-1.25,common,440600000
2018-06-30,common-outstanding-basic,2018.0,period,FY,common,440600000
2018-06-30,common-outstanding-basic,2018.0,period,Q4,common,437900000
2018-06-30,common-outstanding-basic,2018.0,period,H2,common,439400000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1.5,common,442250000
2018-03-31,common-outstanding-basic,2018.0,period,9M,common,441500000
2018-03-31,common-outstanding-basic,2018.0,period,Q3,common,441000000
