date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,492774600
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,491814651
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,491495458
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,490340522
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,488592997
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,486619555
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,484682469
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,482169282
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,479373306
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,458677534
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,402083847
2007-12-31,common-outstanding-basic,2007.0,period,FY,common,398784745
