date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding,,point-in-time,,common,493245876
2018-10-25,common-outstanding,,point-in-time,,common,493108827
2018-07-26,common-outstanding,,point-in-time,,common,492934058
2018-04-26,common-outstanding,,point-in-time,,common,492523470
2017-12-31,common-outstanding,,point-in-time,,common,492005598
2017-10-26,common-outstanding,,point-in-time,,common,491883887
2017-09-30,common-outstanding,,point-in-time,,common,13499500
2017-07-27,common-outstanding,,point-in-time,,common,491840382
2017-06-30,common-outstanding,,point-in-time,,common,13499500
2017-04-27,common-outstanding,,point-in-time,,common,491712071
2017-03-31,common-outstanding,,point-in-time,,common,13499500
2016-12-31,common-outstanding,,point-in-time,,common,491711928
2016-11-01,common-outstanding,,point-in-time,,common,491711533
2016-09-30,common-outstanding,,point-in-time,,common,13499500
2016-07-28,common-outstanding,,point-in-time,,common,491709452
2016-06-30,common-outstanding,,point-in-time,,common,13499500
2016-04-28,common-outstanding,,point-in-time,,common,491313380
2016-03-31,common-outstanding,,point-in-time,,common,13499500
2015-12-31,common-outstanding,,point-in-time,,common,491052581
2015-10-22,common-outstanding,,point-in-time,,common,490817402
2015-09-30,common-outstanding,,point-in-time,,common,13499500
2015-07-23,common-outstanding,,point-in-time,,common,490559618
2015-06-30,common-outstanding,,point-in-time,,common,13499500
2015-04-23,common-outstanding,,point-in-time,,common,489941950
2015-03-31,common-outstanding,,point-in-time,,common,13499500
2014-12-31,common-outstanding,,point-in-time,,common,13499500
2014-10-23,common-outstanding,,point-in-time,,common,489240481
2014-09-30,common-outstanding,,point-in-time,,common,13499500
2014-07-24,common-outstanding,,point-in-time,,common,13499500
2014-06-30,common-outstanding,,point-in-time,,common,13499500
2014-04-23,common-outstanding,,point-in-time,,common,488083018
2014-03-31,common-outstanding,,point-in-time,,common,13499500
2013-12-31,common-outstanding,,point-in-time,,common,13499500
2013-10-24,common-outstanding,,point-in-time,,common,487290382
2013-09-30,common-outstanding,,point-in-time,,common,13499500
2013-07-25,common-outstanding,,point-in-time,,common,486772596
2013-06-30,common-outstanding,,point-in-time,,common,13499500
2013-04-25,common-outstanding,,point-in-time,,common,486045098
2013-03-31,common-outstanding,,point-in-time,,common,13499500
2012-12-31,common-outstanding,,point-in-time,,common,13499500
2012-10-25,common-outstanding,,point-in-time,,common,485249096
2012-09-30,common-outstanding,,point-in-time,,common,13499500
2012-07-26,common-outstanding,,point-in-time,,common,484902556
2012-06-30,common-outstanding,,point-in-time,,common,13499500
2012-04-26,common-outstanding,,point-in-time,,common,484321794
2012-03-31,common-outstanding,,point-in-time,,common,13499500
2011-12-31,common-outstanding,,point-in-time,,common,13499500
2011-10-28,common-outstanding,,point-in-time,,common,482912247
2011-09-30,common-outstanding,,point-in-time,,common,13499500
2011-07-29,common-outstanding,,point-in-time,,common,482273829
2011-06-30,common-outstanding,,point-in-time,,common,13499500
2011-04-29,common-outstanding,,point-in-time,,common,481790955000000
2010-12-31,common-outstanding,,point-in-time,,common,13499500
2010-09-30,common-outstanding,,point-in-time,,common,480276270000000
2010-06-30,common-outstanding,,point-in-time,,common,479437027000000
2010-03-31,common-outstanding,,point-in-time,,common,478873651
2009-12-31,common-outstanding,,point-in-time,,common,478054407
2009-10-28,common-outstanding,,point-in-time,,common,477658465
2009-06-30,common-outstanding,,point-in-time,,common,476790811
2010-12-31,preferred,,point-in-time,,preferred,600641
2009-12-31,preferred,,point-in-time,,preferred,606627
2018-12-31,common-outstanding-basic,2018.0,period,TTM,common,492774600
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,492774600
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,493130998
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,493070165
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.25,common,492465864
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,492649456
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,493000000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,492178470
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,492479035
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,492700000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,491953491
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,492267402
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1,common,491814651
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,491814651
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,491915088
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,491829302
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.25,common,491764707
2017-09-30,common-outstanding-basic,2017.0,period,9M,common,491781643
2017-09-30,common-outstanding-basic,2017.0,period,Q3,common,491840722
2017-06-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,491753475
2017-06-30,common-outstanding-basic,2017.0,period,H1,common,491800000
2017-06-30,common-outstanding-basic,2017.0,period,Q2,common,491790752
2017-03-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,491646371
2017-03-31,common-outstanding-basic,2017.0,period,Q1,common,491712042
2016-12-31,common-outstanding-basic,2016.0,period,TTM-2,common,491495458
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,491495458
2016-12-31,common-outstanding-basic,2016.0,period,Q4,common,491713899
2016-12-31,common-outstanding-basic,2016.0,period,H2,common,491690916
2016-09-30,common-outstanding-basic,2016.0,period,TTM-2.25,common,491294114
2016-09-30,common-outstanding-basic,2016.0,period,9M,common,491422921
2016-09-30,common-outstanding-basic,2016.0,period,Q3,common,491700000
2016-06-30,common-outstanding-basic,2016.0,period,TTM-2.5,common,491039155
2016-06-30,common-outstanding-basic,2016.0,period,H1,common,491300000
2016-06-30,common-outstanding-basic,2016.0,period,Q2,common,491459541
2016-03-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,490718124
2016-03-31,common-outstanding-basic,2016.0,period,Q1,common,491108392
2015-12-31,common-outstanding-basic,2015.0,period,TTM-3,common,490340522
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,490340522
2015-12-31,common-outstanding-basic,2015.0,period,Q4,common,490907691
2015-12-31,common-outstanding-basic,2015.0,period,H2,common,490776627
