date,figure,fyear,measure,period,type,value
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,333200000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,351300000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,349300000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,355500000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,355400000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,340100000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,372500000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,415700000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,441100000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,475500000
