date,figure,fyear,measure,period,type,value
2018-09-30,common-outstanding,,point-in-time,,common,327400000
2018-06-30,common-outstanding,,point-in-time,,common,327400000
2018-03-31,common-outstanding,,point-in-time,,common,327100000
2018-01-31,common-outstanding,,point-in-time,,common,326800000
2017-12-31,common-outstanding,,point-in-time,,common,326800000
2017-09-30,common-outstanding,,point-in-time,,common,326100000
2017-06-30,common-outstanding,,point-in-time,,common,332100000
2017-03-31,common-outstanding,,point-in-time,,common,331700000
2016-12-31,common-outstanding,,point-in-time,,common,351700000
2016-09-30,common-outstanding,,point-in-time,,common,350900000
2016-06-30,common-outstanding,,point-in-time,,common,350800000
2016-03-31,common-outstanding,,point-in-time,,common,350600000
2015-12-31,common-outstanding,,point-in-time,,common,349500000
2015-09-30,common-outstanding,,point-in-time,,common,348700000
2015-06-30,common-outstanding,,point-in-time,,common,348600000
2015-03-31,common-outstanding,,point-in-time,,common,349200000
2014-12-31,common-outstanding,,point-in-time,,common,349800000
2014-09-30,common-outstanding,,point-in-time,,common,351700000
2014-06-30,common-outstanding,,point-in-time,,common,354600000
2014-03-31,common-outstanding,,point-in-time,,common,357400000
2013-12-31,common-outstanding,,point-in-time,,common,362200000
2013-09-30,common-outstanding,,point-in-time,,common,367500000
2013-06-30,common-outstanding,,point-in-time,,common,372100000
2013-03-31,common-outstanding,,point-in-time,,common,325900000
2012-12-31,common-outstanding,,point-in-time,,common,327600000
2012-09-30,common-outstanding,,point-in-time,,common,334500000
2012-06-30,common-outstanding,,point-in-time,,common,334200000
2012-03-31,common-outstanding,,point-in-time,,common,347400000
2011-12-31,common-outstanding,,point-in-time,,common,349700000
2011-09-30,common-outstanding,,point-in-time,,common,362300000
2011-06-30,common-outstanding,,point-in-time,,common,372900000
2011-03-31,common-outstanding,,point-in-time,,common,379500000
2011-01-01,common-outstanding,,point-in-time,,common,384500000
2010-12-31,common-outstanding,,point-in-time,,common,384400000
2010-09-30,common-outstanding,,point-in-time,,common,400100000
2010-06-30,common-outstanding,,point-in-time,,common,417400000
2010-03-31,common-outstanding,,point-in-time,,common,424900000
2009-12-31,common-outstanding,,point-in-time,,common,430800000
2009-09-30,common-outstanding,,point-in-time,,common,433500000
2009-06-30,common-outstanding,,point-in-time,,common,436500000
2008-12-31,common-outstanding,,point-in-time,,common,456300000
2018-09-30,common-outstanding-basic,2018.0,period,TTM,common,327550000
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,327800000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,327900000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.25,common,327975000
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,327700000
