date,figure,fyear,measure,period,type,value
2019-02-08,common-outstanding,,point-in-time,,common,332614474
2018-12-31,common-outstanding,,point-in-time,,common,332600000
2018-10-26,common-outstanding,,point-in-time,,common,337285952
2018-09-30,common-outstanding,,point-in-time,,common,337200000
2018-07-30,common-outstanding,,point-in-time,,common,339444422
2018-06-30,common-outstanding,,point-in-time,,common,339300000
2018-04-27,common-outstanding,,point-in-time,,common,339063627
2018-03-31,common-outstanding,,point-in-time,,common,339000000
2018-02-13,common-outstanding,,point-in-time,,common,330320420
2017-12-31,common-outstanding,,point-in-time,,common,330200000
2017-10-27,common-outstanding,,point-in-time,,common,332583097
2017-07-28,common-outstanding,,point-in-time,,common,334306189
2017-06-30,common-outstanding,,point-in-time,,common,332600000
2017-05-03,common-outstanding,,point-in-time,,common,335867027
2017-03-31,common-outstanding,,point-in-time,,common,335600000
2017-02-17,common-outstanding,,point-in-time,,common,335224713
2016-12-31,common-outstanding,,point-in-time,,common,334900000
2016-10-26,common-outstanding,,point-in-time,,common,375080162
2016-09-30,common-outstanding,,point-in-time,,common,383200000
2016-08-03,common-outstanding,,point-in-time,,common,395952199
2016-06-30,common-outstanding,,point-in-time,,common,395800000
2016-05-02,common-outstanding,,point-in-time,,common,395556908
2016-03-31,common-outstanding,,point-in-time,,common,395400000
2016-02-15,common-outstanding,,point-in-time,,common,394687384
2015-12-31,common-outstanding,,point-in-time,,common,394500000
2015-10-29,common-outstanding,,point-in-time,,common,394124530
2015-09-30,common-outstanding,,point-in-time,,common,394000000
2015-07-31,common-outstanding,,point-in-time,,common,393635637
2015-06-30,common-outstanding,,point-in-time,,common,393100000
2015-05-01,common-outstanding,,point-in-time,,common,392444638
2015-03-31,common-outstanding,,point-in-time,,common,392300000
2015-02-13,common-outstanding,,point-in-time,,common,266252295
2014-12-31,common-outstanding,,point-in-time,,common,265900000
2014-10-27,common-outstanding,,point-in-time,,common,265061115
2014-09-30,common-outstanding,,point-in-time,,common,264900000
2014-07-18,common-outstanding,,point-in-time,,common,264260713
2014-06-30,common-outstanding,,point-in-time,,common,174500000
2014-04-18,common-outstanding,,point-in-time,,common,174446635
2014-03-31,common-outstanding,,point-in-time,,common,174400000
2014-02-07,common-outstanding,,point-in-time,,common,174199744
2013-12-31,common-outstanding,,point-in-time,,common,174200000
2013-10-17,common-outstanding,,point-in-time,,common,174047953
2013-09-30,common-outstanding,,point-in-time,,common,7
2012-12-31,common-outstanding,,point-in-time,,common,127700000
2017-12-31,preferred,,point-in-time,,preferred,5100000
2017-06-30,preferred,,point-in-time,,preferred,5100000
2017-03-31,preferred,,point-in-time,,preferred,5100000
2016-12-31,preferred,,point-in-time,,preferred,5100000
2016-09-30,preferred,,point-in-time,,preferred,5100000
2016-06-30,preferred,,point-in-time,,preferred,5100000
2016-03-31,preferred,,point-in-time,,preferred,5100000
2015-12-31,preferred,,point-in-time,,preferred,5100000
2015-09-30,preferred,,point-in-time,,preferred,5100000
2015-06-30,preferred,,point-in-time,,preferred,5100000
2015-03-31,preferred,,point-in-time,,preferred,5100000
2018-12-31,common-outstanding-basic,2018.0,period,TTM,common,337000000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,337000000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,335300000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,337100000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.25,common,336050000
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,337600000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,339000000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,334675000
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,336900000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,339100000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-0.75,common,333675000
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,334600000
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1,common,333800000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,333800000
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,331400000
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,332400000
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.25,common,340075000
2017-09-30,common-outstanding-basic,2017.0,period,9M,common,334600000
2017-09-30,common-outstanding-basic,2017.0,period,Q3,common,333500000
2017-06-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,354900000
2017-06-30,common-outstanding-basic,2017.0,period,H1,common,335200000
2017-06-30,common-outstanding-basic,2017.0,period,Q2,common,335200000
2017-03-31,common-outstanding-basic,2017.0,period,TTM-1.75,common,369975000
2017-03-31,common-outstanding-basic,2017.0,period,Q1,common,335100000
2016-12-31,common-outstanding-basic,2016.0,period,TTM-2,common,384900000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,384900000
2016-12-31,common-outstanding-basic,2016.0,period,Q4,common,356500000
2016-12-31,common-outstanding-basic,2016.0,period,H2,common,374600000
2016-09-30,common-outstanding-basic,2016.0,period,TTM-2.25,common,394675000
2016-09-30,common-outstanding-basic,2016.0,period,9M,common,394400000
2016-09-30,common-outstanding-basic,2016.0,period,Q3,common,392700000
2016-06-30,common-outstanding-basic,2016.0,period,TTM-2.5,common,394875000
2016-06-30,common-outstanding-basic,2016.0,period,H1,common,395200000
2016-06-30,common-outstanding-basic,2016.0,period,Q2,common,395600000
2016-03-31,common-outstanding-basic,2016.0,period,TTM-2.75,common,394125000
2016-03-31,common-outstanding-basic,2016.0,period,Q1,common,394800000
2015-12-31,common-outstanding-basic,2015.0,period,TTM-3,common,367800000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,367800000
2015-12-31,common-outstanding-basic,2015.0,period,Q4,common,395500000
2015-12-31,common-outstanding-basic,2015.0,period,H2,common,394300000
2015-09-30,common-outstanding-basic,2015.0,period,TTM-3.25,common,335800000
2015-09-30,common-outstanding-basic,2015.0,period,9M,common,358900000
2015-09-30,common-outstanding-basic,2015.0,period,Q3,common,393600000
2015-06-30,common-outstanding-basic,2015.0,period,TTM-3.5,common,303350000
2015-06-30,common-outstanding-basic,2015.0,period,H1,common,341300000
2015-06-30,common-outstanding-basic,2015.0,period,Q2,common,392600000
2015-03-31,common-outstanding-basic,2015.0,period,TTM-3.75,common,248625000
2015-03-31,common-outstanding-basic,2015.0,period,Q1,common,289500000
2014-12-31,common-outstanding-basic,2014.0,period,TTM-4,common,219700000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,219700000
2014-12-31,common-outstanding-basic,2014.0,period,Q4,common,266500000
2014-12-31,common-outstanding-basic,2014.0,period,H2,common,265400000
2014-09-30,common-outstanding-basic,2014.0,period,TTM-4.25,common,196875000
2014-09-30,common-outstanding-basic,2014.0,period,9M,common,204400000
2014-09-30,common-outstanding-basic,2014.0,period,Q3,common,264300000
2014-06-30,common-outstanding-basic,2014.0,period,TTM-4.5,common,163700000
2014-06-30,common-outstanding-basic,2014.0,period,H1,common,174000000
2014-06-30,common-outstanding-basic,2014.0,period,Q2,common,174200000
2014-03-31,common-outstanding-basic,2014.0,period,TTM-4.75,common,153200000
2014-03-31,common-outstanding-basic,2014.0,period,Q1,common,173800000
2013-12-31,common-outstanding-basic,2013.0,period,TTM-5,common,142300000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,142300000
