date,figure,fyear,measure,period,type,value
2019-05-02,common-outstanding,,point-in-time,,common,869753584
2019-03-31,common-outstanding,,point-in-time,,common,869736901
2019-02-06,common-outstanding,,point-in-time,,common,869486334
2018-12-31,common-outstanding,,point-in-time,,common,866609429
2018-10-29,common-outstanding,,point-in-time,,common,884648470
2018-09-30,common-outstanding,,point-in-time,,common,884647527
2018-07-30,common-outstanding,,point-in-time,,common,888446269
2018-06-30,common-outstanding,,point-in-time,,common,891214033
2018-04-30,common-outstanding,,point-in-time,,common,897683367
2018-03-31,common-outstanding,,point-in-time,,common,897681508
2018-02-07,common-outstanding,,point-in-time,,common,902468889
2017-12-31,common-outstanding,,point-in-time,,common,899044657
2017-10-30,common-outstanding,,point-in-time,,common,898959371
2017-09-30,common-outstanding,,point-in-time,,common,898880087
2017-07-31,common-outstanding,,point-in-time,,common,903405681
2017-06-30,common-outstanding,,point-in-time,,common,903392620
2017-05-01,common-outstanding,,point-in-time,,common,925772114
2017-03-31,common-outstanding,,point-in-time,,common,942480026
2017-02-13,common-outstanding,,point-in-time,,common,979560020
2016-12-31,common-outstanding,,point-in-time,,common,995335841
2016-11-02,common-outstanding,,point-in-time,,common,1027135119
2016-09-30,common-outstanding,,point-in-time,,common,1042888556
2016-07-29,common-outstanding,,point-in-time,,common,1070659944
2016-06-30,common-outstanding,,point-in-time,,common,1082689362
2016-04-27,common-outstanding,,point-in-time,,common,1119032377
2016-03-31,common-outstanding,,point-in-time,,common,1130738359
2016-02-11,common-outstanding,,point-in-time,,common,1149448256
2015-12-31,common-outstanding,,point-in-time,,common,1193916617
2015-10-29,common-outstanding,,point-in-time,,common,1237012512
2015-07-29,common-outstanding,,point-in-time,,common,1293886920
2015-04-29,common-outstanding,,point-in-time,,common,1333395436
2015-02-12,common-outstanding,,point-in-time,,common,1372435893
2014-12-31,common-outstanding,,point-in-time,,common,1375926971
2014-10-29,common-outstanding,,point-in-time,,common,1399912329
2014-07-30,common-outstanding,,point-in-time,,common,1426883895
2014-04-29,common-outstanding,,point-in-time,,common,1446648914
2014-02-14,common-outstanding,,point-in-time,,common,1464067641
2013-12-31,common-outstanding,,point-in-time,,common,1464063323
2013-10-25,common-outstanding,,point-in-time,,common,1472346407
2013-07-31,common-outstanding,,point-in-time,,common,1476350909
2013-04-25,common-outstanding,,point-in-time,,common,1476345165
2013-02-15,common-outstanding,,point-in-time,,common,1476322473
2012-12-31,common-outstanding,,point-in-time,,common,1476321935
2012-10-26,common-outstanding,,point-in-time,,common,1476304497
2012-07-31,common-outstanding,,point-in-time,,common,1728479651
2012-04-30,common-outstanding,,point-in-time,,common,1794014435
2012-01-31,common-outstanding,,point-in-time,,common,1896865688
2011-10-31,common-outstanding,,point-in-time,,common,1899224304
2011-07-29,common-outstanding,,point-in-time,,common,1897972600
2011-04-29,common-outstanding,,point-in-time,,common,1796747575
2011-01-31,common-outstanding,,point-in-time,,common,1795503716
2010-10-29,common-outstanding,,point-in-time,,common,135143176
2010-07-30,common-outstanding,,point-in-time,,common,135126343
2010-04-30,common-outstanding,,point-in-time,,common,135070621
2010-01-29,common-outstanding,,point-in-time,,common,134926293
2009-10-30,common-outstanding,,point-in-time,,common,134607379
2009-07-31,common-outstanding,,point-in-time,,common,134575809
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,890263409
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,875383084
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,898405537
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,898405537
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,887217704
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,891244341
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,903323610
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,902081555
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,895237359
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,906712571
