date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,155866000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,156323000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,156001000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,155177000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,145639000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,145291000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,134479000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,119312000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,116369000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,114301000
