date,figure,fyear,measure,period,type,value
2019-02-15,common-outstanding,,point-in-time,,common,148766616
2018-12-31,common-outstanding,,point-in-time,,common,149133826
2018-11-01,common-outstanding,,point-in-time,,common,155644246
2018-09-30,common-outstanding,,point-in-time,,common,157352109
2018-08-03,common-outstanding,,point-in-time,,common,157351428
2018-06-30,common-outstanding,,point-in-time,,common,157351428
2018-05-07,common-outstanding,,point-in-time,,common,157350160
2018-03-31,common-outstanding,,point-in-time,,common,157326117
2018-02-27,common-outstanding,,point-in-time,,common,157330262
2017-12-31,common-outstanding,,point-in-time,,common,157189447
2017-10-31,common-outstanding,,point-in-time,,common,157023314
2017-09-30,common-outstanding,,point-in-time,,common,157023314
2017-08-01,common-outstanding,,point-in-time,,common,157022720
2017-06-30,common-outstanding,,point-in-time,,common,157022720
2017-05-03,common-outstanding,,point-in-time,,common,157022248
2017-03-31,common-outstanding,,point-in-time,,common,157022248
2016-12-31,common-outstanding,,point-in-time,,common,156888381
2016-10-27,common-outstanding,,point-in-time,,common,156887997
2016-09-30,common-outstanding,,point-in-time,,common,156887997
2016-07-28,common-outstanding,,point-in-time,,common,156613451
2016-06-30,common-outstanding,,point-in-time,,common,156613451
2016-04-28,common-outstanding,,point-in-time,,common,156605152
2016-03-31,common-outstanding,,point-in-time,,common,156605152
2015-12-31,common-outstanding,,point-in-time,,common,156326416
2015-09-30,common-outstanding,,point-in-time,,common,156421276
2015-07-30,common-outstanding,,point-in-time,,common,156281519
2015-06-30,common-outstanding,,point-in-time,,common,156281519
2015-04-30,common-outstanding,,point-in-time,,common,156278378
2015-03-31,common-outstanding,,point-in-time,,common,156278378
2014-12-31,common-outstanding,,point-in-time,,common,146403274
2014-10-30,common-outstanding,,point-in-time,,common,146205371
2014-09-30,common-outstanding,,point-in-time,,common,146205371
2014-07-31,common-outstanding,,point-in-time,,common,146188496
2014-06-30,common-outstanding,,point-in-time,,common,146188496
2014-05-01,common-outstanding,,point-in-time,,common,146099689
2014-03-31,common-outstanding,,point-in-time,,common,146099689
2013-12-31,common-outstanding,,point-in-time,,common,145917387
2013-10-31,common-outstanding,,point-in-time,,common,145916439
2013-09-30,common-outstanding,,point-in-time,,common,145916439
2013-08-01,common-outstanding,,point-in-time,,common,145906799
2013-06-30,common-outstanding,,point-in-time,,common,145906799
2013-05-02,common-outstanding,,point-in-time,,common,145906270
2013-03-31,common-outstanding,,point-in-time,,common,145897813
2012-12-31,common-outstanding,,point-in-time,,common,145563903
2012-10-31,common-outstanding,,point-in-time,,common,145544888
2012-09-30,common-outstanding,,point-in-time,,common,145554888
2012-08-01,common-outstanding,,point-in-time,,common,145544200
2012-06-30,common-outstanding,,point-in-time,,common,144194200
2012-05-02,common-outstanding,,point-in-time,,common,121351694
2012-03-31,common-outstanding,,point-in-time,,common,121351204
2011-12-31,common-outstanding,,point-in-time,,common,120916294
2011-10-26,common-outstanding,,point-in-time,,common,120916144
2011-09-30,common-outstanding,,point-in-time,,common,120916144
2011-07-27,common-outstanding,,point-in-time,,common,120802584
2011-06-30,common-outstanding,,point-in-time,,common,120477521
2011-04-27,common-outstanding,,point-in-time,,common,95608364
2011-03-31,common-outstanding,,point-in-time,,common,95308364
2010-12-31,common-outstanding,,point-in-time,,common,117642872
2010-10-28,common-outstanding,,point-in-time,,common,93626974
2010-09-30,common-outstanding,,point-in-time,,common,93626974
2010-07-28,common-outstanding,,point-in-time,,common,93631428
