date,figure,fyear,measure,period,type,value
2019-05-06,common-outstanding,,point-in-time,,common,164096899
2019-03-31,common-outstanding,,point-in-time,,common,163503258
2019-02-21,common-outstanding,,point-in-time,,common,163212497
2018-12-31,common-outstanding,,point-in-time,,common,162904550
2018-11-05,common-outstanding,,point-in-time,,common,162866026
2018-09-30,common-outstanding,,point-in-time,,common,163886719
2018-08-06,common-outstanding,,point-in-time,,common,169504628
2018-06-30,common-outstanding,,point-in-time,,common,169311093
2018-05-07,common-outstanding,,point-in-time,,common,170630343
2018-03-31,common-outstanding,,point-in-time,,common,170841758
2018-02-22,common-outstanding,,point-in-time,,common,170031585
2017-12-31,common-outstanding,,point-in-time,,common,169893324
2017-09-30,common-outstanding,,point-in-time,,common,169726509
2017-06-30,common-outstanding,,point-in-time,,common,172027173
2017-05-04,common-outstanding,,point-in-time,,common,172873380
2017-03-31,common-outstanding,,point-in-time,,common,173189385
2016-12-31,common-outstanding,,point-in-time,,common,173254797
2016-09-30,common-outstanding,,point-in-time,,common,173670583
2016-06-30,common-outstanding,,point-in-time,,common,175110207
2016-03-31,common-outstanding,,point-in-time,,common,176050217
2015-12-31,common-outstanding,,point-in-time,,common,177212181
2015-09-30,common-outstanding,,point-in-time,,common,178233604
2015-06-30,common-outstanding,,point-in-time,,common,178789941
2015-03-31,common-outstanding,,point-in-time,,common,178684242
2014-12-31,common-outstanding,,point-in-time,,common,178300603
2014-09-30,common-outstanding,,point-in-time,,common,178194979
2014-06-30,common-outstanding,,point-in-time,,common,178270354
2014-03-31,common-outstanding,,point-in-time,,common,178517946
2013-12-31,common-outstanding,,point-in-time,,common,178580696
2013-09-30,common-outstanding,,point-in-time,,common,178707441
2013-06-30,common-outstanding,,point-in-time,,common,178115006
2013-03-31,common-outstanding,,point-in-time,,common,177840407
2012-12-31,common-outstanding,,point-in-time,,common,177782814
2012-09-30,common-outstanding,,point-in-time,,common,177331901
2012-06-30,common-outstanding,,point-in-time,,common,177871256
2012-05-04,common-outstanding,,point-in-time,,common,179185575
2012-03-31,common-outstanding,,point-in-time,,common,195561243
2011-12-31,common-outstanding,,point-in-time,,common,177504624
2011-09-30,common-outstanding,,point-in-time,,common,179519564
2011-06-30,common-outstanding,,point-in-time,,common,185981780
2011-03-31,common-outstanding,,point-in-time,,common,186932838
2010-12-31,common-outstanding,,point-in-time,,common,186603380
2010-09-30,common-outstanding,,point-in-time,,common,182448439
2010-06-30,common-outstanding,,point-in-time,,common,181627935
2009-12-31,common-outstanding,,point-in-time,,common,171248356
2009-09-30,common-outstanding,,point-in-time,,common,171222534
2009-06-30,common-outstanding,,point-in-time,,common,172802114
2008-12-31,common-outstanding,,point-in-time,,common,169371675
2019-03-31,common-outstanding-basic,2019.0,period,TTM,common,165592000
2019-03-31,common-outstanding-basic,2019.0,period,Q1,common,163236000
2018-12-31,common-outstanding-basic,2018.0,period,TTM-0.25,common,167312000
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,167312000
2018-12-31,common-outstanding-basic,2018.0,period,Q4,common,162958000
2018-12-31,common-outstanding-basic,2018.0,period,H2,common,164441000
2018-09-30,common-outstanding-basic,2018.0,period,TTM-0.5,common,168929250
2018-09-30,common-outstanding-basic,2018.0,period,9M,common,168763000
2018-09-30,common-outstanding-basic,2018.0,period,Q3,common,165924000
2018-06-30,common-outstanding-basic,2018.0,period,TTM-0.75,common,170192500
2018-06-30,common-outstanding-basic,2018.0,period,H1,common,170183000
2018-06-30,common-outstanding-basic,2018.0,period,Q2,common,170250000
2018-03-31,common-outstanding-basic,2018.0,period,TTM-1,common,170798500
2018-03-31,common-outstanding-basic,2018.0,period,Q1,common,170116000
2017-12-31,common-outstanding-basic,2017.0,period,TTM-1.25,common,171559000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,171559000
2017-12-31,common-outstanding-basic,2017.0,period,Q4,common,169428000
2017-12-31,common-outstanding-basic,2017.0,period,H2,common,170202000
2017-09-30,common-outstanding-basic,2017.0,period,TTM-1.5,common,172536000
