,Line Item,FY-2013,FY-2014,FY-2015,FY-2016,FY-2017,FY-2018
0,Total Investments,356428000000,355766000000,338354000000,328175000000,322292000000,314209000000
1,Fixed Income-Trading/AFS & Short Term Inv.,,,,,,
2,Loans & Mortgages,,,,,,
3,Fixed Income Securities-HTM,,,,,,
4,Equity Securities,,,,,,
5,Real Estate Investments,,,,,,
6,Other Investments,,,,,,
7,Cash & Cash Equivalents,2241000000,1758000000,1629000000,1868000000,2362000000,2873000000
8,Accounts & Notes Receivable,12939000000,12031000000,11451000000,10465000000,10248000000,11011000000
9,Net Fixed Assets,,,,,,
10,Deferred Policy Acquisition Costs,9436000000,9827000000,11115000000,11042000000,10994000000,12694000000
11,Other Assets,160285000000,136199000000,134293000000,146714000000,152405000000,151197000000
12,Total Assets,541329000000,515581000000,496842000000,498264000000,498301000000,491984000000
13,Insurance Reserves,271252000000,270615000000,271645000000,275120000000,282105000000,293652000000
14,Reserve for Outstanding Claims & Losses,,,,,,
15,Premium Reserve (Unearned),,,,,,
16,Life Policy Benefits,,,,,,
17,Other Insurance Reserves,,,,,,
18,Short Term Debt,,,,,,
19,Other Short Term Liabilities,27059000000,,,6106000000,0,
20,Long Term Debt,41693000000,31217000000,29249000000,30912000000,31640000000,34540000000
21,Pension Liabilities,,,,,,
22,Pensions,,,,,,
23,Other Post-Retirement Benefits,,,,,,
24,Other Long Term Liabilities,100214000000,106477000000,105738000000,109268000000,118848000000,106483000000
25,Funds for Future Appropriations,,,,,,
26,Total Liabilities,440218000000,408309000000,406632000000,421406000000,432593000000,434675000000
27,Preferred Equity,,,,,,0
28,Policyholders' Equity,,,,,,
29,Share Capital & Additional Paid-In Capital,85665000000,85724000000,86276000000,85830000000,85844000000,86034000000
30,Common Stock,,,,,,
31,Additional Paid in Capital,,,,,,
32,Other Share Capital,,,,,,
33,Treasury Stock,-14520000000,-19218000000,-30098000000,-41471000000,-47595000000,-49144000000
34,Retained Earnings,22965000000,29775000000,30943000000,28711000000,21457000000,20884000000
35,Other Equity,6360000000,10617000000,2537000000,3230000000,5465000000,-1413000000
36,Equity Before Minority Interest,100470000000,106898000000,89658000000,76300000000,65171000000,56361000000
37,Minority Interest,641000000,374000000,552000000,558000000,537000000,948000000
38,Total Equity,101111000000,107272000000,90210000000,76858000000,65708000000,57309000000
39,Total Liabilities & Equity,541329000000,515581000000,496842000000,498264000000,498301000000,491984000000
