date,closeAdj
2019-11-08,260.14
2019-11-07,259.43
2019-11-06,256.47
2019-11-05,256.36
2019-11-04,256.73
2019-11-01,255.05
2019-10-31,248.02
2019-10-30,242.53
2019-10-29,242.56
2019-10-28,248.3
2019-10-25,245.84
2019-10-24,242.85
2019-10-23,242.45
2019-10-22,239.24
2019-10-21,239.79
2019-10-18,235.7
2019-10-17,234.58
2019-10-16,233.67
2019-10-15,234.62
2019-10-14,235.16
2019-10-11,235.5
2019-10-10,229.4
2019-10-09,226.35
2019-10-08,223.73
2019-10-07,226.38
2019-10-04,226.33
2019-10-03,220.16
2019-10-02,218.3
2019-10-01,223.92
2019-09-30,223.3
2019-09-27,218.17
2019-09-26,219.23
2019-09-25,220.37
2019-09-24,217.03
2019-09-23,218.07
2019-09-20,217.08
2019-09-19,220.3
2019-09-18,222.1
2019-09-17,220.04
2019-09-16,219.24
2019-09-13,218.1
2019-09-12,222.42
2019-09-11,222.92
2019-09-10,216.05
2019-09-09,213.53
2019-09-06,212.62
2019-09-05,212.64
2019-09-04,208.56
2019-09-03,205.08
2019-08-30,208.12
2019-08-29,208.38
2019-08-28,204.91
2019-08-27,203.55
2019-08-26,205.87
2019-08-23,202.03
2019-08-22,211.82
2019-08-21,212.0
2019-08-20,209.73
2019-08-19,209.72
2019-08-16,205.88
2019-08-15,201.14
2019-08-14,202.14
2019-08-13,208.34
2019-08-12,199.88
2019-08-09,200.39
2019-08-08,202.05
2019-08-07,197.69
2019-08-06,195.67
2019-08-05,192.03
2019-08-02,202.64
2019-08-01,207.02
2019-07-31,211.6
2019-07-30,207.37
2019-07-29,208.26
2019-07-26,206.33
2019-07-25,205.62
2019-07-24,207.26
2019-07-23,207.43
2019-07-22,205.82
2019-07-19,201.22
2019-07-18,204.27
2019-07-17,201.97
2019-07-16,203.12
2019-07-15,203.82
2019-07-12,201.92
2019-07-11,200.38
2019-07-10,201.85
2019-07-09,199.88
2019-07-08,198.67
2019-07-05,202.85
2019-07-03,203.03
2019-07-02,201.36
2019-07-01,200.19
2019-06-28,196.58
2019-06-27,198.39
2019-06-26,198.45
2019-06-25,194.25
2019-06-24,197.24
2019-06-21,197.43
2019-06-20,198.11
2019-06-19,196.53
2019-06-18,197.11
2019-06-17,192.58
2019-06-14,191.44
2019-06-13,192.84
2019-06-12,192.88
2019-06-11,193.49
2019-06-10,191.28
2019-06-07,188.86
2019-06-06,183.97
2019-06-05,181.3
2019-06-04,178.42
2019-06-03,172.13
2019-05-31,173.89
2019-05-30,177.09
2019-05-29,176.18
2019-05-28,177.02
2019-05-24,177.76
2019-05-23,178.44
2019-05-22,181.54
2019-05-21,185.34
2019-05-20,181.85
2019-05-17,187.72
2019-05-16,188.79
2019-05-15,189.63
2019-05-14,187.38
2019-05-13,184.46
2019-05-10,195.85
2019-05-09,198.6
2019-05-08,200.75
2019-05-07,200.71
2019-05-06,206.27
2019-05-03,209.51
2019-05-02,206.94
2019-05-01,208.29
2019-04-30,198.55
2019-04-29,202.45
2019-04-26,202.14
2019-04-25,203.11
2019-04-24,204.97
2019-04-23,205.29
2019-04-22,202.37
2019-04-18,201.7
2019-04-17,200.98
2019-04-16,197.14
2019-04-15,197.12
2019-04-12,196.77
2019-04-11,196.85
2019-04-10,198.5
2019-04-09,197.39
2019-04-08,197.98
2019-04-05,194.92
2019-04-04,193.62
2019-04-03,193.28
2019-04-02,191.97
2019-04-01,189.22
2019-03-29,187.94
2019-03-28,186.72
2019-03-27,186.48
2019-03-26,184.81
2019-03-25,186.74
2019-03-22,189.03
2019-03-21,193.03
2019-03-20,186.17
2019-03-19,184.56
2019-03-18,186.03
2019-03-15,184.15
2019-03-14,181.79
2019-03-13,179.79
2019-03-12,179.0
2019-03-11,177.01
2019-03-08,171.08
2019-03-07,170.68
2019-03-06,172.67
2019-03-05,173.67
2019-03-04,173.99
2019-03-01,173.12
2019-02-28,171.32
2019-02-27,173.02
2019-02-26,172.49
2019-02-25,172.39
2019-02-22,171.14
2019-02-21,169.25
2019-02-20,170.21
2019-02-19,169.12
2019-02-15,168.62
2019-02-14,168.99
2019-02-13,168.38
2019-02-12,169.08
2019-02-11,167.64
2019-02-08,168.61
2019-02-07,168.41
2019-02-06,171.66
2019-02-05,171.6
2019-02-04,168.72
2019-02-01,164.06
2019-01-31,163.98
2019-01-30,162.8
2019-01-29,152.39
2019-01-28,153.99
2019-01-25,155.42
2019-01-24,150.44
2019-01-23,151.64
2019-01-22,151.03
2019-01-18,154.5
2019-01-17,153.55
2019-01-16,152.65
2019-01-15,150.8
2019-01-14,147.78
2019-01-11,150.04
2019-01-10,151.52
2019-01-09,151.04
2019-01-08,148.52
2019-01-07,145.74
2019-01-04,146.07
2019-01-03,140.09
2019-01-02,155.58
2018-12-31,155.41
2018-12-28,153.92
2018-12-27,153.84
2018-12-26,154.84
2018-12-24,144.66
2018-12-21,148.5
2018-12-20,154.51
2018-12-19,158.51
