date,closeAdj
11/8/2019,83.74
11/7/2019,83.39
11/6/2019,83.12
11/5/2019,82.34
11/4/2019,82.22
11/1/2019,82.66
10/31/2019,83.61
10/30/2019,84.01
10/29/2019,83.45
10/28/2019,82.66
10/25/2019,81.65
10/24/2019,81.36
10/23/2019,81.27
10/22/2019,80.54
10/21/2019,81.65
10/18/2019,82.79
10/17/2019,82.38
10/16/2019,81.78
10/15/2019,81.98
10/14/2019,79.82
10/11/2019,79.63
10/10/2019,79.82
10/9/2019,79.18
10/8/2019,78.2
10/7/2019,80.72
10/4/2019,81.66
10/3/2019,80.75
10/2/2019,79.21
10/1/2019,81.51
9/30/2019,83.34
9/27/2019,81.51
9/26/2019,82.33
9/25/2019,82.53
9/24/2019,82.11
9/23/2019,82.83
9/20/2019,83.25
9/19/2019,82.9
9/18/2019,83.31
9/17/2019,83.25
9/16/2019,83.03
9/13/2019,83.93
9/12/2019,84.87
9/11/2019,84.18
9/10/2019,82.88
9/9/2019,83.88
9/6/2019,85.7
9/5/2019,85.56
9/4/2019,83.88
9/3/2019,83.72
8/30/2019,84.98
8/29/2019,84.48
8/28/2019,83.88
8/27/2019,83.32
8/26/2019,82.79
8/23/2019,81.6
8/22/2019,84.03
8/21/2019,84.56
8/20/2019,84.2
8/19/2019,85.22
8/16/2019,84.44
8/15/2019,83.6
8/14/2019,83.6
8/13/2019,86.54
8/12/2019,84.32
8/9/2019,86.27
8/8/2019,85.22
8/7/2019,84.26
8/6/2019,84.52
8/5/2019,82.83
8/2/2019,85.48
8/1/2019,85.74
7/31/2019,86.75
7/30/2019,87.96
7/29/2019,88.2
7/26/2019,87.4
7/25/2019,87.65
7/24/2019,88.24
7/23/2019,88.39
7/22/2019,87.72
7/19/2019,87.14
7/18/2019,87.41
7/17/2019,85.42
7/16/2019,82.83
7/15/2019,83.48
7/12/2019,83.58
7/11/2019,85.11
7/10/2019,84.72
7/9/2019,84.61
7/8/2019,84.43
7/5/2019,84.76
7/3/2019,84.98
7/2/2019,84.3
7/1/2019,83.84
6/28/2019,83.45
6/27/2019,83.04
6/26/2019,82.32
6/25/2019,83.59
6/24/2019,84.06
6/21/2019,84.34
6/20/2019,84.29
6/19/2019,83.68
6/18/2019,82.78
6/17/2019,81.42
6/14/2019,81.59
6/13/2019,81.66
6/12/2019,81.32
6/11/2019,80.49
6/10/2019,80.64
6/7/2019,80.12
6/6/2019,79.47
6/5/2019,78.08
6/4/2019,76.86
6/3/2019,75.13
5/31/2019,75.54
5/30/2019,75.93
5/29/2019,75.09
5/28/2019,75.13
5/24/2019,76.39
5/23/2019,75.05
5/22/2019,75.67
5/21/2019,75.44
5/20/2019,75.19
5/17/2019,75.38
5/16/2019,76.01
5/15/2019,75.92
5/14/2019,75.44
5/13/2019,74.92
5/10/2019,75.86
5/9/2019,75.83
5/8/2019,75.63
5/7/2019,76.32
5/6/2019,78.46
5/3/2019,78.08
5/2/2019,78.17
5/1/2019,78.13
4/30/2019,78.95
4/29/2019,77.67
4/26/2019,77.95
4/25/2019,77.51
4/24/2019,76.16
4/23/2019,75.51
4/22/2019,73.94
4/18/2019,73.35
4/17/2019,72.32
4/16/2019,75.79
4/15/2019,76.9
4/12/2019,77.41
4/11/2019,77.59
4/10/2019,78.04
4/9/2019,77.75
4/8/2019,77.6
4/5/2019,78.07
4/4/2019,77.7
4/3/2019,78.57
4/2/2019,78.68
4/1/2019,78.72
3/29/2019,79
3/28/2019,78.51
3/27/2019,77.8
3/26/2019,78.07
3/25/2019,77.31
3/22/2019,77.05
3/21/2019,79.12
3/20/2019,79
3/19/2019,79.02
3/18/2019,77.9
3/15/2019,78.92
3/14/2019,78.05
3/13/2019,77.7
3/12/2019,77.32
3/11/2019,76.9
3/8/2019,75.73
3/7/2019,75.9
3/6/2019,76.79
3/5/2019,77.3
3/4/2019,77.7
3/1/2019,77.67
2/28/2019,76.71
2/27/2019,76.32
2/26/2019,75.85
2/25/2019,75.96
2/22/2019,75.24
2/21/2019,74.26
2/20/2019,74.65
2/19/2019,74.12
2/15/2019,74.37
2/14/2019,73.1
2/13/2019,73.51
2/12/2019,74.18
2/11/2019,72.68
2/8/2019,72.47
2/7/2019,71.89
2/6/2019,72.63
2/5/2019,72.25
2/4/2019,71.65
2/1/2019,71.51
1/31/2019,72.12
1/30/2019,70.84
1/29/2019,68.87
1/28/2019,68.24
1/25/2019,70.31
1/24/2019,70.03
1/23/2019,69.09
1/22/2019,70.65
1/18/2019,70.58
1/17/2019,69.69
1/16/2019,69
1/15/2019,69.64
1/14/2019,67.47
1/11/2019,68.2
1/10/2019,67.95
1/9/2019,68.31
1/8/2019,67.19
1/7/2019,68
1/4/2019,67
1/3/2019,65.14
1/2/2019,68.37
12/31/2018,71.15
12/28/2018,69.93
12/27/2018,69.48
12/26/2018,68.48
12/24/2018,64.49
12/21/2018,66.17
12/20/2018,67.26
12/19/2018,67.87
12/18/2018,68.94
12/17/2018,68.61
12/14/2018,69.61
12/13/2018,71
12/12/2018,71.35
12/11/2018,70.67
12/10/2018,69.76
12/7/2018,68.81
12/6/2018,70.37
12/4/2018,70.33
12/3/2018,73.06
11/30/2018,72.84
11/29/2018,72.06
11/28/2018,71.64
11/27/2018,68.57
11/26/2018,67.69
11/23/2018,67
11/21/2018,67.41
11/20/2018,67.93
11/19/2018,69.39
11/16/2018,70.86
11/15/2018,69.58
11/14/2018,68.28
11/13/2018,68.36
11/12/2018,69.41
11/9/2018,71.6
11/8/2018,71.77
11/7/2018,71.32
11/6/2018,69.8
11/5/2018,69.24
11/2/2018,69.04
11/1/2018,69.01
10/31/2018,67.82
10/30/2018,66.89
10/29/2018,66.21
10/26/2018,65.9
10/25/2018,66.57
10/24/2018,65.85
10/23/2018,67.45
10/22/2018,67.4
10/19/2018,66.49
10/18/2018,67.03
10/17/2018,69.08
10/16/2018,69.79
10/15/2018,67.58
10/12/2018,68.2
10/11/2018,66.99
10/10/2018,67.52
10/9/2018,69.84
10/8/2018,69.99
10/5/2018,70.12
10/4/2018,70.36
10/3/2018,70.57
10/2/2018,72.31
10/1/2018,72.61
9/28/2018,71.87
9/27/2018,71.53
9/26/2018,71.36
9/25/2018,70.73
9/24/2018,69.99
9/21/2018,67.65
9/20/2018,67.39
9/19/2018,67.11
9/18/2018,67.02
9/17/2018,66.29
9/14/2018,67.03
9/13/2018,67.11
9/12/2018,65.61
9/11/2018,65.25
9/10/2018,65.2
9/7/2018,64.86
9/6/2018,64.49
9/5/2018,64.66
9/4/2018,65.74
8/31/2018,65.48
8/30/2018,65.66
8/29/2018,65.76
8/28/2018,65.43
8/27/2018,65.48
8/24/2018,64.76
8/23/2018,64.49
8/22/2018,64.33
8/21/2018,63.43
8/20/2018,63.33
8/17/2018,63.4
8/16/2018,62.85
8/15/2018,62.18
8/14/2018,62.34
8/13/2018,62.14
8/10/2018,62.73
8/9/2018,63.33
8/8/2018,63.52
8/7/2018,63.42
8/6/2018,63.91
8/3/2018,63.9
8/2/2018,63.27
8/1/2018,63.46
7/31/2018,64.21
7/30/2018,63.84
7/27/2018,63.93
7/26/2018,64.32
7/25/2018,63.9
7/24/2018,63.09
7/23/2018,61.91
7/20/2018,62.03
7/19/2018,62.48
7/18/2018,63.43
7/17/2018,61.52
7/16/2018,60.52
7/13/2018,61.78
7/12/2018,61.46
7/11/2018,61.02
7/10/2018,61.26
7/9/2018,60.9
7/6/2018,60.62
7/5/2018,59.81
7/3/2018,59.31
7/2/2018,59.49
6/29/2018,59.48
6/28/2018,59.76
6/27/2018,58.99
6/26/2018,59.31
6/25/2018,59.27
6/22/2018,60.41
6/21/2018,60.22
6/20/2018,60.6
6/19/2018,60.8
6/18/2018,61.27
6/15/2018,61.35
6/14/2018,61.4
6/13/2018,61.08
6/12/2018,61.36
6/11/2018,61.57
6/8/2018,61.71
6/7/2018,61.62
6/6/2018,61.97
6/5/2018,61.47
6/4/2018,61.46
6/1/2018,60.87
5/31/2018,60.01
5/30/2018,60.54
5/29/2018,59.78
5/25/2018,60.83
5/24/2018,60.96
5/23/2018,60.31
5/22/2018,59.87
5/21/2018,60.57
5/18/2018,60.18
5/17/2018,59.55
5/16/2018,59.27
5/15/2018,59.04
5/14/2018,60.49
5/11/2018,59.75
5/10/2018,59.06
5/9/2018,57.93
5/8/2018,57.26
5/7/2018,57.85
5/4/2018,57.29
5/3/2018,56.5
5/2/2018,56.42
5/1/2018,57.37
4/30/2018,56.69
4/27/2018,58.09
4/26/2018,58.03
4/25/2018,57.2
4/24/2018,56.87
4/23/2018,57.39
4/20/2018,57.73
4/19/2018,58.4
4/18/2018,58.05
4/17/2018,58.32
4/16/2018,57.8
4/13/2018,57.04
4/12/2018,57.38
4/11/2018,56.73
4/10/2018,57.4
4/9/2018,56.51
4/6/2018,55.88
4/5/2018,58.1
4/4/2018,57.71
4/3/2018,57.27
4/2/2018,56.5
3/29/2018,58.16
3/28/2018,57.49
3/27/2018,58.51
3/26/2018,59.27
