date,closeAdj
11/8/2019,189.7
11/7/2019,189.09
11/6/2019,189.23
11/5/2019,186.88
11/4/2019,187.8
11/1/2019,188.22
10/31/2019,185.42
10/30/2019,186.58
10/29/2019,184.8
10/28/2019,182.87
10/25/2019,183.07
10/24/2019,185
10/23/2019,184.07
10/22/2019,182.72
10/21/2019,187.34
10/18/2019,187.08
10/17/2019,186.04
10/16/2019,186.57
10/15/2019,186.2
10/14/2019,184.71
10/11/2019,184.18
10/10/2019,183.04
10/9/2019,183.55
10/8/2019,181.42
10/7/2019,186.01
10/4/2019,188.83
10/3/2019,185.02
10/2/2019,184.06
10/1/2019,188.81
9/30/2019,191.53
9/27/2019,190.56
9/26/2019,191.3
9/25/2019,190.05
9/24/2019,189.33
9/23/2019,192.02
9/20/2019,192.26
9/19/2019,193.84
9/18/2019,193.3
9/17/2019,194.12
9/16/2019,193.33
9/13/2019,193.79
9/12/2019,194.68
9/11/2019,190.55
9/10/2019,188.85
9/9/2019,194
9/6/2019,200.26
9/5/2019,198.64
9/4/2019,196.86
9/3/2019,194.91
8/30/2019,197.32
8/29/2019,197.89
8/28/2019,196
8/27/2019,196.32
8/26/2019,194.63
8/23/2019,191.99
8/22/2019,195.5
8/21/2019,194.89
8/20/2019,193.37
8/19/2019,194.35
8/16/2019,192.39
8/15/2019,188.75
8/14/2019,186.17
8/13/2019,192.05
8/12/2019,189.19
8/9/2019,190.66
8/8/2019,193.35
8/7/2019,188.06
8/6/2019,188
8/5/2019,184.76
8/2/2019,192.18
8/1/2019,193.33
7/31/2019,191.76
7/30/2019,194.81
7/29/2019,196.51
7/26/2019,196.09
7/25/2019,194.14
7/24/2019,193.64
7/23/2019,193.63
7/22/2019,193.61
7/19/2019,193.1
7/18/2019,193.99
7/17/2019,192.98
7/16/2019,193.42
7/15/2019,194.48
7/12/2019,195.37
7/11/2019,193.84
7/10/2019,190.89
7/9/2019,190.27
7/8/2019,189.5
7/5/2019,190.57
7/3/2019,190.15
7/2/2019,187.79
7/1/2019,186.07
6/28/2019,183.98
6/27/2019,182.22
6/26/2019,182.53
6/25/2019,184.11
6/24/2019,185.31
6/21/2019,184.77
6/20/2019,185.72
6/19/2019,183.16
6/18/2019,183.71
6/17/2019,183.11
6/14/2019,184.18
6/13/2019,184.16
6/12/2019,183.8
6/11/2019,182.59
6/10/2019,183.65
6/7/2019,182.14
6/6/2019,179.63
6/5/2019,178.79
6/4/2019,177.21
6/3/2019,174.41
5/31/2019,177.31
5/30/2019,178.06
5/29/2019,176.85
5/28/2019,177.63
5/24/2019,178.05
5/23/2019,177.51
5/22/2019,179.62
5/21/2019,178.8
5/20/2019,177.78
5/17/2019,177.57
5/16/2019,177.41
5/15/2019,174.65
5/14/2019,172.87
5/13/2019,170.29
5/10/2019,173.55
5/9/2019,173.71
5/8/2019,173.08
5/7/2019,173.2
5/6/2019,175.51
5/3/2019,176.22
5/2/2019,178.62
5/1/2019,180.53
4/30/2019,181.89
4/29/2019,180.43
4/26/2019,180.06
4/25/2019,179.18
4/24/2019,180.04
4/23/2019,179.71
4/22/2019,177.31
4/18/2019,177.85
4/17/2019,178.18
4/16/2019,178.29
4/15/2019,178.53
4/12/2019,177.88
4/11/2019,177.6
4/10/2019,176.24
4/9/2019,175.52
4/8/2019,176.68
4/5/2019,175.93
4/4/2019,174.95
4/3/2019,174.98
4/2/2019,173.19
4/1/2019,174.12
3/29/2019,173.83
3/28/2019,172.94
3/27/2019,164.4
3/26/2019,164.86
3/25/2019,163.02
3/22/2019,163.18
3/21/2019,166.14
3/20/2019,164.2
3/19/2019,164.13
3/18/2019,164.36
3/15/2019,164.32
3/14/2019,162.77
3/13/2019,162.07
3/12/2019,161.95
3/11/2019,161.9
3/8/2019,159.68
3/7/2019,159.83
3/6/2019,160.37
3/5/2019,161.63
3/4/2019,160.79
3/1/2019,162.15
2/28/2019,159.37
2/27/2019,158.63
2/26/2019,159.33
2/25/2019,159.66
2/22/2019,159.49
2/21/2019,157.54
2/20/2019,157.72
2/19/2019,157.49
2/15/2019,157.25
2/14/2019,155.88
2/13/2019,156.06
2/12/2019,154.68
2/11/2019,153.39
2/8/2019,153.65
2/7/2019,153.25
2/6/2019,155.2
2/5/2019,155.36
2/4/2019,154.6
2/1/2019,152.81
1/31/2019,151.64
1/30/2019,152.17
1/29/2019,150.13
1/28/2019,150.34
1/25/2019,149.96
1/24/2019,148.28
1/23/2019,146.57
1/22/2019,147.11
1/18/2019,148.58
1/17/2019,147.26
1/16/2019,146.04
1/15/2019,145.06
1/14/2019,143.12
1/11/2019,144.41
1/10/2019,145.19
1/9/2019,144.05
1/8/2019,143.33
1/7/2019,139.8
1/4/2019,139.31
1/3/2019,134.1
1/2/2019,138.84
12/31/2018,139.25
12/28/2018,138.08
12/27/2018,138.66
12/26/2018,137.28
12/24/2018,132
12/21/2018,135.49
12/20/2018,141.71
12/19/2018,149.08
12/18/2018,150.24
12/17/2018,149.78
12/14/2018,153.59
12/13/2018,158.25
12/12/2018,156.64
12/11/2018,156.33
12/10/2018,155.76
12/7/2018,155.49
12/6/2018,157.27
12/4/2018,162.16
12/3/2018,164.74
11/30/2018,162.47
11/29/2018,159.06
11/28/2018,160.19
11/27/2018,157.13
11/26/2018,156.43
11/23/2018,154.98
11/21/2018,155.02
11/20/2018,156.92
11/19/2018,160.74
11/16/2018,162.94
11/15/2018,160.47
11/14/2018,158.29
11/13/2018,159.44
11/12/2018,160.42
11/9/2018,163.09
11/8/2018,162.45
11/7/2018,161.83
11/6/2018,157.43
11/5/2018,156.62
11/2/2018,155.43
11/1/2018,156.6
10/31/2018,155.66
10/30/2018,152.69
10/29/2018,150.84
10/26/2018,152.53
10/25/2018,154.97
10/24/2018,151.21
10/23/2018,156.12
10/22/2018,157.56
10/19/2018,156.31
10/18/2018,154.25
10/17/2018,156.92
10/16/2018,157.75
10/15/2018,154.54
10/12/2018,156.03
10/11/2018,152.66
10/10/2018,158.28
10/9/2018,165.19
10/8/2018,166.26
10/5/2018,167.57
10/4/2018,168.18
10/3/2018,170.41
10/2/2018,169.44
10/1/2018,169.8
9/28/2018,166.56
9/27/2018,166.41
9/26/2018,169.27
9/25/2018,169.12
9/24/2018,168.94
9/21/2018,170.46
9/20/2018,170.4
9/19/2018,169.43
9/18/2018,168.72
9/17/2018,167.38
9/14/2018,167.97
9/13/2018,168.39
9/12/2018,166.7
9/11/2018,167.04
9/10/2018,165.92
9/7/2018,165.45
9/6/2018,165.74
9/5/2018,165.03
9/4/2018,165.87
8/31/2018,165.45
8/30/2018,165.02
8/29/2018,166.14
8/28/2018,164.08
8/27/2018,163.3
8/24/2018,162.33
8/23/2018,161.66
8/22/2018,161.39
8/21/2018,161.09
8/20/2018,161.59
8/17/2018,161.36
8/16/2018,159.4
8/15/2018,156.98
8/14/2018,157.79
8/13/2018,156.8
8/10/2018,157.24
8/9/2018,157.2
8/8/2018,157.69
8/7/2018,157.75
8/6/2018,157.14
8/3/2018,156.94
8/2/2018,156.72
8/1/2018,156.29
7/31/2018,155.92
7/30/2018,156.01
7/27/2018,158.55
7/26/2018,161.64
7/25/2018,163.5
7/24/2018,161.64
7/23/2018,162.41
7/20/2018,162.96
7/19/2018,163.32
7/18/2018,162.82
7/17/2018,164.47
7/16/2018,164.05
7/13/2018,164.49
7/12/2018,164.43
7/11/2018,162.75
7/10/2018,162.9
7/9/2018,162.57
7/6/2018,160.99
7/5/2018,161.27
7/3/2018,159.84
7/2/2018,159.74
6/29/2018,160.09
6/28/2018,160.98
6/27/2018,152.02
6/26/2018,153.5
6/25/2018,152.82
6/22/2018,156.21
6/21/2018,156.61
6/20/2018,158.31
6/19/2018,159.81
6/18/2018,159.39
6/15/2018,159.98
6/14/2018,159.28
6/13/2018,159.53
6/12/2018,159.35
6/11/2018,159.27
6/8/2018,158.7
6/7/2018,157.17
6/6/2018,159.23
6/5/2018,156.5
6/4/2018,156.02
6/1/2018,155.49
5/31/2018,152.41
5/30/2018,152.69
5/29/2018,150.25
5/25/2018,152.65
5/24/2018,152.26
5/23/2018,151.99
5/22/2018,152.01
5/21/2018,153.58
5/18/2018,151.99
5/17/2018,151.61
5/16/2018,150.78
5/15/2018,150.77
5/14/2018,152.24
5/11/2018,153.72
5/10/2018,153.19
5/9/2018,151.31
5/8/2018,148.69
5/7/2018,149.04
5/4/2018,150.16
5/3/2018,148.48
5/2/2018,147.48
5/1/2018,148.67
4/30/2018,147.96
4/27/2018,149.13
4/26/2018,149.03
4/25/2018,146.88
4/24/2018,147.84
4/23/2018,149.76
4/20/2018,149.15
4/19/2018,151.28
4/18/2018,152.19
4/17/2018,150.94
4/16/2018,148.18
4/13/2018,146.92
4/12/2018,146.88
4/11/2018,145.22
4/10/2018,147.49
4/9/2018,143.81
4/6/2018,142.96
4/5/2018,147.03
4/4/2018,145.48
4/3/2018,144.33
4/2/2018,143.55
3/29/2018,148.9
3/28/2018,142.99
3/27/2018,144.4
3/26/2018,148.27
3/23/2018,142.94
3/22/2018,145.73
3/21/2018,157.18
3/20/2018,158
3/19/2018,155.81
3/16/2018,156.07
3/15/2018,157.98
3/14/2018,156.18
3/13/2018,157.62
3/12/2018,156.85
3/9/2018,156.67
3/8/2018,153.75
3/7/2018,153.8
3/6/2018,153.3
3/5/2018,154.09
3/2/2018,152.78
3/1/2018,151.47
2/28/2018,156.19
2/27/2018,157.68
2/26/2018,159.8
2/23/2018,158.07
2/22/2018,155.52
