date,closeAdj
2019-11-08,113.02
2019-11-07,112.29
2019-11-06,112.03
2019-11-05,113.45
2019-11-04,111.39
2019-11-01,109.37
2019-10-31,106.63
2019-10-30,108.25
2019-10-29,108.05
2019-10-28,108.83
2019-10-25,106.83
2019-10-24,105.32
2019-10-23,105.57
2019-10-22,110.88
2019-10-21,111.11
2019-10-18,109.48
2019-10-17,110.0
2019-10-16,110.59
2019-10-15,113.29
2019-10-14,110.34
2019-10-11,111.22
2019-10-10,108.44
2019-10-09,108.07
2019-10-08,106.13
2019-10-07,110.84
2019-10-04,113.03
2019-10-03,110.87
2019-10-02,108.97
2019-10-01,109.78
2019-09-30,111.73
2019-09-27,111.04
2019-09-26,113.14
2019-09-25,112.68
2019-09-24,110.96
2019-09-23,114.29
2019-09-20,115.33
2019-09-19,115.88
2019-09-18,116.56
2019-09-17,115.28
2019-09-16,115.26
2019-09-13,116.52
2019-09-12,116.21
2019-09-11,115.04
2019-09-10,113.98
2019-09-09,112.87
2019-09-06,112.67
2019-09-05,113.02
2019-09-04,109.19
2019-09-03,106.38
2019-08-30,109.83
2019-08-29,109.02
2019-08-28,107.49
2019-08-27,106.51
2019-08-26,105.5
2019-08-23,103.65
2019-08-22,108.09
2019-08-21,108.05
2019-08-20,109.74
2019-08-19,110.61
2019-08-16,109.97
2019-08-15,107.91
2019-08-14,109.76
2019-08-13,112.46
2019-08-12,108.42
2019-08-09,110.11
2019-08-08,111.77
2019-08-07,109.27
2019-08-06,108.73
2019-08-05,107.09
2019-08-02,112.12
2019-08-01,113.89
2019-07-31,116.87
2019-07-30,120.36
2019-07-29,120.6
2019-07-26,121.19
2019-07-25,121.57
2019-07-24,124.02
2019-07-23,119.32
2019-07-22,117.12
2019-07-19,115.2
2019-07-18,115.43
2019-07-17,113.37
2019-07-16,114.88
2019-07-15,116.44
2019-07-12,115.62
2019-07-11,113.35
2019-07-10,113.44
2019-07-09,112.72
2019-07-08,111.27
2019-07-05,112.3
2019-07-03,112.6
2019-07-02,112.94
2019-07-01,114.43
2019-06-28,112.31
2019-06-27,112.28
2019-06-26,110.32
2019-06-25,109.73
2019-06-24,112.34
2019-06-21,113.1
2019-06-20,112.0
2019-06-19,110.49
2019-06-18,109.39
2019-06-17,104.57
2019-06-14,103.5
2019-06-13,105.25
2019-06-12,103.85
2019-06-11,104.64
2019-06-10,106.02
2019-06-07,100.19
2019-06-06,99.47
2019-06-05,99.37
2019-06-04,100.47
2019-06-03,95.59
2019-05-31,96.14
2019-05-30,97.57
2019-05-29,97.08
2019-05-28,96.09
2019-05-24,97.39
