date,closeAdj
2019-11-08,7.95
2019-11-07,7.79
2019-11-06,7.87
2019-11-05,8.04
2019-11-04,8.0
2019-11-01,7.92
2019-10-31,7.74
2019-10-30,7.96
2019-10-29,7.93
2019-10-28,7.77
2019-10-25,7.7
2019-10-24,7.59
2019-10-23,7.65
2019-10-22,7.63
2019-10-21,7.22
2019-10-18,7.38
2019-10-17,7.01
2019-10-16,7.1
2019-10-15,6.74
2019-10-14,6.59
2019-10-11,6.58
2019-10-10,6.41
2019-10-09,6.26
2019-10-08,6.19
2019-10-07,6.33
2019-10-04,6.25
2019-10-03,6.23
2019-10-02,6.39
2019-10-01,6.41
2019-09-30,6.27
2019-09-27,6.16
2019-09-26,6.09
2019-09-25,6.56
2019-09-24,6.21
2019-09-23,6.23
2019-09-20,6.1
2019-09-19,6.14
2019-09-18,6.14
2019-09-17,6.02
2019-09-16,6.05
2019-09-13,5.94
2019-09-12,5.97
2019-09-11,5.96
2019-09-10,6.05
2019-09-09,5.66
2019-09-06,5.31
2019-09-05,5.28
2019-09-04,4.91
2019-09-03,4.74
2019-08-30,4.73
2019-08-29,4.67
2019-08-28,4.69
2019-08-27,4.54
2019-08-26,4.62
2019-08-23,4.57
2019-08-22,4.74
2019-08-21,4.65
2019-08-20,4.65
2019-08-19,4.76
2019-08-16,4.5
2019-08-15,4.35
2019-08-14,4.32
2019-08-13,4.5
2019-08-12,4.62
2019-08-09,4.91
2019-08-08,5.21
2019-08-07,5.18
2019-08-06,5.52
2019-08-05,5.58
2019-08-02,5.94
2019-08-01,6.04
2019-07-31,6.31
2019-07-30,6.37
2019-07-29,6.32
2019-07-26,6.26
2019-07-25,6.21
2019-07-24,6.11
2019-07-23,5.97
2019-07-22,5.99
2019-07-19,6.19
2019-07-18,6.1
2019-07-17,6.17
2019-07-16,6.41
2019-07-15,6.1
2019-07-12,6.32
2019-07-11,6.14
2019-07-10,6.17
2019-07-09,6.17
2019-07-08,6.26
2019-07-05,6.18
2019-07-03,6.22
2019-07-02,6.05
2019-07-01,6.14
2019-06-28,6.08
2019-06-27,5.96
2019-06-26,5.95
2019-06-25,5.83
2019-06-24,6.07
2019-06-21,6.16
2019-06-20,6.22
2019-06-19,6.16
2019-06-18,6.22
2019-06-17,6.31
2019-06-14,6.42
2019-06-13,6.44
2019-06-12,6.21
2019-06-11,6.1
2019-06-10,6.09
2019-06-07,6.1
2019-06-06,6.0
2019-06-05,6.04
2019-06-04,6.09
2019-06-03,6.0
2019-05-31,5.78
2019-05-30,6.05
2019-05-29,6.04
2019-05-28,6.13
2019-05-24,6.12
2019-05-23,6.15
2019-05-22,6.26
2019-05-21,6.26
2019-05-20,6.0
2019-05-17,6.0
2019-05-16,6.2
2019-05-15,6.06
2019-05-14,6.03
2019-05-13,5.91
2019-05-10,6.29
2019-05-09,6.28
2019-05-08,6.11
2019-05-07,6.87
2019-05-06,6.91
2019-05-03,6.79
2019-05-02,6.66
2019-05-01,6.55
2019-04-30,6.51
2019-04-29,6.6
2019-04-26,6.36
2019-04-25,6.22
2019-04-24,6.46
2019-04-23,6.58
2019-04-22,6.58
2019-04-18,6.57
2019-04-17,6.59
2019-04-16,6.62
2019-04-15,6.52
2019-04-12,6.54
2019-04-11,6.58
2019-04-10,6.59
2019-04-09,6.41
2019-04-08,6.53
2019-04-05,6.6
2019-04-04,6.65
2019-04-03,6.59
2019-04-02,6.52
2019-04-01,6.44
2019-03-29,6.28
2019-03-28,6.14
2019-03-27,6.13
2019-03-26,6.14
2019-03-25,6.05
2019-03-22,6.1
2019-03-21,6.46
2019-03-20,6.52
2019-03-19,6.6
2019-03-18,6.63
2019-03-15,6.36
2019-03-14,6.07
2019-03-13,6.27
2019-03-12,6.46
2019-03-11,7.46
2019-03-08,7.25
2019-03-07,7.45
2019-03-06,7.59
2019-03-05,7.84
2019-03-04,7.85
2019-03-01,7.82
2019-02-28,7.86
2019-02-27,7.96
2019-02-26,7.91
2019-02-25,8.05
2019-02-22,8.01
2019-02-21,7.91
2019-02-20,8.01
2019-02-19,7.9
2019-02-15,7.91
2019-02-14,7.81
2019-02-13,7.8
2019-02-12,7.87
2019-02-11,7.7
2019-02-08,7.52
2019-02-07,7.46
2019-02-06,7.51
2019-02-05,7.44
2019-02-04,7.45
2019-02-01,7.18
2019-01-31,7.1
2019-01-30,7.01
2019-01-29,7.0
2019-01-28,6.91
2019-01-25,7.07
2019-01-24,6.94
2019-01-23,6.88
2019-01-22,7.02
2019-01-18,7.2
2019-01-17,7.14
2019-01-16,7.02
2019-01-15,6.78
2019-01-14,6.85
2019-01-11,6.98
2019-01-10,6.8
2019-01-09,6.87
2019-01-08,6.83
2019-01-07,6.67
2019-01-04,6.56
2019-01-03,6.21
2019-01-02,6.3
2018-12-31,5.91
2018-12-28,6.0
2018-12-27,6.05
2018-12-26,6.18
2018-12-24,5.91
2018-12-21,6.1
2018-12-20,6.28
2018-12-19,6.41
2018-12-18,6.46
2018-12-17,6.59
2018-12-14,6.7
2018-12-13,7.07
2018-12-12,7.24
2018-12-11,7.1
2018-12-10,7.1
2018-12-07,7.29
2018-12-06,7.5
2018-12-04,7.26
2018-12-03,7.57
2018-11-30,7.64
2018-11-29,7.68
2018-11-28,7.69
2018-11-27,7.32
2018-11-26,7.43
2018-11-23,7.49
2018-11-21,7.44
2018-11-20,7.26
2018-11-19,7.51
2018-11-16,7.88
2018-11-15,7.74
2018-11-14,7.57
2018-11-13,7.68
2018-11-12,7.29
2018-11-09,7.68
2018-11-08,7.92
2018-11-07,7.26
2018-11-06,7.16
2018-11-05,7.53
2018-11-02,7.6
2018-11-01,7.55
2018-10-31,7.57
2018-10-30,7.14
2018-10-29,7.14
2018-10-26,7.26
2018-10-25,7.33
2018-10-24,7.21
2018-10-23,7.34
2018-10-22,7.22
2018-10-19,7.6
2018-10-18,7.58
2018-10-17,7.6
2018-10-16,7.84
2018-10-15,7.55
2018-10-12,7.36
2018-10-11,7.6
2018-10-10,7.96
2018-10-09,8.44
2018-10-08,8.45
2018-10-05,8.5
2018-10-04,8.6
2018-10-03,8.62
2018-10-02,8.55
2018-10-01,9.0
2018-09-28,9.18
2018-09-27,9.18
2018-09-26,9.18
2018-09-25,9.03
2018-09-24,9.06
2018-09-21,9.17
2018-09-20,8.73
2018-09-19,8.19
2018-09-18,8.4
2018-09-17,8.22
2018-09-14,8.34
2018-09-13,8.37
2018-09-12,8.39
2018-09-11,8.3
2018-09-10,8.42
2018-09-07,8.57
2018-09-06,8.73
2018-09-05,8.54
2018-09-04,8.95
2018-08-31,8.72
2018-08-30,8.7
2018-08-29,9.01
2018-08-28,8.97
2018-08-27,8.81
2018-08-24,8.78
2018-08-23,8.76
2018-08-22,8.85
2018-08-21,8.9
2018-08-20,8.47
2018-08-17,8.48
