date,closeAdj
2019-11-08,73.81
2019-11-07,74.63
2019-11-06,75.56
2019-11-05,74.96
2019-11-04,76.09
2019-11-01,77.36
2019-10-31,77.7
2019-10-30,77.58
2019-10-29,76.48
2019-10-28,75.84
2019-10-25,76.59
2019-10-24,77.49
2019-10-23,77.06
2019-10-22,77.05
2019-10-21,76.66
2019-10-18,76.62
2019-10-17,75.8
2019-10-16,75.72
2019-10-15,75.8
2019-10-14,76.29
2019-10-11,77.05
2019-10-10,76.85
2019-10-09,77.34
2019-10-08,77.42
2019-10-07,78.94
2019-10-04,79.53
2019-10-03,78.5
2019-10-02,78.75
2019-10-01,79.66
2019-09-30,80.05
2019-09-27,80.0
2019-09-26,80.38
2019-09-25,80.26
2019-09-24,79.56
2019-09-23,78.97
2019-09-20,79.04
2019-09-19,78.66
2019-09-18,78.48
2019-09-17,77.54
2019-09-16,77.17
2019-09-13,76.6
2019-09-12,76.5
2019-09-11,74.77
2019-09-10,74.21
2019-09-09,74.71
2019-09-06,75.71
2019-09-05,76.65
2019-09-04,77.99
2019-09-03,77.99
2019-08-30,76.66
2019-08-29,76.66
2019-08-28,75.27
2019-08-27,75.27
2019-08-26,75.37
2019-08-23,74.85
2019-08-22,76.33
2019-08-21,76.43
2019-08-20,76.18
2019-08-19,76.48
2019-08-16,76.16
2019-08-15,75.33
2019-08-14,74.77
2019-08-13,76.03
2019-08-12,76.16
2019-08-09,76.21
2019-08-08,75.84
2019-08-07,74.74
2019-08-06,74.53
2019-08-05,74.58
2019-08-02,75.26
2019-08-01,76.16
2019-07-31,75.21
2019-07-30,75.73
2019-07-29,76.36
2019-07-26,76.11
2019-07-25,75.77
2019-07-24,75.95
2019-07-23,75.75
2019-07-22,75.8
2019-07-19,75.5
2019-07-18,76.67
2019-07-17,76.26
2019-07-16,75.75
2019-07-15,75.81
2019-07-12,75.68
2019-07-11,76.2
2019-07-10,76.17
2019-07-09,76.13
2019-07-08,75.99
2019-07-05,75.97
2019-07-03,76.04
2019-07-02,75.42
2019-07-01,74.73
2019-06-28,74.64
2019-06-27,74.18
2019-06-26,74.26
2019-06-25,76.1
2019-06-24,76.41
2019-06-21,76.96
2019-06-20,76.87
2019-06-19,76.41
2019-06-18,75.95
2019-06-17,75.72
2019-06-14,76.23
2019-06-13,75.73
2019-06-12,75.76
2019-06-11,74.46
2019-06-10,74.97
2019-06-07,74.93
2019-06-06,75.57
2019-06-05,75.19
2019-06-04,73.52
2019-06-03,73.55
2019-05-31,72.42
2019-05-30,72.01
2019-05-29,72.27
2019-05-28,73.39
2019-05-24,74.44
2019-05-23,74.76
2019-05-22,73.93
2019-05-21,73.36
2019-05-20,73.75
2019-05-17,73.77
2019-05-16,73.31
2019-05-15,72.8
2019-05-14,72.92
2019-05-13,73.66
2019-05-10,72.37
2019-05-09,71.0
2019-05-08,70.47
2019-05-07,71.79
2019-05-06,71.84
2019-05-03,72.04
2019-05-02,71.43
2019-05-01,71.33
2019-04-30,71.86
2019-04-29,70.47
2019-04-26,71.28
2019-04-25,71.35
2019-04-24,71.09
2019-04-23,70.26
2019-04-22,69.64
2019-04-18,69.6
2019-04-17,69.72
2019-04-16,69.96
2019-04-15,71.13
2019-04-12,71.08
2019-04-11,70.94
2019-04-10,70.6
2019-04-09,71.12
2019-04-08,70.77
2019-04-05,71.48
2019-04-04,70.66
2019-04-03,71.33
2019-04-02,71.65
2019-04-01,71.88
2019-03-29,72.63
2019-03-28,72.54
2019-03-27,73.46
2019-03-26,73.81
