date,closeAdj
2019-11-08,89.07
2019-11-07,89.34
2019-11-06,91.28
2019-11-05,90.7
2019-11-04,92.09
2019-11-01,92.85
2019-10-31,93.67
2019-10-30,93.38
2019-10-29,92.46
2019-10-28,92.66
2019-10-25,93.63
2019-10-24,94.99
2019-10-23,93.72
2019-10-22,93.43
2019-10-21,93.76
2019-10-18,93.42
2019-10-17,92.29
2019-10-16,91.9
2019-10-15,91.04
2019-10-14,91.33
2019-10-11,91.64
2019-10-10,91.91
2019-10-09,92.17
2019-10-08,91.86
2019-10-07,93.0
2019-10-04,92.9
2019-10-03,91.8
2019-10-02,91.43
2019-10-01,92.51
2019-09-30,92.98
2019-09-27,93.48
2019-09-26,93.57
2019-09-25,93.51
2019-09-24,93.87
2019-09-23,92.69
2019-09-20,92.47
2019-09-19,92.47
2019-09-18,92.31
2019-09-17,92.02
2019-09-16,91.01
2019-09-13,90.84
2019-09-12,91.32
2019-09-11,90.99
2019-09-10,90.4
2019-09-09,90.68
2019-09-06,90.4
2019-09-05,90.83
2019-09-04,92.34
2019-09-03,92.07
2019-08-30,90.46
2019-08-29,90.03
2019-08-28,88.95
2019-08-27,89.98
2019-08-26,90.14
2019-08-23,88.9
2019-08-22,90.28
2019-08-21,90.65
2019-08-20,90.08
2019-08-19,89.86
2019-08-16,89.54
2019-08-15,89.67
2019-08-14,87.81
2019-08-13,89.56
2019-08-12,89.74
2019-08-09,89.29
2019-08-08,88.83
2019-08-07,88.39
2019-08-06,87.8
2019-08-05,86.7
2019-08-02,87.37
2019-08-01,87.48
2019-07-31,86.49
2019-07-30,87.39
2019-07-29,88.39
2019-07-26,87.61
2019-07-25,87.74
2019-07-24,88.26
2019-07-23,88.17
2019-07-22,88.77
2019-07-19,88.92
2019-07-18,90.38
2019-07-17,89.65
2019-07-16,89.15
2019-07-15,89.82
2019-07-12,88.89
2019-07-11,89.56
2019-07-10,89.45
2019-07-09,89.0
2019-07-08,88.58
2019-07-05,88.49
2019-07-03,88.79
2019-07-02,87.85
2019-07-01,86.81
2019-06-28,86.69
2019-06-27,86.58
2019-06-26,87.17
2019-06-25,89.01
2019-06-24,89.53
2019-06-21,90.18
2019-06-20,89.51
2019-06-19,89.5
2019-06-18,88.43
2019-06-17,88.73
2019-06-14,89.22
2019-06-13,88.24
2019-06-12,88.05
