date,closeAdj
2019-11-08,54.14
2019-11-07,54.15
2019-11-06,53.7
2019-11-05,52.94
2019-11-04,53.45
2019-11-01,53.61
2019-10-31,53.16
2019-10-30,53.36
2019-10-29,53.58
2019-10-28,53.51
2019-10-25,53.26
2019-10-24,52.56
2019-10-23,52.47
2019-10-22,52.42
2019-10-21,52.9
2019-10-18,52.71
2019-10-17,52.65
2019-10-16,52.66
2019-10-15,52.83
2019-10-14,52.51
2019-10-11,52.44
2019-10-10,52.07
2019-10-09,51.5
2019-10-08,51.04
2019-10-07,51.95
2019-10-04,52.1
2019-10-03,51.18
2019-10-02,50.58
2019-10-01,51.54
2019-09-30,52.32
2019-09-27,51.89
2019-09-26,51.91
2019-09-25,52.17
2019-09-24,52.42
2019-09-23,52.35
2019-09-20,51.97
2019-09-19,52.56
2019-09-18,52.61
2019-09-17,52.44
2019-09-16,51.91
2019-09-13,51.77
2019-09-12,51.47
2019-09-11,51.4
2019-09-10,50.97
2019-09-09,51.08
2019-09-06,51.57
2019-09-05,51.13
2019-09-04,50.79
2019-09-03,50.38
2019-08-30,50.18
2019-08-29,49.6
2019-08-28,49.12
2019-08-27,48.98
2019-08-26,48.95
2019-08-23,48.36
2019-08-22,49.51
2019-08-21,48.98
2019-08-20,51.86
2019-08-19,52.41
2019-08-16,52.38
2019-08-15,51.8
2019-08-14,51.02
2019-08-13,52.65
2019-08-12,52.05
2019-08-09,52.61
2019-08-08,52.61
2019-08-07,51.84
2019-08-06,51.76
2019-08-05,51.1
2019-08-02,52.26
2019-08-01,52.04
2019-07-31,52.37
2019-07-30,52.61
2019-07-29,52.69
2019-07-26,53.61
2019-07-25,53.49
2019-07-24,53.64
2019-07-23,54.91
2019-07-22,54.78
2019-07-19,54.72
2019-07-18,55.84
2019-07-17,55.35
2019-07-16,55.82
2019-07-15,56.28
2019-07-12,56.6
2019-07-11,56.07
2019-07-10,56.22
2019-07-09,56.24
2019-07-08,56.36
2019-07-05,56.52
2019-07-03,56.56
2019-07-02,55.92
2019-07-01,55.53
2019-06-28,54.53
2019-06-27,54.27
2019-06-26,53.96
2019-06-25,54.67
2019-06-24,54.74
2019-06-21,54.67
2019-06-20,55.06
2019-06-19,54.86
2019-06-18,54.64
2019-06-17,54.27
2019-06-14,54.76
2019-06-13,54.19
2019-06-12,54.1
2019-06-11,53.76
2019-06-10,54.07
2019-06-07,54.27
2019-06-06,53.54
2019-06-05,53.48
2019-06-04,52.73
2019-06-03,52.16
2019-05-31,51.04
2019-05-30,51.31
2019-05-29,51.17
2019-05-28,51.04
2019-05-24,51.74
2019-05-23,51.26
2019-05-22,51.94
2019-05-21,51.68
2019-05-20,51.62
2019-05-17,51.64
2019-05-16,51.4
2019-05-15,50.78
2019-05-14,50.6
2019-05-13,49.95
2019-05-10,50.74
2019-05-09,49.97
2019-05-08,49.72
2019-05-07,49.6
2019-05-06,50.0
2019-05-03,49.97
2019-05-02,49.73
2019-05-01,49.7
2019-04-30,49.86
2019-04-29,49.21
2019-04-26,49.02
2019-04-25,48.67
2019-04-24,48.39
2019-04-23,48.41
2019-04-22,48.06
2019-04-18,48.42
2019-04-17,48.54
2019-04-16,49.08
2019-04-15,48.45
2019-04-12,49.0
2019-04-11,48.86
2019-04-10,48.7
2019-04-09,48.54
2019-04-08,48.62
2019-04-05,48.5
2019-04-04,48.28
2019-04-03,48.26
2019-04-02,48.74
2019-04-01,49.37
2019-03-29,49.49
2019-03-28,49.19
2019-03-27,49.31
2019-03-26,49.32
2019-03-25,49.01
2019-03-22,48.95
2019-03-21,49.46
2019-03-20,48.95
2019-03-19,49.59
2019-03-18,49.73
2019-03-15,49.44
2019-03-14,49.19
2019-03-13,48.88
2019-03-12,48.65
2019-03-11,48.57
2019-03-08,48.05
2019-03-07,48.13
2019-03-06,48.45
2019-03-05,48.65
2019-03-04,48.56
2019-03-01,48.66
2019-02-28,48.64
2019-02-27,48.49
2019-02-26,48.41
2019-02-25,48.46
2019-02-22,48.25
2019-02-21,48.4
2019-02-20,48.62
2019-02-19,48.49
2019-02-15,48.51
2019-02-14,47.84
2019-02-13,48.25
2019-02-12,48.17
2019-02-11,47.51
2019-02-08,47.42
2019-02-07,47.69
2019-02-06,47.64
2019-02-05,47.46
2019-02-04,47.27
2019-02-01,47.19
2019-01-31,46.95
2019-01-30,46.64
2019-01-29,46.37
2019-01-28,46.61
2019-01-25,46.82
2019-01-24,46.59
2019-01-23,46.89
2019-01-22,46.65
2019-01-18,46.95
2019-01-17,46.58
2019-01-16,46.08
2019-01-15,45.67
2019-01-14,45.21
2019-01-11,44.97
2019-01-10,45.05
2019-01-09,44.49
2019-01-08,44.59
2019-01-07,44.45
2019-01-04,44.21
2019-01-03,43.67
2019-01-02,44.81
2018-12-31,44.84
2018-12-28,44.24
2018-12-27,44.27
2018-12-26,43.45
2018-12-24,41.67
2018-12-21,42.55
2018-12-20,42.72
2018-12-19,43.29
2018-12-18,43.84
2018-12-17,43.62
2018-12-14,43.91
2018-12-13,45.03
2018-12-12,42.23
2018-12-11,41.97
2018-12-10,42.36
2018-12-07,42.57
2018-12-06,42.87
2018-12-04,43.59
2018-12-03,45.35
2018-11-30,45.02
2018-11-29,44.69
2018-11-28,44.65
2018-11-27,43.85
2018-11-26,43.91
2018-11-23,43.77
2018-11-21,43.69
2018-11-20,43.59
2018-11-19,44.4
2018-11-16,43.62
2018-11-15,43.33
2018-11-14,43.01
2018-11-13,43.42
2018-11-12,43.49
2018-11-09,44.08
2018-11-08,44.25
2018-11-07,44.1
2018-11-06,43.05
2018-11-05,42.78
2018-11-02,41.98
2018-11-01,41.96
2018-10-31,42.15
2018-10-30,42.22
2018-10-29,41.38
2018-10-26,40.81
2018-10-25,41.29
2018-10-24,41.79
2018-10-23,43.32
2018-10-22,43.34
2018-10-19,43.52
2018-10-18,43.26
2018-10-17,43.77
2018-10-16,43.24
2018-10-15,42.88
2018-10-12,43.11
2018-10-11,43.54
2018-10-10,45.34
2018-10-09,46.4
2018-10-08,46.12
2018-10-05,45.51
2018-10-04,45.61
2018-10-03,45.87
2018-10-02,46.09
2018-10-01,46.15
2018-09-28,46.07
2018-09-27,46.05
2018-09-26,46.04
2018-09-25,46.68
2018-09-24,46.68
2018-09-21,47.01
2018-09-20,46.87
2018-09-19,46.66
2018-09-18,46.25
2018-09-17,46.05
2018-09-14,46.2
2018-09-13,45.7
2018-09-12,45.32
2018-09-11,45.64
2018-09-10,45.77
2018-09-07,45.82
2018-09-06,45.89
2018-09-05,46.08
2018-09-04,45.58
2018-08-31,45.25
2018-08-30,45.52
2018-08-29,45.94
2018-08-28,45.78
2018-08-27,45.97
2018-08-24,45.67
2018-08-23,45.4
2018-08-22,45.61
2018-08-21,45.92
2018-08-20,45.53
2018-08-17,45.51
2018-08-16,45.25
2018-08-15,45.05
2018-08-14,45.26
2018-08-13,45.06
2018-08-10,45.24
2018-08-09,45.51
2018-08-08,45.61
2018-08-07,45.45
2018-08-06,45.39
2018-08-03,45.34
2018-08-02,45.12
2018-08-01,45.48
2018-07-31,45.29
2018-07-30,45.09
2018-07-27,45.07
2018-07-26,43.22
2018-07-25,42.61
2018-07-24,42.51
2018-07-23,42.32
2018-07-20,41.91
2018-07-19,41.74
2018-07-18,42.1
2018-07-17,41.79
2018-07-16,41.63
2018-07-13,41.46
2018-07-12,41.34
2018-07-11,41.35
2018-07-10,42.06
2018-07-09,42.2
2018-07-06,41.76
2018-07-05,41.89
2018-07-03,41.75
2018-07-02,41.74
2018-06-29,41.87
2018-06-28,42.05
2018-06-27,42.25
2018-06-26,42.82
2018-06-25,42.9
2018-06-22,43.01
2018-06-21,43.24
2018-06-20,43.52
2018-06-19,43.8
2018-06-18,43.96
2018-06-15,44.52
2018-06-14,44.46
2018-06-13,44.46
2018-06-12,44.52
2018-06-11,44.52
2018-06-08,44.66
2018-06-07,44.46
2018-06-06,44.48
2018-06-05,44.23
2018-06-04,44.21
2018-06-01,44.18
2018-05-31,43.85
2018-05-30,44.34
2018-05-29,43.38
2018-05-25,44.13
2018-05-24,44.1
2018-05-23,44.1
2018-05-22,44.36
2018-05-21,44.27
2018-05-18,43.92
2018-05-17,44.06
2018-05-16,43.94
2018-05-15,43.64
2018-05-14,43.78
2018-05-11,43.77
2018-05-10,43.88
2018-05-09,43.3
2018-05-08,43.37
2018-05-07,43.15
2018-05-04,43.36
2018-05-03,43.01
2018-05-02,43.59
2018-05-01,43.93
2018-04-30,44.1
2018-04-27,44.41
2018-04-26,44.2
2018-04-25,43.94
2018-04-24,43.71
2018-04-23,43.84
2018-04-20,43.82
2018-04-19,43.77
2018-04-18,43.57
2018-04-17,43.72
2018-04-16,43.32
2018-04-13,43.12
