date,figure,fyear,measure,period,type,value
2019-06-30,common-outstanding-basic,2019.0,period,FY,common,435000000
2018-06-30,common-outstanding-basic,2018.0,period,FY,common,440600000
2017-06-30,common-outstanding-basic,2017.0,period,FY,common,447800000
2016-06-30,common-outstanding-basic,2016.0,period,FY,common,457000000
2015-06-30,common-outstanding-basic,2015.0,period,FY,common,472600000
2014-06-30,common-outstanding-basic,2014.0,period,FY,common,478900000
2013-06-30,common-outstanding-basic,2013.0,period,FY,common,482700000
2012-06-30,common-outstanding-basic,2012.0,period,FY,common,555522000
2011-06-30,common-outstanding-basic,2011.0,period,FY,common,562590000
2010-06-30,common-outstanding-basic,2010.0,period,FY,common,570570000
2009-06-30,common-outstanding-basic,2009.0,period,FY,common,573648000
2008-06-30,common-outstanding-basic,2008.0,period,FY,common,594510000
